game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0202,1,02:21,MIL,,BOS,,N. Queta,BOS,Queta REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0202,1,01:27,MIL,,BOS,,N. Queta,BOS,Queta REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0202,1,01:09,MIL,,BOS,,N. Queta,BOS,SUB: Kornet FOR Queta,Substitution,,0,0,0,0,,,v
S2425-G0202,2,06:12,MIL,57.0,BOS,44.0,N. Queta,BOS,Queta Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0202,2,06:12,MIL,57.0,BOS,45.0,N. Queta,BOS,Queta Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0202,2,04:28,MIL,,BOS,,N. Queta,BOS,Queta Bad Pass Turnover (P1.T4),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0202,2,03:23,MIL,,BOS,,N. Queta,BOS,Queta S.FOUL (P1.T2) (N.Sago),Foul,Shooting,0,0,0,0,,,v
S2425-G0202,2,00:47.700000,MIL,,BOS,,N. Queta,BOS,MISS Queta 5' Cutting Dunk Shot,Missed Shot,Cutting Dunk Shot,17,47,5,1,2.0,0.0,v
S2425-G0202,2,00:18.200000,MIL,67.0,BOS,58.0,N. Queta,BOS,Queta 11' Hook Shot (4 PTS) (Brown 3 AST),Made Shot,Hook Shot,-70,88,11,1,2.0,2.0,v
S2425-G0202,3,02:24,MIL,,BOS,,N. Queta,BOS,Queta REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0202,3,00:57.500000,MIL,,BOS,,N. Queta,BOS,Queta REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0202,3,00:26.100000,MIL,,BOS,,N. Queta,BOS,Queta REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2425-G0202,4,11:00,MIL,,BOS,,N. Queta,BOS,Queta REBOUND (Off:0 Def:6),Rebound,Unknown,0,0,0,0,,,v
S2425-G0202,4,09:56,MIL,,BOS,,N. Queta,BOS,Queta REBOUND (Off:1 Def:6),Rebound,Unknown,0,0,0,0,,,v
S2425-G0202,4,09:56,MIL,88.0,BOS,92.0,N. Queta,BOS,Queta Putback Dunk (6 PTS),Made Shot,Putback Dunk Shot,0,0,0,1,2.0,2.0,v
S2425-G0202,4,09:21,MIL,,BOS,,N. Queta,BOS,MISS Queta 9' Floating Jump Shot,Missed Shot,Floating Jump shot,38,77,9,1,2.0,0.0,v
S2425-G0202,4,09:04,MIL,,BOS,,N. Queta,BOS,Queta STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0202,4,09:01,MIL,,BOS,,N. Queta,BOS,MISS Queta 3' Running Layup,Missed Shot,Running Layup Shot,6,25,3,1,2.0,0.0,v
S2425-G0202,4,08:00,MIL,95.0,BOS,94.0,N. Queta,BOS,Queta 1' Cutting Dunk Shot (8 PTS) (Brown 4 AST),Made Shot,Cutting Dunk Shot,-4,11,1,1,2.0,2.0,v
S2425-G0202,4,05:51,MIL,,BOS,,N. Queta,BOS,SUB: Horford FOR Queta,Substitution,,0,0,0,0,,,v
S2425-G0073,2,08:29,WAS,,BOS,,N. Queta,BOS,Queta P.FOUL (P1.T1) (J.Capers),Foul,Personal,0,0,0,0,,,v
S2425-G0073,2,08:06,WAS,38.0,BOS,43.0,N. Queta,BOS,Queta 3' Alley Oop Layup (2 PTS) (Brown 1 AST),Made Shot,Alley Oop Layup shot,32,0,3,1,2.0,2.0,v
