game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0003,1,09:47,ORL,,CHA,,G. Williams,CHA,MISS Williams 13' Pullup Jump Shot,Missed Shot,Pullup Jump shot,13,130,13,1,2.0,0.0,v
S2425-G0003,1,07:36,ORL,13.0,CHA,13.0,G. Williams,CHA,Williams Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0003,1,07:36,ORL,13.0,CHA,14.0,G. Williams,CHA,Williams Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0003,1,05:25,ORL,,CHA,,G. Williams,CHA,Williams OFF.Foul (P1) (C.Washington),Foul,Offensive,0,0,0,0,,,v
S2425-G0003,1,05:25,ORL,,CHA,,G. Williams,CHA,Williams Offensive Foul Turnover (P1.T1),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2425-G0003,1,05:12,ORL,,CHA,,G. Williams,CHA,Hornets T.Foul (Def. 3 Sec Williams ) (E.Malloy),Foul,Defense 3 Second,0,0,0,0,,,v
S2425-G0003,1,05:12,ORL,,CHA,,G. Williams,CHA,SUB: Salaün FOR Williams,Substitution,,0,0,0,0,,,v
S2425-G0003,2,10:17,ORL,,CHA,,G. Williams,CHA,Williams REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0003,2,09:58,ORL,,CHA,,G. Williams,CHA,Williams REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0003,2,08:17,ORL,38.0,CHA,35.0,G. Williams,CHA,Williams 27' 3PT Jump Shot (5 PTS) (Miller 3 AST),Made Shot,Jump Shot,-87,256,27,1,3.0,3.0,v
S2425-G0003,2,07:40,ORL,,CHA,,G. Williams,CHA,Williams Out of Bounds Lost Ball Turnover (P2.T7),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,v
S2425-G0003,2,07:27,ORL,,CHA,,G. Williams,CHA,Williams STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0003,2,06:52,ORL,,CHA,,G. Williams,CHA,SUB: Salaün FOR Williams,Substitution,,0,0,0,0,,,v
S2425-G0003,2,03:18,ORL,54.0,CHA,39.0,G. Williams,CHA,Williams 1' Running Dunk (7 PTS) (Ball 3 AST),Made Shot,Running Dunk Shot,7,8,1,1,2.0,2.0,v
S2425-G0003,2,02:27,ORL,,CHA,,G. Williams,CHA,Williams REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0003,2,01:03,ORL,,CHA,,G. Williams,CHA,MISS Williams Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0003,2,01:03,ORL,,CHA,,G. Williams,CHA,MISS Williams Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0003,2,00:29.100000,ORL,58.0,CHA,47.0,G. Williams,CHA,Williams 27' 3PT Step Back Jump Shot (10 PTS) (Ball 4 AST),Made Shot,Step Back Jump shot,-81,259,27,1,3.0,3.0,v
S2425-G0003,3,10:48,ORL,58.0,CHA,52.0,G. Williams,CHA,Williams 24' 3PT Jump Shot (13 PTS) (Ball 5 AST),Made Shot,Jump Shot,-230,50,24,1,3.0,3.0,v
S2425-G0003,3,09:53,ORL,,CHA,,G. Williams,CHA,Williams STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0003,3,06:58,ORL,,CHA,,G. Williams,CHA,MISS Williams 27' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,103,246,27,1,3.0,0.0,v
S2425-G0003,3,06:14,ORL,,CHA,,G. Williams,CHA,Williams P.FOUL (P2.T1) (C.Washington),Foul,Personal,0,0,0,0,,,v
S2425-G0003,3,06:14,ORL,,CHA,,G. Williams,CHA,Williams T.FOUL (P2.T1) (C.Washington),Foul,Technical,0,0,0,0,,,v
S2425-G0003,3,05:06,ORL,,CHA,,G. Williams,CHA,SUB: Salaün FOR Williams,Substitution,,0,0,0,0,,,v
S2425-G0003,4,11:36,ORL,,CHA,,G. Williams,CHA,MISS Williams 2' Layup,Missed Shot,Layup Shot,20,10,2,1,2.0,0.0,v
S2425-G0003,4,11:20,ORL,,CHA,,G. Williams,CHA,Williams REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0003,4,09:17,ORL,,CHA,,G. Williams,CHA,MISS Williams 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,131,220,26,1,3.0,0.0,v
S2425-G0003,4,08:34,ORL,95.0,CHA,68.0,G. Williams,CHA,Williams 3' Driving Layup (15 PTS) (Micić 1 AST),Made Shot,Driving Layup Shot,-31,10,3,1,2.0,2.0,v
S2425-G0003,4,03:34,ORL,,CHA,,G. Williams,CHA,SUB: Salaün FOR Williams,Substitution,,0,0,0,0,,,v
S2425-G0079,1,02:56,ATL,,CHA,,G. Williams,CHA,MISS Williams 3PT Jump Shot,Missed Shot,Jump Shot,227,37,0,1,3.0,0.0,v
S2425-G0079,2,10:23,ATL,,CHA,,G. Williams,CHA,Williams REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,2,10:16,ATL,,CHA,,G. Williams,CHA,SUB: Bridges FOR Williams,Substitution,,0,0,0,0,,,v
S2425-G0079,2,08:04,ATL,,CHA,,G. Williams,CHA,Williams S.FOUL (P1.T3) (B.Forte),Foul,Shooting,0,0,0,0,,,v
S2425-G0079,2,06:26,ATL,,CHA,,G. Williams,CHA,Williams STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0079,2,04:23,ATL,,CHA,,G. Williams,CHA,Williams Violation:Kicked Ball (M.Dagher),Violation,Kicked Ball,0,0,0,0,,,v
S2425-G0079,2,04:18,ATL,,CHA,,G. Williams,CHA,Williams P.FOUL (P2.PN) (Z.Zarba),Foul,Personal,0,0,0,0,,,v
S2425-G0079,2,02:33,ATL,,CHA,,G. Williams,CHA,Williams REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,2,01:36,ATL,,CHA,,G. Williams,CHA,Williams REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,2,00:35.300000,ATL,60.0,CHA,58.0,G. Williams,CHA,Williams 26' 3PT Jump Shot (3 PTS) (Ball 3 AST),Made Shot,Jump Shot,75,250,26,1,3.0,3.0,v
S2425-G0079,2,00:09.300000,ATL,,CHA,,G. Williams,CHA,Williams OFF.Foul (P3) (Z.Zarba),Foul,Offensive,0,0,0,0,,,v
S2425-G0079,2,00:09.300000,ATL,,CHA,,G. Williams,CHA,Williams Offensive Foul Turnover (P1.T10),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2425-G0079,3,05:23,ATL,,CHA,,G. Williams,CHA,Williams REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,3,03:04,ATL,,CHA,,G. Williams,CHA,MISS Williams 26' 3PT Jump Shot,Missed Shot,Jump Shot,153,204,26,1,3.0,0.0,v
S2425-G0079,3,02:57,ATL,,CHA,,G. Williams,CHA,MISS Williams 8' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-7,79,8,1,2.0,0.0,v
S2425-G0079,3,02:19,ATL,,CHA,,G. Williams,CHA,MISS Williams 25' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,-154,202,25,1,3.0,0.0,v
S2425-G0079,3,02:02,ATL,82.0,CHA,76.0,G. Williams,CHA,Williams Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0079,3,02:02,ATL,82.0,CHA,77.0,G. Williams,CHA,Williams Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
