game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0079,1,10:51,ATL,,CHA,,M. Bridges,CHA,MISS Bridges 12' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,33,117,12,1,2.0,0.0,v
S2425-G0079,1,10:20,ATL,7.0,CHA,3.0,M. Bridges,CHA,Bridges 26' 3PT Jump Shot (3 PTS) (Ball 1 AST),Made Shot,Jump Shot,-164,197,26,1,3.0,3.0,v
S2425-G0079,1,09:00,ATL,,CHA,,M. Bridges,CHA,MISS Bridges 24' 3PT Jump Shot,Missed Shot,Jump Shot,-233,35,24,1,3.0,0.0,v
S2425-G0079,1,08:05,ATL,,CHA,,M. Bridges,CHA,MISS Bridges 26' 3PT Jump Shot,Missed Shot,Jump Shot,136,216,26,1,3.0,0.0,v
S2425-G0079,1,07:39,ATL,15.0,CHA,9.0,M. Bridges,CHA,Bridges 26' 3PT Jump Shot (6 PTS) (Richards 1 AST),Made Shot,Jump Shot,87,241,26,1,3.0,3.0,v
S2425-G0079,1,05:51,ATL,,CHA,,M. Bridges,CHA,MISS Bridges 4' Driving Layup,Missed Shot,Driving Layup Shot,6,36,4,1,2.0,0.0,v
S2425-G0079,1,05:07,ATL,,CHA,,M. Bridges,CHA,SUB: Williams FOR Bridges,Substitution,,0,0,0,0,,,v
S2425-G0079,2,09:11,ATL,36.0,CHA,25.0,M. Bridges,CHA,Bridges Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0079,2,09:11,ATL,36.0,CHA,26.0,M. Bridges,CHA,Bridges Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0079,2,08:14,ATL,41.0,CHA,28.0,M. Bridges,CHA,Bridges 2' Cutting Layup Shot (10 PTS) (Curry 1 AST),Made Shot,Cutting Layup Shot,11,20,2,1,2.0,2.0,v
S2425-G0079,2,06:22,ATL,43.0,CHA,36.0,M. Bridges,CHA,Bridges 2' Running Layup (12 PTS) (Williams 2 AST),Made Shot,Running Layup Shot,11,19,2,1,2.0,2.0,v
S2425-G0079,2,06:14,ATL,,CHA,,M. Bridges,CHA,Bridges P.FOUL (P1.T4) (Z.Zarba),Foul,Personal,0,0,0,0,,,v
S2425-G0079,2,05:55,ATL,46.0,CHA,39.0,M. Bridges,CHA,Bridges 26' 3PT Jump Shot (15 PTS) (Mann 1 AST),Made Shot,Jump Shot,85,247,26,1,3.0,3.0,v
S2425-G0079,2,04:23,ATL,,CHA,,M. Bridges,CHA,SUB: Micić FOR Bridges,Substitution,,0,0,0,0,,,v
S2425-G0079,3,11:05,ATL,,CHA,,M. Bridges,CHA,Bridges REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,3,10:26,ATL,62.0,CHA,59.0,M. Bridges,CHA,Bridges Free Throw 1 of 2 (16 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0079,3,10:26,ATL,62.0,CHA,60.0,M. Bridges,CHA,Bridges Free Throw 2 of 2 (17 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0079,3,08:10,ATL,,CHA,,M. Bridges,CHA,Bridges REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,3,07:06,ATL,,CHA,,M. Bridges,CHA,MISS Bridges 25' 3PT Jump Shot,Missed Shot,Jump Shot,-29,247,25,1,3.0,0.0,v
S2425-G0079,3,05:49,ATL,77.0,CHA,71.0,M. Bridges,CHA,Bridges 1' Running Layup (19 PTS),Made Shot,Running Layup Shot,-7,5,1,1,2.0,2.0,v
S2425-G0079,3,05:37,ATL,,CHA,,M. Bridges,CHA,SUB: Williams FOR Bridges,Substitution,,0,0,0,0,,,v
S2425-G0079,4,11:41,ATL,88.0,CHA,87.0,M. Bridges,CHA,Bridges 1' Driving Layup (21 PTS) (Ball 4 AST),Made Shot,Driving Layup Shot,-10,6,1,1,2.0,2.0,v
S2425-G0079,4,09:57,ATL,,CHA,,M. Bridges,CHA,Bridges BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0079,4,09:11,ATL,,CHA,,M. Bridges,CHA,MISS Bridges 2' Driving Layup,Missed Shot,Driving Layup Shot,-16,11,2,1,2.0,0.0,v
S2425-G0079,4,07:41,ATL,,CHA,,M. Bridges,CHA,Bridges S.FOUL (P2.T4) (Z.Zarba),Foul,Shooting,0,0,0,0,,,v
S2425-G0079,4,06:50,ATL,,CHA,,M. Bridges,CHA,SUB: Mann FOR Bridges,Substitution,,0,0,0,0,,,v
S2425-G0079,4,04:54,ATL,,CHA,,M. Bridges,CHA,Bridges REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,4,04:54,ATL,,CHA,,M. Bridges,CHA,MISS Bridges Putback Layup,Missed Shot,Putback Layup Shot,0,0,0,1,2.0,0.0,v
S2425-G0079,4,04:48,ATL,,CHA,,M. Bridges,CHA,Bridges REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,4,04:34,ATL,109.0,CHA,106.0,M. Bridges,CHA,Bridges Free Throw 1 of 2 (22 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0079,4,04:34,ATL,109.0,CHA,107.0,M. Bridges,CHA,Bridges Free Throw 2 of 2 (23 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0079,4,03:57,ATL,,CHA,,M. Bridges,CHA,MISS Bridges 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-37,244,25,1,3.0,0.0,v
