game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0079,1,05:40,ATL,,CHA,,T. Mann,CHA,Mann Bad Pass Turnover (P1.T5),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0079,1,05:25,ATL,,CHA,,T. Mann,CHA,MISS Mann 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,225,25,0,1,3.0,0.0,v
S2425-G0079,1,05:07,ATL,,CHA,,T. Mann,CHA,Mann OFF.Foul (P1) (M.Dagher),Foul,Offensive,0,0,0,0,,,v
S2425-G0079,1,05:07,ATL,,CHA,,T. Mann,CHA,Mann Offensive Foul Turnover (P2.T6),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2425-G0079,1,04:12,ATL,,CHA,,T. Mann,CHA,MISS Mann 20' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-116,157,20,1,2.0,0.0,v
S2425-G0079,1,03:33,ATL,23.0,CHA,14.0,T. Mann,CHA,Mann 6' Driving Floating Jump Shot (2 PTS) (Green 1 AST),Made Shot,Driving Floating Jump Shot,28,56,6,1,2.0,2.0,v
S2425-G0079,1,02:28,ATL,,CHA,,T. Mann,CHA,MISS Mann 3' Driving Layup,Missed Shot,Driving Layup Shot,17,20,3,1,2.0,0.0,v
S2425-G0079,1,02:06,ATL,,CHA,,T. Mann,CHA,MISS Mann 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,194,167,26,1,3.0,0.0,v
S2425-G0079,1,00:10,ATL,,CHA,,T. Mann,CHA,MISS Mann 17' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,104,131,17,1,2.0,0.0,v
S2425-G0079,2,10:23,ATL,,CHA,,T. Mann,CHA,MISS Mann 26' 3PT Jump Shot,Missed Shot,Jump Shot,99,237,26,1,3.0,0.0,v
S2425-G0079,2,10:17,ATL,,CHA,,T. Mann,CHA,MISS Mann 1' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,-9,11,1,1,2.0,0.0,v
S2425-G0079,2,09:40,ATL,,CHA,,T. Mann,CHA,SUB: Green FOR Mann,Substitution,,0,0,0,0,,,v
S2425-G0079,2,06:43,ATL,43.0,CHA,34.0,T. Mann,CHA,Mann 26' 3PT Pullup Jump Shot (5 PTS),Made Shot,Pullup Jump shot,-38,260,26,1,3.0,3.0,v
S2425-G0079,2,05:13,ATL,48.0,CHA,41.0,T. Mann,CHA,Mann 2' Driving Layup (7 PTS),Made Shot,Driving Layup Shot,-2,20,2,1,2.0,2.0,v
S2425-G0079,2,04:57,ATL,,CHA,,T. Mann,CHA,Mann Out of Bounds - Bad Pass Turnover Turnover (P3.T8),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0079,2,04:23,ATL,,CHA,,T. Mann,CHA,SUB: Richards FOR Mann,Substitution,,0,0,0,0,,,v
S2425-G0079,3,03:59,ATL,,CHA,,T. Mann,CHA,MISS Mann 13' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-26,123,13,1,2.0,0.0,v
S2425-G0079,3,02:26,ATL,,CHA,,T. Mann,CHA,Mann STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0079,3,01:31,ATL,83.0,CHA,79.0,T. Mann,CHA,Mann 2' Driving Layup (9 PTS) (Richards 2 AST),Made Shot,Driving Layup Shot,-11,12,2,1,2.0,2.0,v
S2425-G0079,3,01:31,ATL,83.0,CHA,80.0,T. Mann,CHA,Mann Free Throw 1 of 1 (10 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2425-G0079,3,01:05,ATL,,CHA,,T. Mann,CHA,Mann REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,3,01:04,ATL,83.0,CHA,81.0,T. Mann,CHA,Mann Free Throw 1 of 2 (11 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0079,3,01:04,ATL,83.0,CHA,82.0,T. Mann,CHA,Mann Free Throw 2 of 2 (12 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0079,4,10:19,ATL,,CHA,,T. Mann,CHA,SUB: Curry FOR Mann,Substitution,,0,0,0,0,,,v
S2425-G0079,4,05:00,ATL,,CHA,,T. Mann,CHA,MISS Mann 2' Driving Layup,Missed Shot,Driving Layup Shot,-2,15,2,1,2.0,0.0,v
