game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0091,4,02:06,CHI,91.0,OKC,110.0,C. Duarte,CHI,Duarte 24' 3PT Jump Shot (3 PTS) (Carter 1 AST),Made Shot,Jump Shot,-237,2,24,1,3.0,3.0,h
S2425-G0013,4,00:21.300000,CLE,139.0,CHI,123.0,C. Duarte,CHI,Duarte 1' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,-7,9,1,1,2.0,2.0,v
S2425-G0176,4,05:25,DAL,,CHI,,C. Duarte,CHI,MISS Duarte 25' 3PT Jump Shot,Missed Shot,Jump Shot,-11,246,25,1,3.0,0.0,v
S2425-G0176,4,04:22,DAL,109.0,CHI,82.0,C. Duarte,CHI,Duarte 3PT Jump Shot (3 PTS) (Horton-Tucker 4 AST),Made Shot,Jump Shot,-223,2,0,1,3.0,3.0,v
S2425-G0176,4,03:32,DAL,,CHI,,C. Duarte,CHI,Duarte REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0176,4,03:30,DAL,,CHI,,C. Duarte,CHI,MISS Duarte Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0176,4,03:30,DAL,,CHI,,C. Duarte,CHI,MISS Duarte Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0176,4,02:03,DAL,111.0,CHI,90.0,C. Duarte,CHI,Duarte Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0176,4,02:03,DAL,111.0,CHI,91.0,C. Duarte,CHI,Duarte Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0176,4,00:45.900000,DAL,,CHI,,C. Duarte,CHI,Duarte REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0176,4,00:38.700000,DAL,116.0,CHI,96.0,C. Duarte,CHI,Duarte Free Throw 1 of 2 (6 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0176,4,00:38.700000,DAL,116.0,CHI,97.0,C. Duarte,CHI,Duarte Free Throw 2 of 2 (7 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0069,4,00:27.900000,NOP,123.0,CHI,111.0,C. Duarte,CHI,Duarte 25' 3PT Jump Shot (3 PTS) (Horton-Tucker 1 AST),Made Shot,Jump Shot,-123,221,25,1,3.0,3.0,v
S2425-G0181,4,01:10,CHI,,MIN,,C. Duarte,CHI,MISS Duarte 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-7,269,27,1,3.0,0.0,h
