game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0074,4,00:24.100000,DAL,,SAS,,S. Dinwiddie,DAL,Dinwiddie REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0110,1,06:04,DAL,,UTA,,S. Dinwiddie,DAL,Dinwiddie S.FOUL (P1.T2) (M.Davis),Foul,Shooting,0,0,0,0,,,h
S2425-G0110,1,03:20,DAL,,UTA,,S. Dinwiddie,DAL,Dinwiddie BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0110,1,01:34,DAL,,UTA,,S. Dinwiddie,DAL,MISS Dinwiddie Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0110,1,01:34,DAL,,UTA,,S. Dinwiddie,DAL,MISS Dinwiddie Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0110,2,05:12,DAL,,UTA,,S. Dinwiddie,DAL,Dinwiddie OFF.Foul (P2) (K.Lane),Foul,Offensive,0,0,0,0,,,h
S2425-G0110,2,05:12,DAL,,UTA,,S. Dinwiddie,DAL,Dinwiddie Offensive Foul Turnover (P1.T4),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2425-G0110,2,04:35,DAL,,UTA,,S. Dinwiddie,DAL,MISS Dinwiddie 24' 3PT Jump Shot,Missed Shot,Jump Shot,-191,145,24,1,3.0,0.0,h
S2425-G0110,2,03:01,DAL,,UTA,,S. Dinwiddie,DAL,SUB: Dončić FOR Dinwiddie,Substitution,,0,0,0,0,,,h
S2425-G0110,3,04:31,DAL,66.0,UTA,63.0,S. Dinwiddie,DAL,Dinwiddie Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0110,3,04:31,DAL,67.0,UTA,63.0,S. Dinwiddie,DAL,Dinwiddie Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0110,3,03:26,DAL,70.0,UTA,65.0,S. Dinwiddie,DAL,Dinwiddie 3PT Jump Shot (5 PTS) (Marshall 1 AST),Made Shot,Jump Shot,-232,6,0,1,3.0,3.0,h
S2425-G0110,3,01:39,DAL,77.0,UTA,67.0,S. Dinwiddie,DAL,Dinwiddie 27' 3PT Jump Shot (8 PTS) (Irving 5 AST),Made Shot,Jump Shot,-141,225,27,1,3.0,3.0,h
S2425-G0110,3,00:02.500000,DAL,82.0,UTA,70.0,S. Dinwiddie,DAL,Dinwiddie 26' 3PT Step Back Jump Shot (11 PTS) (Irving 6 AST),Made Shot,Step Back Jump shot,-225,125,26,1,3.0,3.0,h
S2425-G0110,4,10:48,DAL,,UTA,,S. Dinwiddie,DAL,MISS Dinwiddie 7' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,-66,28,7,1,2.0,0.0,h
S2425-G0110,4,08:28,DAL,,UTA,,S. Dinwiddie,DAL,SUB: Washington FOR Dinwiddie,Substitution,,0,0,0,0,,,h
S2425-G0110,4,06:30,DAL,,UTA,,S. Dinwiddie,DAL,Dinwiddie P.FOUL (P3.T2) (K.Lane),Foul,Personal,0,0,0,0,,,h
S2425-G0110,4,04:51,DAL,,UTA,,S. Dinwiddie,DAL,SUB: Irving FOR Dinwiddie,Substitution,,0,0,0,0,,,h
S2425-G0033,1,00:17.500000,DEN,28.0,DAL,33.0,S. Dinwiddie,DAL,Dinwiddie 24' 3PT Jump Shot (3 PTS) (Hardy 2 AST),Made Shot,Jump Shot,-238,36,24,1,3.0,3.0,v
S2425-G0033,2,06:56,DEN,,DAL,,S. Dinwiddie,DAL,MISS Dinwiddie 26' 3PT Jump Shot,Missed Shot,Jump Shot,142,214,26,1,3.0,0.0,v
S2425-G0033,2,06:35,DEN,42.0,DAL,47.0,S. Dinwiddie,DAL,Dinwiddie 3PT Jump Shot (6 PTS) (Grimes 1 AST),Made Shot,Jump Shot,-227,15,0,1,3.0,3.0,v
S2425-G0033,2,04:54,DEN,,DAL,,S. Dinwiddie,DAL,Dinwiddie REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0033,2,04:40,DEN,,DAL,,S. Dinwiddie,DAL,SUB: Washington FOR Dinwiddie,Substitution,,0,0,0,0,,,v
S2425-G0033,3,02:34,DEN,,DAL,,S. Dinwiddie,DAL,MISS Dinwiddie 26' 3PT Jump Shot,Missed Shot,Jump Shot,50,258,26,1,3.0,0.0,v
S2425-G0033,3,02:17,DEN,82.0,DAL,89.0,S. Dinwiddie,DAL,Dinwiddie 25' 3PT Step Back Jump Shot (9 PTS),Made Shot,Step Back Jump shot,104,230,25,1,3.0,3.0,v
S2425-G0033,3,00:21.500000,DEN,,DAL,,S. Dinwiddie,DAL,Dinwiddie REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0033,4,10:25,DEN,,DAL,,S. Dinwiddie,DAL,MISS Dinwiddie Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0033,4,10:25,DEN,92.0,DAL,99.0,S. Dinwiddie,DAL,Dinwiddie Free Throw 2 of 2 (10 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0033,4,08:02,DEN,,DAL,,S. Dinwiddie,DAL,SUB: Grimes FOR Dinwiddie,Substitution,,0,0,0,0,,,v
S2425-G0033,4,00:04.200000,DEN,,DAL,,S. Dinwiddie,DAL,SUB: Lively II FOR Dinwiddie,Substitution,,0,0,0,0,,,v
S2425-G0176,1,03:59,DAL,,CHI,,S. Dinwiddie,DAL,Dinwiddie REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0176,1,03:19,DAL,,CHI,,S. Dinwiddie,DAL,MISS Dinwiddie 25' 3PT Jump Shot,Missed Shot,Jump Shot,216,129,25,1,3.0,0.0,h
S2425-G0176,1,03:03,DAL,,CHI,,S. Dinwiddie,DAL,MISS Dinwiddie Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
