game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0019,2,11:28,GSW,,MEM,,B. Podziemski,GSW,Podziemski REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0019,2,11:18,GSW,34.0,MEM,28.0,B. Podziemski,GSW,Podziemski 19' Jump Shot (2 PTS),Made Shot,Jump Shot,104,153,19,1,2.0,2.0,h
S2425-G0019,2,09:37,GSW,,MEM,,B. Podziemski,GSW,Podziemski REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0019,2,08:18,GSW,,MEM,,B. Podziemski,GSW,Podziemski STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0019,2,05:52,GSW,,MEM,,B. Podziemski,GSW,SUB: Waters III FOR Podziemski,Substitution,,0,0,0,0,,,h
S2425-G0019,3,11:02,GSW,,MEM,,B. Podziemski,GSW,Podziemski REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0019,3,10:23,GSW,,MEM,,B. Podziemski,GSW,Podziemski S.FOUL (P1.T1) (A.Nagy),Foul,Shooting,0,0,0,0,,,h
S2425-G0019,3,09:19,GSW,,MEM,,B. Podziemski,GSW,Podziemski REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0019,3,07:06,GSW,,MEM,,B. Podziemski,GSW,SUB: Hield FOR Podziemski,Substitution,,0,0,0,0,,,h
S2425-G0019,3,03:07,GSW,,MEM,,B. Podziemski,GSW,Podziemski P.FOUL (P2.PN) (B.Kennedy),Foul,Personal,0,0,0,0,,,h
S2425-G0019,3,02:51,GSW,82.0,MEM,70.0,B. Podziemski,GSW,Podziemski Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0019,3,02:51,GSW,83.0,MEM,70.0,B. Podziemski,GSW,Podziemski Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0019,3,01:37,GSW,88.0,MEM,74.0,B. Podziemski,GSW,Podziemski 3PT Jump Shot (7 PTS) (Anderson 2 AST),Made Shot,Jump Shot,-229,4,0,1,3.0,3.0,h
S2425-G0019,4,11:00,GSW,,MEM,,B. Podziemski,GSW,Podziemski REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0019,4,09:17,GSW,102.0,MEM,82.0,B. Podziemski,GSW,Podziemski 5' Running Layup (9 PTS) (Green 7 AST),Made Shot,Running Layup Shot,-43,32,5,1,2.0,2.0,h
S2425-G0019,4,08:34,GSW,,MEM,,B. Podziemski,GSW,Podziemski REBOUND (Off:0 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2425-G0019,4,07:35,GSW,,MEM,,B. Podziemski,GSW,MISS Podziemski 25' 3PT Jump Shot,Missed Shot,Jump Shot,-138,205,25,1,3.0,0.0,h
S2425-G0019,4,04:30,GSW,,MEM,,B. Podziemski,GSW,Podziemski REBOUND (Off:0 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2425-G0019,4,02:15,GSW,,MEM,,B. Podziemski,GSW,MISS Podziemski 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-43,247,25,1,3.0,0.0,h
S2425-G0019,4,00:46,GSW,,MEM,,B. Podziemski,GSW,MISS Podziemski 29' 3PT Jump Shot,Missed Shot,Jump Shot,-64,278,29,1,3.0,0.0,h
S2425-G0019,4,00:30.800000,GSW,122.0,MEM,111.0,B. Podziemski,GSW,Podziemski Free Throw 1 of 2 (10 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
