game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0019,1,11:24,GSW,,MEM,,D. Green,GSW,MISS Green 25' 3PT Jump Shot,Missed Shot,Jump Shot,110,227,25,1,3.0,0.0,h
S2425-G0019,1,11:09,GSW,,MEM,,D. Green,GSW,WARRIORS T.Foul (Def. 3 Sec Green ) (B.Kennedy),Foul,Defense 3 Second,0,0,0,0,,,h
S2425-G0019,1,10:13,GSW,,MEM,,D. Green,GSW,MISS Green 26' 3PT Jump Shot,Missed Shot,Jump Shot,-141,214,26,1,3.0,0.0,h
S2425-G0019,1,07:23,GSW,12.0,MEM,10.0,D. Green,GSW,Green 5' Running Layup (2 PTS),Made Shot,Running Layup Shot,-16,47,5,1,2.0,2.0,h
S2425-G0019,1,05:21,GSW,,MEM,,D. Green,GSW,SUB: Looney FOR Green,Substitution,,0,0,0,0,,,h
S2425-G0019,2,10:59,GSW,,MEM,,D. Green,GSW,Green REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0019,2,10:40,GSW,,MEM,,D. Green,GSW,Green STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0019,2,09:57,GSW,,MEM,,D. Green,GSW,Green REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0019,2,07:24,GSW,,MEM,,D. Green,GSW,Green REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0019,2,07:13,GSW,,MEM,,D. Green,GSW,SUB: Looney FOR Green,Substitution,,0,0,0,0,,,h
S2425-G0019,2,03:22,GSW,50.0,MEM,41.0,D. Green,GSW,Green 5' Cutting Layup Shot (4 PTS) (Curry 3 AST),Made Shot,Cutting Layup Shot,32,40,5,1,2.0,2.0,h
S2425-G0019,2,02:06,GSW,,MEM,,D. Green,GSW,Green REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0019,2,01:44,GSW,,MEM,,D. Green,GSW,Green REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0019,2,01:25,GSW,,MEM,,D. Green,GSW,MISS Green 7' Driving Layup,Missed Shot,Driving Layup Shot,25,64,7,1,2.0,0.0,h
S2425-G0019,2,00:00.600000,GSW,,MEM,,D. Green,GSW,Green BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0019,3,10:36,GSW,,MEM,,D. Green,GSW,MISS Green 3PT Jump Shot,Missed Shot,Jump Shot,-225,1,0,1,3.0,0.0,h
S2425-G0019,3,10:10,GSW,63.0,MEM,52.0,D. Green,GSW,Green 25' 3PT Jump Shot (7 PTS) (Curry 4 AST),Made Shot,Jump Shot,125,214,25,1,3.0,3.0,h
S2425-G0019,3,09:35,GSW,66.0,MEM,54.0,D. Green,GSW,Green 25' 3PT Jump Shot (10 PTS) (Podziemski 2 AST),Made Shot,Jump Shot,43,249,25,1,3.0,3.0,h
S2425-G0019,3,08:26,GSW,,MEM,,D. Green,GSW,MISS Green 25' 3PT Jump Shot,Missed Shot,Jump Shot,32,252,25,1,3.0,0.0,h
S2425-G0019,3,07:06,GSW,,MEM,,D. Green,GSW,Green Lost Ball Turnover (P1.T10),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0019,3,07:06,GSW,,MEM,,D. Green,GSW,Green Transition Take Foul (P1.T3) (A.Nagy),Foul                                    ,Transition Take,0,0,0,0,,,h
S2425-G0019,3,06:41,GSW,,MEM,,D. Green,GSW,Green P.FOUL (P2.T4) (B.Forte),Foul,Personal,0,0,0,0,,,h
S2425-G0019,3,05:38,GSW,,MEM,,D. Green,GSW,SUB: Kuminga FOR Green,Substitution,,0,0,0,0,,,h
S2425-G0019,4,09:20,GSW,,MEM,,D. Green,GSW,Green REBOUND (Off:0 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2425-G0019,4,08:21,GSW,105.0,MEM,84.0,D. Green,GSW,Green 25' 3PT Jump Shot (13 PTS) (Moody 1 AST),Made Shot,Jump Shot,53,246,25,1,3.0,3.0,h
S2425-G0019,4,07:48,GSW,,MEM,,D. Green,GSW,Green S.FOUL (P3.T2) (A.Nagy),Foul,Shooting,0,0,0,0,,,h
S2425-G0019,4,07:11,GSW,,MEM,,D. Green,GSW,Green REBOUND (Off:0 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2425-G0019,4,06:08,GSW,,MEM,,D. Green,GSW,SUB: Payton II FOR Green,Substitution,,0,0,0,0,,,h
S2425-G0019,4,02:46,GSW,,MEM,,D. Green,GSW,MISS Green 1' Driving Layup,Missed Shot,Driving Layup Shot,4,4,1,1,2.0,0.0,h
S2425-G0019,4,02:15,GSW,,MEM,,D. Green,GSW,Green REBOUND (Off:0 Def:8),Rebound,Unknown,0,0,0,0,,,h
S2425-G0019,4,01:47,GSW,,MEM,,D. Green,GSW,Green T.FOUL (P3.T4) (A.Nagy),Foul,Technical,0,0,0,0,,,h
S2425-G0019,4,01:14,GSW,,MEM,,D. Green,GSW,SUB: Anderson FOR Green,Substitution,,0,0,0,0,,,h
S2425-G0019,4,01:14,GSW,,MEM,,D. Green,GSW,Green T.FOUL (P3.T4) (B.Forte),Foul,Technical,0,0,0,0,,,h
S2425-G0019,4,01:14,GSW,,MEM,,D. Green,GSW,Green Ejection:Other,Ejection,Other,0,0,0,0,,,h
S2425-G0188,1,11:47,CLE,,GSW,,D. Green,GSW,Green S.FOUL (P1.T1) (R.Mott),Foul,Shooting,0,0,0,0,,,v
S2425-G0188,1,10:19,CLE,,GSW,,D. Green,GSW,MISS Green 24' 3PT Jump Shot,Missed Shot,Jump Shot,-244,-9,24,1,3.0,0.0,v
S2425-G0188,1,08:51,CLE,,GSW,,D. Green,GSW,MISS Green 24' 3PT Jump Shot,Missed Shot,Jump Shot,237,5,24,1,3.0,0.0,v
S2425-G0188,1,08:05,CLE,,GSW,,D. Green,GSW,Green REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0188,1,08:02,CLE,,GSW,,D. Green,GSW,Green Out of Bounds - Bad Pass Turnover Turnover (P1.T2),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0188,1,06:21,CLE,,GSW,,D. Green,GSW,Green P.FOUL (P2.T3) (J.Conley),Foul,Personal,0,0,0,0,,,v
S2425-G0188,1,05:38,CLE,,GSW,,D. Green,GSW,Green STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0188,1,05:08,CLE,,GSW,,D. Green,GSW,MISS Green 2' Driving Layup,Missed Shot,Driving Layup Shot,2,22,2,1,2.0,0.0,v
S2425-G0188,1,04:49,CLE,,GSW,,D. Green,GSW,SUB: Looney FOR Green,Substitution,,0,0,0,0,,,v
S2425-G0188,2,06:54,CLE,,GSW,,D. Green,GSW,Green Violation:Kicked Ball (J.Conley),Violation,Kicked Ball,0,0,0,0,,,v
S2425-G0188,2,04:44,CLE,,GSW,,D. Green,GSW,Green S.FOUL (P3.T3) (J.Conley),Foul,Shooting,0,0,0,0,,,v
S2425-G0188,2,03:10,CLE,,GSW,,D. Green,GSW,MISS Green 6' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,34,53,6,1,2.0,0.0,v
S2425-G0188,2,03:01,CLE,,GSW,,D. Green,GSW,Green REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0188,2,01:52,CLE,,GSW,,D. Green,GSW,Green Bad Pass Turnover (P2.T10),Turnover,Bad Pass,0,0,0,0,,,v
