game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0192,1,11:46,OKC,0.0,HOU,2.0,J. Green,HOU,Ja. Green 3' Driving Finger Roll Layup (2 PTS),Made Shot,Driving Finger Roll Layup Shot,26,6,3,1,2.0,2.0,v
S2425-G0192,1,08:57,OKC,,HOU,,J. Green,HOU,Ja. Green REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0192,1,08:37,OKC,,HOU,,J. Green,HOU,Ja. Green REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0192,1,08:34,OKC,,HOU,,J. Green,HOU,MISS Ja. Green 2' Running Layup,Missed Shot,Running Layup Shot,-5,17,2,1,2.0,0.0,v
S2425-G0192,1,08:18,OKC,,HOU,,J. Green,HOU,MISS Ja. Green 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,107,226,25,1,3.0,0.0,v
S2425-G0192,1,06:19,OKC,17.0,HOU,17.0,J. Green,HOU,Ja. Green 3' Cutting Layup Shot (4 PTS) (Sengun 2 AST),Made Shot,Cutting Layup Shot,-25,13,3,1,2.0,2.0,v
S2425-G0192,1,05:42,OKC,20.0,HOU,20.0,J. Green,HOU,Ja. Green 26' 3PT Jump Shot (7 PTS) (Brooks 1 AST),Made Shot,Jump Shot,42,255,26,1,3.0,3.0,v
S2425-G0192,1,05:16,OKC,,HOU,,J. Green,HOU,SUB: Thompson FOR Ja. Green,Substitution,,0,0,0,0,,,v
S2425-G0192,1,02:11,OKC,27.0,HOU,30.0,J. Green,HOU,Ja. Green 27' 3PT Step Back Jump Shot (10 PTS),Made Shot,Step Back Jump shot,-7,269,27,1,3.0,3.0,v
S2425-G0192,2,10:23,OKC,,HOU,,J. Green,HOU,Ja. Green REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0192,2,10:17,OKC,,HOU,,J. Green,HOU,MISS Ja. Green 5' Driving Layup,Missed Shot,Driving Layup Shot,17,50,5,1,2.0,0.0,v
S2425-G0192,2,10:17,OKC,,HOU,,J. Green,HOU,Ja. Green T.FOUL (P0.T0) (K.Scott),Foul,Technical,0,0,0,0,,,v
S2425-G0192,2,09:23,OKC,,HOU,,J. Green,HOU,Ja. Green Out of Bounds - Bad Pass Turnover Turnover (P1.T3),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0192,2,08:53,OKC,,HOU,,J. Green,HOU,SUB: VanVleet FOR Ja. Green,Substitution,,0,0,0,0,,,v
S2425-G0192,2,05:03,OKC,,HOU,,J. Green,HOU,MISS Ja. Green 27' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-85,255,27,1,3.0,0.0,v
S2425-G0192,2,04:41,OKC,,HOU,,J. Green,HOU,Ja. Green S.FOUL (P1.T3) (K.Scott),Foul,Shooting,0,0,0,0,,,v
S2425-G0192,2,04:28,OKC,,HOU,,J. Green,HOU,MISS Ja. Green 26' 3PT Jump Shot,Missed Shot,Jump Shot,-141,224,26,1,3.0,0.0,v
S2425-G0192,2,01:38,OKC,,HOU,,J. Green,HOU,MISS Ja. Green 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-18,267,27,1,3.0,0.0,v
S2425-G0192,2,01:01,OKC,70.0,HOU,51.0,J. Green,HOU,Ja. Green 3' Driving Layup (12 PTS),Made Shot,Driving Layup Shot,-29,9,3,1,2.0,2.0,v
S2425-G0192,2,00:29.100000,OKC,,HOU,,J. Green,HOU,MISS Ja. Green 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-145,221,26,1,3.0,0.0,v
S2425-G0192,3,08:39,OKC,81.0,HOU,55.0,J. Green,HOU,Ja. Green Free Throw 1 of 2 (13 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0192,3,08:39,OKC,81.0,HOU,56.0,J. Green,HOU,Ja. Green Free Throw 2 of 2 (14 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0192,3,07:05,OKC,,HOU,,J. Green,HOU,MISS Ja. Green 3' Driving Layup,Missed Shot,Driving Layup Shot,26,-3,3,1,2.0,0.0,v
S2425-G0192,3,05:36,OKC,,HOU,,J. Green,HOU,Ja. Green REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0192,3,05:20,OKC,,HOU,,J. Green,HOU,MISS Ja. Green 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,123,231,26,1,3.0,0.0,v
S2425-G0192,3,02:20,OKC,,HOU,,J. Green,HOU,SUB: Thompson FOR Ja. Green,Substitution,,0,0,0,0,,,v
S2425-G0192,4,01:11,OKC,126.0,HOU,107.0,J. Green,HOU,Je. Green 26' 3PT Running Jump Shot (3 PTS) (Sheppard 4 AST),Made Shot,Running Jump Shot,168,201,26,1,3.0,3.0,v
S2425-G0192,4,00:37.800000,OKC,,HOU,,J. Green,HOU,Je. Green Lost Ball Turnover (P1.T17),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0068,1,11:13,HOU,,CHA,,J. Green,HOU,MISS Ja. Green 2' Driving Layup,Missed Shot,Driving Layup Shot,13,18,2,1,2.0,0.0,h
S2425-G0068,1,09:31,HOU,,CHA,,J. Green,HOU,Ja. Green REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,1,09:24,HOU,3.0,CHA,3.0,J. Green,HOU,Ja. Green Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0068,1,09:24,HOU,4.0,CHA,3.0,J. Green,HOU,Ja. Green Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0068,1,08:11,HOU,,CHA,,J. Green,HOU,Ja. Green REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
