game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0170,1,12:00,IND,,ORL,,M. Turner,IND,Jump Ball Turner vs. Bitadze: Tip to Caldwell-Pope,Jump Ball,,0,0,0,0,,,h
S2425-G0170,1,09:38,IND,,ORL,,M. Turner,IND,Turner REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0170,1,09:07,IND,9.0,ORL,5.0,M. Turner,IND,Turner 3' Driving Layup (2 PTS) (Haliburton 2 AST),Made Shot,Driving Layup Shot,-22,12,3,1,2.0,2.0,h
S2425-G0170,1,08:36,IND,11.0,ORL,5.0,M. Turner,IND,Turner 2' Driving Floating Jump Shot (4 PTS) (Nembhard 1 AST),Made Shot,Driving Floating Jump Shot,18,17,2,1,2.0,2.0,h
S2425-G0170,1,06:37,IND,,ORL,,M. Turner,IND,MISS Turner 4' Driving Layup,Missed Shot,Driving Layup Shot,38,18,4,1,2.0,0.0,h
S2425-G0170,1,06:26,IND,,ORL,,M. Turner,IND,Turner REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0170,1,05:30,IND,,ORL,,M. Turner,IND,MISS Turner 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,12,263,26,1,3.0,0.0,h
S2425-G0170,1,04:58,IND,,ORL,,M. Turner,IND,Turner BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0170,1,04:55,IND,,ORL,,M. Turner,IND,Turner REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0170,1,04:28,IND,,ORL,,M. Turner,IND,Turner S.FOUL (P1.T3) (B.Schwab),Foul,Shooting,0,0,0,0,,,h
S2425-G0170,1,04:16,IND,,ORL,,M. Turner,IND,MISS Turner 26' 3PT Jump Shot,Missed Shot,Jump Shot,12,259,26,1,3.0,0.0,h
S2425-G0170,1,04:00,IND,,ORL,,M. Turner,IND,Turner REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0170,1,03:34,IND,,ORL,,M. Turner,IND,SUB: Siakam FOR Turner,Substitution,,0,0,0,0,,,h
S2425-G0170,2,09:00,IND,,ORL,,M. Turner,IND,Turner L.B.FOUL (P2.T2) (C.Kirkland),Foul,Loose Ball,0,0,0,0,,,h
S2425-G0170,2,07:56,IND,,ORL,,M. Turner,IND,Turner REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0170,2,07:49,IND,,ORL,,M. Turner,IND,Turner Bad Pass Turnover (P1.T4),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0170,2,07:11,IND,,ORL,,M. Turner,IND,Turner REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0170,2,06:07,IND,,ORL,,M. Turner,IND,MISS Turner 11' Jump Shot,Missed Shot,Jump Shot,-18,104,11,1,2.0,0.0,h
S2425-G0170,2,05:26,IND,,ORL,,M. Turner,IND,MISS Turner 3' Layup,Missed Shot,Layup Shot,28,12,3,1,2.0,0.0,h
S2425-G0170,2,04:09,IND,,ORL,,M. Turner,IND,Turner Lost Ball Turnover (P2.T5),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0170,2,03:30,IND,,ORL,,M. Turner,IND,Turner STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0170,2,00:54.900000,IND,,ORL,,M. Turner,IND,Turner REBOUND (Off:1 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2425-G0170,2,00:38.900000,IND,,ORL,,M. Turner,IND,MISS Turner 28' 3PT Jump Shot,Missed Shot,Jump Shot,-119,248,28,1,3.0,0.0,h
S2425-G0170,2,00:29.500000,IND,,ORL,,M. Turner,IND,Turner REBOUND (Off:1 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2425-G0170,3,11:41,IND,63.0,ORL,57.0,M. Turner,IND,Turner 19' Jump Shot (6 PTS),Made Shot,Jump Shot,17,194,19,1,2.0,2.0,h
S2425-G0170,3,11:16,IND,,ORL,,M. Turner,IND,Turner BLOCK (2 BLK),,,0,0,0,0,,,h
S2425-G0170,3,10:52,IND,,ORL,,M. Turner,IND,MISS Turner 20' Jump Shot,Missed Shot,Jump Shot,-5,198,20,1,2.0,0.0,h
S2425-G0170,3,09:10,IND,,ORL,,M. Turner,IND,MISS Turner Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0170,3,09:10,IND,66.0,ORL,63.0,M. Turner,IND,Turner Free Throw 2 of 2 (7 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0170,3,08:40,IND,,ORL,,M. Turner,IND,Turner Out of Bounds - Bad Pass Turnover Turnover (P3.T7),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0170,3,08:20,IND,,ORL,,M. Turner,IND,MISS Turner 6' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,-12,59,6,1,2.0,0.0,h
S2425-G0170,3,08:08,IND,,ORL,,M. Turner,IND,Turner REBOUND (Off:1 Def:8),Rebound,Unknown,0,0,0,0,,,h
