game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0062,2,03:24,LAL,,MIN,,B. James,LAL,B. James REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,2,03:24,LAL,,MIN,,B. James,LAL,MISS B. James Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2425-G0062,2,01:38,LAL,,MIN,,B. James,LAL,MISS B. James 28' 3PT Jump Shot,Missed Shot,Jump Shot,147,242,28,1,3.0,0.0,h
S2425-G0062,2,01:19,LAL,,MIN,,B. James,LAL,SUB: Russell FOR B. James,Substitution,,0,0,0,0,,,h
S2425-G0174,4,03:06,MEM,,LAL,,B. James,LAL,MISS B. James 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,4,255,26,1,3.0,0.0,v
S2425-G0174,4,00:52.200000,MEM,129.0,LAL,113.0,B. James,LAL,B. James Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0174,4,00:52.200000,MEM,129.0,LAL,114.0,B. James,LAL,B. James Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0174,4,00:33.900000,MEM,,LAL,,B. James,LAL,B. James P.FOUL (P1.PN) (B.Maru),Foul,Personal,0,0,0,0,,,v
S2425-G0174,4,00:24.600000,MEM,,LAL,,B. James,LAL,MISS B. James 24' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-163,174,24,1,3.0,0.0,v
S2425-G0118,4,04:05,CLE,,LAL,,B. James,LAL,B. James STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0118,4,02:03,CLE,125.0,LAL,105.0,B. James,LAL,B. James 14' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,-143,19,14,1,2.0,2.0,v
S2425-G0118,4,00:55.900000,CLE,,LAL,,B. James,LAL,MISS B. James 26' 3PT Jump Shot,Missed Shot,Jump Shot,-22,256,26,1,3.0,0.0,v
