game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0062,1,09:19,LAL,,MIN,,D. Russell,LAL,MISS Russell 26' 3PT Jump Shot,Missed Shot,Jump Shot,156,210,26,1,3.0,0.0,h
S2425-G0062,1,08:17,LAL,,MIN,,D. Russell,LAL,MISS Russell 4' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,20,31,4,1,2.0,0.0,h
S2425-G0062,1,07:25,LAL,,MIN,,D. Russell,LAL,Russell STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0062,1,05:36,LAL,16.0,MIN,10.0,D. Russell,LAL,Russell 25' 3PT Jump Shot (3 PTS) (Davis 3 AST),Made Shot,Jump Shot,27,249,25,1,3.0,3.0,h
S2425-G0062,1,05:09,LAL,,MIN,,D. Russell,LAL,SUB: Vincent FOR Russell,Substitution,,0,0,0,0,,,h
S2425-G0062,1,00:01.100000,LAL,,MIN,,D. Russell,LAL,MISS Russell 26' 3PT Jump Shot,Missed Shot,Jump Shot,131,222,26,1,3.0,0.0,h
S2425-G0062,2,11:43,LAL,,MIN,,D. Russell,LAL,MISS Russell 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,235,74,25,1,3.0,0.0,h
S2425-G0062,2,10:40,LAL,26.0,MIN,26.0,D. Russell,LAL,Russell 2' Cutting Layup Shot (5 PTS) (Hachimura 1 AST),Made Shot,Cutting Layup Shot,-12,15,2,1,2.0,2.0,h
S2425-G0062,2,10:01,LAL,,MIN,,D. Russell,LAL,MISS Russell 26' 3PT Jump Shot,Missed Shot,Jump Shot,-238,112,26,1,3.0,0.0,h
S2425-G0062,2,09:35,LAL,,MIN,,D. Russell,LAL,Russell S.FOUL (P1.T1) (N.Buchert),Foul,Shooting,0,0,0,0,,,h
S2425-G0062,2,09:27,LAL,30.0,MIN,27.0,D. Russell,LAL,Russell 3' Driving Layup (7 PTS),Made Shot,Driving Layup Shot,-10,32,3,1,2.0,2.0,h
S2425-G0062,2,08:15,LAL,,MIN,,D. Russell,LAL,Russell REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,2,07:16,LAL,,MIN,,D. Russell,LAL,Russell STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0062,2,07:14,LAL,,MIN,,D. Russell,LAL,Russell Bad Pass Turnover (P1.T3),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0062,2,06:48,LAL,,MIN,,D. Russell,LAL,SUB: Vincent FOR Russell,Substitution,,0,0,0,0,,,h
S2425-G0062,2,00:13.300000,LAL,,MIN,,D. Russell,LAL,MISS Russell 26' 3PT Jump Shot,Missed Shot,Jump Shot,162,204,26,1,3.0,0.0,h
S2425-G0062,3,09:57,LAL,,MIN,,D. Russell,LAL,MISS Russell 26' 3PT Jump Shot,Missed Shot,Jump Shot,-152,210,26,1,3.0,0.0,h
S2425-G0062,3,09:03,LAL,,MIN,,D. Russell,LAL,MISS Russell 2' Running Layup,Missed Shot,Running Layup Shot,-5,20,2,1,2.0,0.0,h
S2425-G0062,3,06:59,LAL,,MIN,,D. Russell,LAL,Russell S.FOUL (P2.T3) (J.Williams),Foul,Shooting,0,0,0,0,,,h
S2425-G0062,3,04:17,LAL,,MIN,,D. Russell,LAL,SUB: Vincent FOR Russell,Substitution,,0,0,0,0,,,h
S2425-G0062,4,09:32,LAL,87.0,MIN,81.0,D. Russell,LAL,Russell 6' Driving Floating Jump Shot (9 PTS),Made Shot,Driving Floating Jump Shot,18,53,6,1,2.0,2.0,h
S2425-G0111,1,09:50,PHX,,LAL,,D. Russell,LAL,MISS Russell 26' 3PT Jump Shot,Missed Shot,Jump Shot,-207,152,26,1,3.0,0.0,v
S2425-G0111,1,08:53,PHX,4.0,LAL,6.0,D. Russell,LAL,Russell Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0111,1,08:53,PHX,4.0,LAL,7.0,D. Russell,LAL,Russell Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0111,1,05:51,PHX,,LAL,,D. Russell,LAL,Russell REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0111,1,05:22,PHX,,LAL,,D. Russell,LAL,MISS Russell 27' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-195,191,27,1,3.0,0.0,v
S2425-G0111,1,04:22,PHX,,LAL,,D. Russell,LAL,SUB: Vincent FOR Russell,Substitution,,0,0,0,0,,,v
S2425-G0111,1,01:31,PHX,,LAL,,D. Russell,LAL,Russell Out of Bounds - Bad Pass Turnover Turnover (P1.T2),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0111,2,10:38,PHX,27.0,LAL,36.0,D. Russell,LAL,Russell 5' Driving Floating Jump Shot (4 PTS),Made Shot,Driving Floating Jump Shot,2,50,5,1,2.0,2.0,v
S2425-G0111,2,09:00,PHX,,LAL,,D. Russell,LAL,MISS Russell 4' Driving Layup,Missed Shot,Driving Layup Shot,-22,32,4,1,2.0,0.0,v
S2425-G0111,2,07:32,PHX,,LAL,,D. Russell,LAL,SUB: Vincent FOR Russell,Substitution,,0,0,0,0,,,v
S2425-G0111,2,01:48,PHX,,LAL,,D. Russell,LAL,Russell Bad Pass Turnover (P2.T6),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0111,2,01:45,PHX,,LAL,,D. Russell,LAL,Russell S.FOUL (P1.T4) (M.Smith),Foul,Shooting,0,0,0,0,,,v
S2425-G0111,3,10:16,PHX,57.0,LAL,54.0,D. Russell,LAL,Russell 27' 3PT Jump Shot (7 PTS) (Reaves 3 AST),Made Shot,Jump Shot,165,219,27,1,3.0,3.0,v
S2425-G0111,3,10:00,PHX,57.0,LAL,56.0,D. Russell,LAL,Russell 12' Driving Floating Jump Shot (9 PTS),Made Shot,Driving Floating Jump Shot,50,111,12,1,2.0,2.0,v
S2425-G0111,3,08:22,PHX,,LAL,,D. Russell,LAL,MISS Russell 27' 3PT Jump Shot,Missed Shot,Jump Shot,184,194,27,1,3.0,0.0,v
S2425-G0111,3,07:33,PHX,,LAL,,D. Russell,LAL,MISS Russell 25' 3PT Jump Shot,Missed Shot,Jump Shot,-54,246,25,1,3.0,0.0,v
S2425-G0111,3,03:45,PHX,,LAL,,D. Russell,LAL,SUB: Vincent FOR Russell,Substitution,,0,0,0,0,,,v
S2425-G0111,3,00:39.100000,PHX,74.0,LAL,80.0,D. Russell,LAL,Russell 26' 3PT Step Back Jump Shot (12 PTS),Made Shot,Step Back Jump shot,-13,255,26,1,3.0,3.0,v
S2425-G0111,3,00:00.100000,PHX,,LAL,,D. Russell,LAL,MISS Russell 49' 3PT Jump Shot,Missed Shot,Jump Shot,-175,455,49,1,3.0,0.0,v
S2425-G0111,4,10:15,PHX,,LAL,,D. Russell,LAL,MISS Russell 25' 3PT Jump Shot,Missed Shot,Jump Shot,12,253,25,1,3.0,0.0,v
S2425-G0111,4,09:34,PHX,,LAL,,D. Russell,LAL,Russell S.FOUL (P2.T1) (B.Taylor),Foul,Shooting,0,0,0,0,,,v
S2425-G0111,4,08:58,PHX,86.0,LAL,86.0,D. Russell,LAL,Russell 2' Running Layup (14 PTS) (L. James 8 AST),Made Shot,Running Layup Shot,-22,-1,2,1,2.0,2.0,v
S2425-G0111,4,06:07,PHX,,LAL,,D. Russell,LAL,MISS Russell 26' 3PT Jump Shot,Missed Shot,Jump Shot,-94,241,26,1,3.0,0.0,v
S2425-G0111,4,05:09,PHX,,LAL,,D. Russell,LAL,Russell S.FOUL (P3.T2) (B.Taylor),Foul,Shooting,0,0,0,0,,,v
S2425-G0111,4,05:09,PHX,,LAL,,D. Russell,LAL,SUB: L. James FOR Russell,Substitution,,0,0,0,0,,,v
S2425-G0015,1,03:04,SAS,26.0,LAL,19.0,D. Russell,LAL,Russell 1' Running Layup (2 PTS),Made Shot,Running Layup Shot,-1,13,1,1,2.0,2.0,v
S2425-G0015,1,02:16,SAS,,LAL,,D. Russell,LAL,MISS Russell 2' Driving Layup,Missed Shot,Driving Layup Shot,-12,10,2,1,2.0,0.0,v
S2425-G0015,2,11:47,SAS,,LAL,,D. Russell,LAL,MISS Russell 18' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-37,174,18,1,2.0,0.0,v
S2425-G0015,2,10:56,SAS,,LAL,,D. Russell,LAL,Russell REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0015,2,09:47,SAS,,LAL,,D. Russell,LAL,Russell STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0015,2,09:00,SAS,,LAL,,D. Russell,LAL,MISS Russell 12' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-103,66,12,1,2.0,0.0,v
S2425-G0015,2,06:30,SAS,,LAL,,D. Russell,LAL,Russell STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0015,2,03:35,SAS,,LAL,,D. Russell,LAL,SUB: Christie FOR Russell,Substitution,,0,0,0,0,,,v
S2425-G0015,3,02:48,SAS,83.0,LAL,86.0,D. Russell,LAL,Russell 8' Driving Finger Roll Layup (4 PTS),Made Shot,Driving Finger Roll Layup Shot,-59,50,8,1,2.0,2.0,v
S2425-G0015,3,02:48,SAS,83.0,LAL,87.0,D. Russell,LAL,Russell Free Throw 1 of 1 (5 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2425-G0015,3,02:37,SAS,,LAL,,D. Russell,LAL,Russell P.FOUL (P1.T1) (M.Lindsay),Foul,Personal,0,0,0,0,,,v
S2425-G0015,3,02:23,SAS,,LAL,,D. Russell,LAL,MISS Russell 3' Running Layup,Missed Shot,Running Layup Shot,-25,23,3,1,2.0,0.0,v
S2425-G0015,3,02:00,SAS,,LAL,,D. Russell,LAL,Russell STEAL (3 STL),,,0,0,0,0,,,v
S2425-G0015,3,00:26.100000,SAS,,LAL,,D. Russell,LAL,Russell REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0015,3,00:16.500000,SAS,86.0,LAL,93.0,D. Russell,LAL,Russell 28' 3PT Pullup Jump Shot (8 PTS),Made Shot,Pullup Jump shot,127,246,28,1,3.0,3.0,v
S2425-G0015,4,10:55,SAS,89.0,LAL,95.0,D. Russell,LAL,Russell 10' Pullup Jump Shot (10 PTS),Made Shot,Pullup Jump shot,1,96,10,1,2.0,2.0,v
S2425-G0015,4,10:24,SAS,91.0,LAL,98.0,D. Russell,LAL,Russell 28' 3PT Jump Shot (13 PTS) (L. James 11 AST),Made Shot,Jump Shot,109,254,28,1,3.0,3.0,v
S2425-G0015,4,09:36,SAS,,LAL,,D. Russell,LAL,MISS Russell 28' 3PT Jump Shot,Missed Shot,Jump Shot,-165,220,28,1,3.0,0.0,v
S2425-G0015,4,08:12,SAS,,LAL,,D. Russell,LAL,Russell Out of Bounds - Bad Pass Turnover Turnover (P1.T10),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0015,4,07:56,SAS,,LAL,,D. Russell,LAL,SUB: Reaves FOR Russell,Substitution,,0,0,0,0,,,v
S2425-G0015,4,03:44,SAS,,LAL,,D. Russell,LAL,SUB: Christie FOR Russell,Substitution,,0,0,0,0,,,v
S2425-G0015,4,03:07,SAS,,LAL,,D. Russell,LAL,MISS Russell 14' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-2,143,14,1,2.0,0.0,v
S2425-G0015,4,00:25.100000,SAS,,LAL,,D. Russell,LAL,SUB: Reddish FOR Russell,Substitution,,0,0,0,0,,,v
