game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0062,1,11:29,LAL,,MIN,,L. James,LAL,L. James REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,1,09:35,LAL,,MIN,,L. James,LAL,MISS L. James 5' Driving Bank Hook Shot,Missed Shot,Driving Bank Hook Shot,26,45,5,1,2.0,0.0,h
S2425-G0062,1,09:29,LAL,,MIN,,L. James,LAL,L. James BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0062,1,09:27,LAL,,MIN,,L. James,LAL,L. James REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,1,08:56,LAL,7.0,MIN,5.0,L. James,LAL,L. James 3' Running Layup (2 PTS) (Davis 2 AST),Made Shot,Running Layup Shot,16,29,3,1,2.0,2.0,h
S2425-G0062,1,08:35,LAL,9.0,MIN,5.0,L. James,LAL,L. James 2' Running Dunk (4 PTS) (Reaves 1 AST),Made Shot,Running Dunk Shot,1,20,2,1,2.0,2.0,h
S2425-G0062,1,07:14,LAL,,MIN,,L. James,LAL,MISS L. James 28' 3PT Jump Shot,Missed Shot,Jump Shot,126,254,28,1,3.0,0.0,h
S2425-G0062,1,06:44,LAL,,MIN,,L. James,LAL,SUB: Christie FOR L. James,Substitution,,0,0,0,0,,,h
S2425-G0062,1,01:08,LAL,,MIN,,L. James,LAL,L. James S.FOUL (P1.T4) (J.Williams),Foul,Shooting,0,0,0,0,,,h
S2425-G0062,1,00:34.800000,LAL,,MIN,,L. James,LAL,MISS L. James 3' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,1,31,3,1,2.0,0.0,h
S2425-G0062,1,00:34.400000,LAL,,MIN,,L. James,LAL,L. James Traveling Turnover (P1.T2),Turnover,Traveling,0,0,0,0,,,h
S2425-G0062,2,08:37,LAL,,MIN,,L. James,LAL,L. James REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,2,08:33,LAL,34.0,MIN,27.0,L. James,LAL,L. James 5' Running Finger Roll Layup (6 PTS),Made Shot,Running Finger Roll Layup Shot,4,47,5,1,2.0,2.0,h
S2425-G0062,2,07:34,LAL,,MIN,,L. James,LAL,SUB: Reaves FOR L. James,Substitution,,0,0,0,0,,,h
S2425-G0062,2,03:56,LAL,,MIN,,L. James,LAL,MISS L. James 28' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,5,275,28,1,3.0,0.0,h
S2425-G0062,2,02:44,LAL,,MIN,,L. James,LAL,MISS L. James 18' Pullup Jump Shot,Missed Shot,Pullup Jump shot,75,167,18,1,2.0,0.0,h
S2425-G0062,2,02:14,LAL,53.0,MIN,39.0,L. James,LAL,L. James 2' Cutting Dunk Shot (8 PTS) (Reaves 2 AST),Made Shot,Cutting Dunk Shot,-15,16,2,1,2.0,2.0,h
S2425-G0062,3,10:57,LAL,,MIN,,L. James,LAL,L. James P.FOUL (P2.T1) (J.Orr),Foul,Personal,0,0,0,0,,,h
S2425-G0062,3,07:17,LAL,,MIN,,L. James,LAL,MISS L. James 4' Running Layup,Missed Shot,Running Layup Shot,-31,19,4,1,2.0,0.0,h
S2425-G0062,3,06:59,LAL,,MIN,,L. James,LAL,SUB: Christie FOR L. James,Substitution,,0,0,0,0,,,h
S2425-G0062,4,11:34,LAL,84.0,MIN,76.0,L. James,LAL,L. James 1' Driving Layup (10 PTS),Made Shot,Driving Layup Shot,-7,-5,1,1,2.0,2.0,h
