game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0023,1,04:01,MEM,,DEN,,J. Huff,MEM,Huff S.FOUL (P1.PN) (C.Washington),Foul,Shooting,0,0,0,0,,,h
S2425-G0023,1,03:49,MEM,17.0,DEN,24.0,J. Huff,MEM,Huff 25' 3PT Jump Shot (3 PTS) (LaRavia 2 AST),Made Shot,Jump Shot,-65,242,25,1,3.0,3.0,h
S2425-G0023,1,01:17,MEM,,DEN,,J. Huff,MEM,MISS Huff 16' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,-4,158,16,1,2.0,0.0,h
S2425-G0023,1,00:53.400000,MEM,,DEN,,J. Huff,MEM,MISS Huff 25' 3PT Jump Shot,Missed Shot,Jump Shot,17,251,25,1,3.0,0.0,h
S2425-G0023,1,00:25.100000,MEM,,DEN,,J. Huff,MEM,Huff S.FOUL (P2.PN) (C.Washington),Foul,Shooting,0,0,0,0,,,h
S2425-G0023,1,00:25.100000,MEM,,DEN,,J. Huff,MEM,SUB: Bane FOR Huff,Substitution,,0,0,0,0,,,h
S2425-G0023,2,03:23,MEM,,DEN,,J. Huff,MEM,Huff REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0023,2,03:23,MEM,47.0,DEN,55.0,J. Huff,MEM,Huff Tip Layup Shot (5 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2425-G0023,2,03:01,MEM,,DEN,,J. Huff,MEM,SUB: Clarke FOR Huff,Substitution,,0,0,0,0,,,h
S2425-G0023,3,03:25,MEM,,DEN,,J. Huff,MEM,MISS Huff 26' 3PT Jump Shot,Missed Shot,Jump Shot,-178,188,26,1,3.0,0.0,h
S2425-G0023,3,02:50,MEM,,DEN,,J. Huff,MEM,Huff S.FOUL (P3.T4) (C.Kirkland),Foul,Shooting,0,0,0,0,,,h
S2425-G0023,3,01:16,MEM,74.0,DEN,90.0,J. Huff,MEM,Huff Free Throw 1 of 2 (6 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0023,3,01:16,MEM,,DEN,,J. Huff,MEM,MISS Huff Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0019,3,00:16.500000,GSW,,MEM,,J. Huff,MEM,SUB: Wells FOR Huff,Substitution,,0,0,0,0,,,v
S2425-G0019,4,10:41,GSW,,MEM,,J. Huff,MEM,MISS Huff 3' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,-5,26,3,1,2.0,0.0,v
S2425-G0019,4,10:40,GSW,,MEM,,J. Huff,MEM,Huff REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0019,4,10:40,GSW,97.0,MEM,82.0,J. Huff,MEM,Huff Putback Layup (2 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,v
S2425-G0019,4,10:13,GSW,,MEM,,J. Huff,MEM,Huff REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0019,4,09:57,GSW,,MEM,,J. Huff,MEM,Huff BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0019,4,09:38,GSW,,MEM,,J. Huff,MEM,MISS Huff 27' 3PT Jump Shot,Missed Shot,Jump Shot,-49,261,27,1,3.0,0.0,v
S2425-G0019,4,08:45,GSW,,MEM,,J. Huff,MEM,SUB: Edey FOR Huff,Substitution,,0,0,0,0,,,v
S2425-G0142,1,06:50,PHI,8.0,MEM,12.0,J. Huff,MEM,Huff 3PT Jump Shot (3 PTS) (Morant 3 AST),Made Shot,Jump Shot,234,3,0,1,3.0,3.0,v
S2425-G0142,1,04:58,PHI,,MEM,,J. Huff,MEM,Huff REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0142,1,04:32,PHI,,MEM,,J. Huff,MEM,MISS Huff 26' 3PT Jump Shot,Missed Shot,Jump Shot,-110,240,26,1,3.0,0.0,v
S2425-G0142,1,03:59,PHI,,MEM,,J. Huff,MEM,MISS Huff 25' 3PT Jump Shot,Missed Shot,Jump Shot,-36,252,25,1,3.0,0.0,v
S2425-G0142,1,03:23,PHI,,MEM,,J. Huff,MEM,SUB: Clarke FOR Huff,Substitution,,0,0,0,0,,,v
S2425-G0142,2,07:51,PHI,,MEM,,J. Huff,MEM,MISS Huff 1' Reverse Dunk,Missed Shot,Reverse Dunk Shot,7,3,1,1,2.0,0.0,v
S2425-G0142,2,07:24,PHI,,MEM,,J. Huff,MEM,Huff Violation:Kicked Ball (S.Twardoski),Violation,Kicked Ball,0,0,0,0,,,v
S2425-G0142,2,07:14,PHI,,MEM,,J. Huff,MEM,Huff S.FOUL (P1.T2) (J.Tiven),Foul,Shooting,0,0,0,0,,,v
S2425-G0142,2,06:20,PHI,,MEM,,J. Huff,MEM,Huff REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0142,2,05:50,PHI,45.0,MEM,41.0,J. Huff,MEM,Huff 3PT Jump Shot (6 PTS) (Morant 5 AST),Made Shot,Jump Shot,232,19,0,1,3.0,3.0,v
S2425-G0142,2,05:21,PHI,45.0,MEM,43.0,J. Huff,MEM,Huff 1' Alley Oop Dunk (8 PTS) (Morant 6 AST),Made Shot,Alley Oop Dunk Shot,10,-1,1,1,2.0,2.0,v
S2425-G0142,2,05:14,PHI,,MEM,,J. Huff,MEM,SUB: Edey FOR Huff,Substitution,,0,0,0,0,,,v
S2425-G0142,3,04:50,PHI,,MEM,,J. Huff,MEM,Huff REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0142,3,04:45,PHI,66.0,MEM,79.0,J. Huff,MEM,Huff 28' 3PT Running Jump Shot (11 PTS) (Pippen Jr. 8 AST),Made Shot,Running Jump Shot,-127,246,28,1,3.0,3.0,v
S2425-G0142,3,04:16,PHI,68.0,MEM,82.0,J. Huff,MEM,Huff 28' 3PT Jump Shot (14 PTS) (Morant 11 AST),Made Shot,Jump Shot,-38,279,28,1,3.0,3.0,v
S2425-G0142,3,03:57,PHI,68.0,MEM,84.0,J. Huff,MEM,Huff 2' Running Dunk (16 PTS) (Pippen Jr. 9 AST),Made Shot,Running Dunk Shot,-1,15,2,1,2.0,2.0,v
S2425-G0142,3,03:57,PHI,68.0,MEM,85.0,J. Huff,MEM,Huff Free Throw 1 of 1 (17 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2425-G0142,3,03:15,PHI,,MEM,,J. Huff,MEM,Huff REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0142,3,02:39,PHI,72.0,MEM,91.0,J. Huff,MEM,Huff 27' 3PT Running Jump Shot (20 PTS) (Pippen Jr. 11 AST),Made Shot,Running Jump Shot,-107,252,27,1,3.0,3.0,v
S2425-G0142,3,01:39,PHI,,MEM,,J. Huff,MEM,Huff REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0142,3,00:23.400000,PHI,,MEM,,J. Huff,MEM,Huff BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0158,1,03:49,BKN,,MEM,,J. Huff,MEM,Huff REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0158,1,02:49,BKN,,MEM,,J. Huff,MEM,SUB: Jackson Jr. FOR Huff,Substitution,,0,0,0,0,,,v
S2425-G0158,2,08:25,BKN,,MEM,,J. Huff,MEM,Huff BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0158,2,07:14,BKN,,MEM,,J. Huff,MEM,MISS Huff 27' 3PT Jump Shot,Missed Shot,Jump Shot,-94,252,27,1,3.0,0.0,v
S2425-G0158,2,07:11,BKN,,MEM,,J. Huff,MEM,Huff REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0158,2,05:56,BKN,39.0,MEM,41.0,J. Huff,MEM,Huff 2' Dunk (2 PTS) (LaRavia 1 AST),Made Shot,Dunk Shot,-17,11,2,1,2.0,2.0,v
S2425-G0158,2,04:35,BKN,,MEM,,J. Huff,MEM,SUB: Edey FOR Huff,Substitution,,0,0,0,0,,,v
S2425-G0070,1,01:12,UTA,,MEM,,J. Huff,MEM,MISS Huff 3PT Jump Shot,Missed Shot,Jump Shot,229,28,0,1,3.0,0.0,v
S2425-G0070,1,00:32.600000,UTA,,MEM,,J. Huff,MEM,Huff REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,1,00:15,UTA,,MEM,,J. Huff,MEM,SUB: Clarke FOR Huff,Substitution,,0,0,0,0,,,v
S2425-G0070,2,11:30,UTA,,MEM,,J. Huff,MEM,Huff REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,2,11:12,UTA,,MEM,,J. Huff,MEM,Huff REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
