game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0142,1,10:06,PHI,,MEM,,J. Morant,MEM,Morant REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0142,1,08:46,PHI,,MEM,,J. Morant,MEM,MISS Morant 17' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-12,166,17,1,2.0,0.0,v
S2425-G0142,1,08:26,PHI,3.0,MEM,6.0,J. Morant,MEM,Morant Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0142,1,08:26,PHI,3.0,MEM,7.0,J. Morant,MEM,Morant Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0142,1,07:39,PHI,,MEM,,J. Morant,MEM,Morant P.FOUL (P1.T2) (J.Tiven),Foul,Personal,0,0,0,0,,,v
S2425-G0142,1,07:22,PHI,,MEM,,J. Morant,MEM,Morant Out of Bounds - Bad Pass Turnover Turnover (P1.T1),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0142,1,06:25,PHI,,MEM,,J. Morant,MEM,Morant REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0142,1,06:13,PHI,,MEM,,J. Morant,MEM,Morant Out of Bounds - Bad Pass Turnover Turnover (P2.T2),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0142,1,05:08,PHI,,MEM,,J. Morant,MEM,Morant REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0142,1,03:23,PHI,,MEM,,J. Morant,MEM,SUB: Jackson Jr. FOR Morant,Substitution,,0,0,0,0,,,v
S2425-G0142,1,00:00.200000,PHI,,MEM,,J. Morant,MEM,MISS Morant 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,232,92,25,1,3.0,0.0,v
S2425-G0142,2,06:48,PHI,,MEM,,J. Morant,MEM,Morant STEAL (1 STL),,,0,0,0,0,,,v
