game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0147,1,10:11,WAS,4.0,MIA,6.0,J. Butler,MIA,Butler Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0147,1,10:11,WAS,4.0,MIA,7.0,J. Butler,MIA,Butler Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0147,1,09:46,WAS,4.0,MIA,8.0,J. Butler,MIA,Butler Free Throw Technical (3 PTS),Free Throw,Free Throw Technical,0,0,0,0,1.0,1.0,v
S2425-G0147,1,07:35,WAS,,MIA,,J. Butler,MIA,Butler REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0147,1,07:35,WAS,10.0,MIA,15.0,J. Butler,MIA,Butler Tip Layup Shot (5 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,v
S2425-G0147,1,06:44,WAS,,MIA,,J. Butler,MIA,SUB: Jaquez Jr. FOR Butler,Substitution,,0,0,0,0,,,v
S2425-G0147,1,00:01.600000,WAS,,MIA,,J. Butler,MIA,Butler Bad Pass Turnover (P1.T5),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0147,2,07:52,WAS,,MIA,,J. Butler,MIA,MISS Butler 10' Driving Layup,Missed Shot,Driving Layup Shot,-43,95,10,1,2.0,0.0,v
S2425-G0147,2,07:52,WAS,,MIA,,J. Butler,MIA,Butler REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0147,2,07:52,WAS,31.0,MIA,42.0,J. Butler,MIA,Butler Free Throw 1 of 2 (6 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0147,2,07:52,WAS,,MIA,,J. Butler,MIA,MISS Butler Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0147,2,07:07,WAS,,MIA,,J. Butler,MIA,SUB: Jaquez Jr. FOR Butler,Substitution,,0,0,0,0,,,v
S2425-G0147,2,02:31,WAS,,MIA,,J. Butler,MIA,Butler Bad Pass Turnover (P2.T6),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0147,2,02:12,WAS,,MIA,,J. Butler,MIA,Butler Out of Bounds - Bad Pass Turnover Turnover (P3.T7),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0147,2,01:04,WAS,,MIA,,J. Butler,MIA,MISS Butler 5' Driving Layup,Missed Shot,Driving Layup Shot,-53,1,5,1,2.0,0.0,v
S2425-G0147,2,01:00,WAS,,MIA,,J. Butler,MIA,Butler REBOUND (Off:3 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0147,2,00:59.600000,WAS,,MIA,,J. Butler,MIA,Butler Bad Pass Turnover (P4.T8),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0147,2,00:41.800000,WAS,,MIA,,J. Butler,MIA,MISS Butler 4' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,32,25,4,1,2.0,0.0,v
S2425-G0147,2,00:39.400000,WAS,,MIA,,J. Butler,MIA,Butler REBOUND (Off:4 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0147,2,00:38,WAS,,MIA,,J. Butler,MIA,MISS Butler 5' Layup,Missed Shot,Layup Shot,-28,36,5,1,2.0,0.0,v
S2425-G0147,3,10:13,WAS,,MIA,,J. Butler,MIA,Butler REBOUND (Off:5 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0147,3,10:13,WAS,51.0,MIA,62.0,J. Butler,MIA,Butler 2' Putback Layup (8 PTS),Made Shot,Putback Layup Shot,12,-13,2,1,2.0,2.0,v
S2425-G0147,3,10:13,WAS,,MIA,,J. Butler,MIA,MISS Butler Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,v
S2425-G0147,3,08:19,WAS,55.0,MIA,69.0,J. Butler,MIA,Butler 13' Pullup Jump Shot (10 PTS),Made Shot,Pullup Jump shot,-120,56,13,1,2.0,2.0,v
S2425-G0147,3,07:34,WAS,,MIA,,J. Butler,MIA,SUB: Larsson FOR Butler,Substitution,,0,0,0,0,,,v
