game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0147,1,09:56,WAS,,MIA,,N. Jović,MIA,Jović STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0147,1,09:17,WAS,4.0,MIA,11.0,N. Jović,MIA,Jović 26' 3PT Jump Shot (3 PTS) (Butler 1 AST),Made Shot,Jump Shot,239,92,26,1,3.0,3.0,v
S2425-G0147,1,08:38,WAS,,MIA,,N. Jović,MIA,Jović REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0147,1,07:08,WAS,,MIA,,N. Jović,MIA,Jović Lost Ball Turnover (P1.T2),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0147,1,06:30,WAS,,MIA,,N. Jović,MIA,Jović STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0147,1,06:25,WAS,,MIA,,N. Jović,MIA,MISS Jović 3PT Running Jump Shot,Missed Shot,Running Jump Shot,234,0,0,1,3.0,0.0,v
S2425-G0147,1,05:41,WAS,,MIA,,N. Jović,MIA,SUB: Bryant FOR Jović,Substitution,,0,0,0,0,,,v
S2425-G0147,2,06:37,WAS,,MIA,,N. Jović,MIA,Jović REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0147,2,05:10,WAS,,MIA,,N. Jović,MIA,Jović REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0147,2,04:55,WAS,,MIA,,N. Jović,MIA,MISS Jović 26' 3PT Jump Shot,Missed Shot,Jump Shot,-11,262,26,1,3.0,0.0,v
S2425-G0147,2,01:22,WAS,,MIA,,N. Jović,MIA,MISS Jović 5' Running Layup,Missed Shot,Running Layup Shot,45,-8,5,1,2.0,0.0,v
S2425-G0147,2,00:04.600000,WAS,,MIA,,N. Jović,MIA,MISS Jović 26' 3PT Jump Shot,Missed Shot,Jump Shot,-208,153,26,1,3.0,0.0,v
S2425-G0147,3,10:29,WAS,,MIA,,N. Jović,MIA,Jović REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0147,3,09:59,WAS,,MIA,,N. Jović,MIA,MISS Jović 3PT Jump Shot,Missed Shot,Jump Shot,230,-23,0,1,3.0,0.0,v
S2425-G0147,3,08:54,WAS,,MIA,,N. Jović,MIA,Jović STEAL (3 STL),,,0,0,0,0,,,v
S2425-G0147,3,08:40,WAS,,MIA,,N. Jović,MIA,Jović REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2425-G0147,3,07:34,WAS,,MIA,,N. Jović,MIA,SUB: Jaquez Jr. FOR Jović,Substitution,,0,0,0,0,,,v
S2425-G0147,4,05:44,WAS,,MIA,,N. Jović,MIA,Jović REBOUND (Off:0 Def:6),Rebound,Unknown,0,0,0,0,,,v
S2425-G0147,4,05:33,WAS,,MIA,,N. Jović,MIA,MISS Jović 6' Driving Layup,Missed Shot,Driving Layup Shot,-58,25,6,1,2.0,0.0,v
S2425-G0147,4,04:37,WAS,,MIA,,N. Jović,MIA,SUB: Larsson FOR Jović,Substitution,,0,0,0,0,,,v
S2425-G0147,4,02:26,WAS,,MIA,,N. Jović,MIA,SUB: Richardson FOR Jović,Substitution,,0,0,0,0,,,v
S2425-G0002,1,07:05,DET,13.0,MIA,4.0,N. Jović,MIA,Jović 3' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,-32,3,3,1,2.0,2.0,v
S2425-G0002,1,05:32,DET,,MIA,,N. Jović,MIA,Jović REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0002,1,05:23,DET,,MIA,,N. Jović,MIA,Jović Lost Ball Turnover (P1.T3),Turnover,Lost Ball,0,0,0,0,,,v
