game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0189,1,11:10,NYK,,MIL,,A. Jackson Jr.,MIL,MISS Jackson Jr. 3PT Jump Shot,Missed Shot,Jump Shot,229,14,0,1,3.0,0.0,v
S2425-G0189,1,10:04,NYK,6.0,MIL,5.0,A. Jackson Jr.,MIL,Jackson Jr. 25' 3PT Jump Shot (3 PTS) (Antetokounmpo 1 AST),Made Shot,Jump Shot,-186,161,25,1,3.0,3.0,v
S2425-G0189,1,09:17,NYK,,MIL,,A. Jackson Jr.,MIL,Jackson Jr. BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0189,1,02:48,NYK,,MIL,,A. Jackson Jr.,MIL,MISS Jackson Jr. 24' 3PT Jump Shot,Missed Shot,Jump Shot,232,59,24,1,3.0,0.0,v
S2425-G0189,1,02:00,NYK,,MIL,,A. Jackson Jr.,MIL,SUB: Rollins FOR Jackson Jr.,Substitution,,0,0,0,0,,,v
S2425-G0189,2,04:16,NYK,,MIL,,A. Jackson Jr.,MIL,Jackson Jr. Bad Pass Turnover (P1.T8),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0189,2,04:15,NYK,,MIL,,A. Jackson Jr.,MIL,Jackson Jr. S.FOUL (P1.T2) (T.Maddox),Foul,Shooting,0,0,0,0,,,v
S2425-G0189,2,01:17,NYK,,MIL,,A. Jackson Jr.,MIL,SUB: Prince FOR Jackson Jr.,Substitution,,0,0,0,0,,,v
S2425-G0189,4,09:53,NYK,,MIL,,A. Jackson Jr.,MIL,SUB: Antetokounmpo FOR Jackson Jr.,Substitution,,0,0,0,0,,,v
S2425-G0202,1,09:04,MIL,,BOS,,A. Jackson Jr.,MIL,MISS Jackson Jr. 8' Hook Shot,Missed Shot,Hook Shot,-49,57,8,1,2.0,0.0,h
S2425-G0202,1,06:51,MIL,,BOS,,A. Jackson Jr.,MIL,Jackson Jr. L.B.FOUL (P1.T2) (T.Ford),Foul,Loose Ball,0,0,0,0,,,h
S2425-G0202,1,05:18,MIL,,BOS,,A. Jackson Jr.,MIL,MISS Jackson Jr. 28' 3PT Jump Shot,Missed Shot,Jump Shot,211,184,28,1,3.0,0.0,h
S2425-G0202,1,04:18,MIL,,BOS,,A. Jackson Jr.,MIL,MISS Jackson Jr. Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0202,1,04:18,MIL,30.0,BOS,21.0,A. Jackson Jr.,MIL,Jackson Jr. Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0202,1,03:34,MIL,,BOS,,A. Jackson Jr.,MIL,Jackson Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0202,1,01:58,MIL,,BOS,,A. Jackson Jr.,MIL,Jackson Jr. Out of Bounds - Bad Pass Turnover Turnover (P1.T1),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0202,1,01:09,MIL,,BOS,,A. Jackson Jr.,MIL,SUB: Connaughton FOR Jackson Jr.,Substitution,,0,0,0,0,,,h
S2425-G0202,2,06:42,MIL,,BOS,,A. Jackson Jr.,MIL,Jackson Jr. REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0202,2,04:58,MIL,,BOS,,A. Jackson Jr.,MIL,Jackson Jr. REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
