game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0189,4,07:54,NYK,,MIL,,M. Beauchamp,MIL,Beauchamp REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0189,4,07:25,NYK,,MIL,,M. Beauchamp,MIL,Beauchamp REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0189,4,06:15,NYK,,MIL,,M. Beauchamp,MIL,MISS Beauchamp 10' Pullup Jump Shot,Missed Shot,Pullup Jump shot,38,90,10,1,2.0,0.0,v
S2425-G0189,4,04:42,NYK,,MIL,,M. Beauchamp,MIL,MISS Beauchamp 15' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-21,149,15,1,2.0,0.0,v
S2425-G0189,4,03:41,NYK,113.0,MIL,85.0,M. Beauchamp,MIL,Beauchamp 1' Driving Layup (2 PTS) (Rollins 1 AST),Made Shot,Driving Layup Shot,0,13,1,1,2.0,2.0,v
S2425-G0189,4,02:43,NYK,113.0,MIL,88.0,M. Beauchamp,MIL,Beauchamp Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0189,4,02:43,NYK,113.0,MIL,89.0,M. Beauchamp,MIL,Beauchamp Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0005,4,01:49,MIL,,TOR,,M. Beauchamp,MIL,Beauchamp Traveling Turnover (P1.T15),Turnover,Traveling,0,0,0,0,,,h
S2425-G0005,4,00:59.100000,MIL,,TOR,,M. Beauchamp,MIL,Beauchamp Traveling Turnover (P2.T16),Turnover,Traveling,0,0,0,0,,,h
S2425-G0182,4,02:57,MIL,,UTA,,M. Beauchamp,MIL,Beauchamp Traveling Turnover (P1.T10),Turnover,Traveling,0,0,0,0,,,h
S2425-G0182,4,01:21,MIL,,UTA,,M. Beauchamp,MIL,Beauchamp REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0182,4,01:10,MIL,123.0,UTA,95.0,M. Beauchamp,MIL,Beauchamp 14' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,137,11,14,1,2.0,2.0,h
S2425-G0182,4,00:44,MIL,,UTA,,M. Beauchamp,MIL,MISS Beauchamp 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-142,220,26,1,3.0,0.0,h
S2425-G0182,4,00:36.200000,MIL,,UTA,,M. Beauchamp,MIL,Beauchamp REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0083,4,01:33,MIL,,CHI,,M. Beauchamp,MIL,MISS Beauchamp 28' 3PT Jump Shot,Missed Shot,Jump Shot,157,226,28,1,3.0,0.0,h
S2425-G0083,4,01:18,MIL,,CHI,,M. Beauchamp,MIL,Beauchamp Out of Bounds - Bad Pass Turnover Turnover (P1.T15),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0128,4,03:53,MEM,,MIL,,M. Beauchamp,MIL,Beauchamp Bad Pass Turnover (P1.T9),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0128,4,02:39,MEM,,MIL,,M. Beauchamp,MIL,Beauchamp REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0128,4,02:34,MEM,115.0,MIL,96.0,M. Beauchamp,MIL,Beauchamp 1' Driving Reverse Layup (2 PTS),Made Shot,Driving Reverse Layup Shot,-2,-7,1,1,2.0,2.0,v
S2425-G0128,4,01:54,MEM,,MIL,,M. Beauchamp,MIL,MISS Beauchamp 25' 3PT Jump Shot,Missed Shot,Jump Shot,31,247,25,1,3.0,0.0,v
S2425-G0128,4,01:17,MEM,,MIL,,M. Beauchamp,MIL,Beauchamp REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0128,4,01:10,MEM,,MIL,,M. Beauchamp,MIL,MISS Beauchamp 4' Driving Layup,Missed Shot,Driving Layup Shot,-31,27,4,1,2.0,0.0,v
S2425-G0104,4,02:30,BOS,,MIL,,M. Beauchamp,MIL,MISS Beauchamp 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,119,235,26,1,3.0,0.0,v
S2425-G0104,4,02:00,BOS,118.0,MIL,103.0,M. Beauchamp,MIL,Beauchamp 25' 3PT Jump Shot (3 PTS) (Jackson Jr. 1 AST),Made Shot,Jump Shot,199,157,25,1,3.0,3.0,v
S2425-G0104,4,01:49,BOS,,MIL,,M. Beauchamp,MIL,Beauchamp S.FOUL (P1.PN) (T.Brothers),Foul,Shooting,0,0,0,0,,,v
S2425-G0098,4,03:15,BKN,,MIL,,M. Beauchamp,MIL,Beauchamp OFF.Foul (P1) (M.Dagher),Foul,Offensive,0,0,0,0,,,v
S2425-G0098,4,03:15,BKN,,MIL,,M. Beauchamp,MIL,Beauchamp Offensive Foul Turnover (P1.T17),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2425-G0098,4,03:02,BKN,,MIL,,M. Beauchamp,MIL,Beauchamp S.FOUL (P2.PN) (Z.Zarba),Foul,Shooting,0,0,0,0,,,v
S2425-G0098,4,02:53,BKN,,MIL,,M. Beauchamp,MIL,MISS Beauchamp 26' 3PT Jump Shot,Missed Shot,Jump Shot,-152,205,26,1,3.0,0.0,v
S2425-G0098,4,01:24,BKN,111.0,MIL,97.0,M. Beauchamp,MIL,Beauchamp Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0098,4,01:24,BKN,111.0,MIL,98.0,M. Beauchamp,MIL,Beauchamp Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0098,4,01:22,BKN,,MIL,,M. Beauchamp,MIL,Beauchamp STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0098,4,01:22,BKN,111.0,MIL,100.0,M. Beauchamp,MIL,Beauchamp 2' Driving Dunk (4 PTS),Made Shot,Driving Dunk Shot,-1,24,2,1,2.0,2.0,v
S2425-G0098,4,01:02,BKN,,MIL,,M. Beauchamp,MIL,MISS Beauchamp 2' Running Dunk,Missed Shot,Running Dunk Shot,0,20,2,1,2.0,0.0,v
S2425-G0098,4,00:44.200000,BKN,,MIL,,M. Beauchamp,MIL,Beauchamp Out of Bounds Lost Ball Turnover (P2.T18),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,v
