game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0062,1,01:55,LAL,20.0,MIN,18.0,N. Alexander-Walker,MIN,Alexander-Walker 3PT Jump Shot (3 PTS) (DiVincenzo 2 AST),Made Shot,Jump Shot,-225,0,0,1,3.0,3.0,v
S2425-G0062,2,10:21,LAL,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker Lost Ball Turnover (P1.T7),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0062,2,09:35,LAL,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,2,09:35,LAL,,MIN,,N. Alexander-Walker,MIN,MISS Alexander-Walker Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0062,2,09:35,LAL,28.0,MIN,27.0,N. Alexander-Walker,MIN,Alexander-Walker Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0062,2,08:33,LAL,,MIN,,N. Alexander-Walker,MIN,SUB: McDaniels FOR Alexander-Walker,Substitution,,0,0,0,0,,,v
S2425-G0062,2,03:24,LAL,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,2,01:57,LAL,53.0,MIN,42.0,N. Alexander-Walker,MIN,Alexander-Walker 25' 3PT Jump Shot (7 PTS) (Ingles 1 AST),Made Shot,Jump Shot,246,31,25,1,3.0,3.0,v
S2425-G0062,2,00:00.300000,LAL,,MIN,,N. Alexander-Walker,MIN,MISS Alexander-Walker 21' Pullup Jump Shot,Missed Shot,Pullup Jump shot,114,182,21,1,2.0,0.0,v
S2425-G0062,3,05:39,LAL,,MIN,,N. Alexander-Walker,MIN,MISS Alexander-Walker 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,227,60,0,1,3.0,0.0,v
S2425-G0062,3,04:42,LAL,70.0,MIN,59.0,N. Alexander-Walker,MIN,Alexander-Walker 1' Cutting Dunk Shot (9 PTS) (Gobert 2 AST),Made Shot,Cutting Dunk Shot,0,12,1,1,2.0,2.0,v
S2425-G0062,3,00:57.400000,LAL,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,3,00:24.900000,LAL,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker Bad Pass Turnover (P2.T15),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0062,4,09:40,LAL,,MIN,,N. Alexander-Walker,MIN,SUB: DiVincenzo FOR Alexander-Walker,Substitution,,0,0,0,0,,,v
S2425-G0062,4,07:27,LAL,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,4,04:44,LAL,99.0,MIN,91.0,N. Alexander-Walker,MIN,Alexander-Walker 27' 3PT Jump Shot (12 PTS) (Edwards 1 AST),Made Shot,Jump Shot,-43,267,27,1,3.0,3.0,v
S2425-G0062,4,04:29,LAL,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker Violation:Kicked Ball (N.Buchert),Violation,Kicked Ball,0,0,0,0,,,v
S2425-G0062,4,03:57,LAL,101.0,MIN,93.0,N. Alexander-Walker,MIN,Alexander-Walker 11' Driving Floating Jump Shot (14 PTS) (Edwards 2 AST),Made Shot,Driving Floating Jump Shot,-10,112,11,1,2.0,2.0,v
S2425-G0062,4,00:55,LAL,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0193,1,01:55,MIN,27.0,POR,11.0,N. Alexander-Walker,MIN,Alexander-Walker 22' Jump Shot (2 PTS) (DiVincenzo 2 AST),Made Shot,Jump Shot,202,83,22,1,2.0,2.0,h
S2425-G0193,1,00:56.700000,MIN,,POR,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0193,2,11:17,MIN,,POR,,N. Alexander-Walker,MIN,Alexander-Walker Bad Pass Turnover (P1.T4),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0193,2,11:01,MIN,,POR,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0193,2,10:33,MIN,,POR,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0193,2,07:33,MIN,,POR,,N. Alexander-Walker,MIN,Alexander-Walker Bad Pass Turnover (P2.T7),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0193,2,07:29,MIN,,POR,,N. Alexander-Walker,MIN,SUB: McDaniels FOR Alexander-Walker,Substitution,,0,0,0,0,,,h
S2425-G0193,3,04:06,MIN,,POR,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0193,3,02:31,MIN,91.0,POR,67.0,N. Alexander-Walker,MIN,Alexander-Walker Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0193,3,02:31,MIN,92.0,POR,67.0,N. Alexander-Walker,MIN,Alexander-Walker Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0193,3,02:05,MIN,,POR,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0193,3,00:29.800000,MIN,,POR,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0193,3,00:00,MIN,,POR,,N. Alexander-Walker,MIN,MISS Alexander-Walker 33' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,158,295,33,1,3.0,0.0,h
S2425-G0193,4,10:57,MIN,103.0,POR,77.0,N. Alexander-Walker,MIN,Alexander-Walker 2' Driving Finger Roll Layup (6 PTS) (Gobert 2 AST),Made Shot,Driving Finger Roll Layup Shot,-7,17,2,1,2.0,2.0,h
S2425-G0193,4,09:25,MIN,,POR,,N. Alexander-Walker,MIN,Alexander-Walker STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0193,4,06:25,MIN,,POR,,N. Alexander-Walker,MIN,Alexander-Walker S.FOUL (P1.T1) (J.Schroeder),Foul,Shooting,0,0,0,0,,,h
S2425-G0193,4,06:06,MIN,108.0,POR,83.0,N. Alexander-Walker,MIN,Alexander-Walker 3PT Jump Shot (9 PTS) (Randle 4 AST),Made Shot,Jump Shot,232,16,0,1,3.0,3.0,h
S2425-G0193,4,04:35,MIN,,POR,,N. Alexander-Walker,MIN,Alexander-Walker Lost Ball Turnover (P3.T18),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0193,4,04:31,MIN,,POR,,N. Alexander-Walker,MIN,Alexander-Walker STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0193,4,04:07,MIN,,POR,,N. Alexander-Walker,MIN,SUB: Shannon Jr. FOR Alexander-Walker,Substitution,,0,0,0,0,,,h
S2425-G0146,1,03:16,SAS,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0146,2,08:21,SAS,,MIN,,N. Alexander-Walker,MIN,MISS Alexander-Walker 26' 3PT Jump Shot,Missed Shot,Jump Shot,156,209,26,1,3.0,0.0,v
S2425-G0146,2,07:18,SAS,44.0,MIN,49.0,N. Alexander-Walker,MIN,Alexander-Walker 1' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,-11,8,1,1,2.0,2.0,v
S2425-G0146,2,06:53,SAS,44.0,MIN,51.0,N. Alexander-Walker,MIN,Alexander-Walker 14' Fadeaway Jumper (4 PTS),Made Shot,Fadeaway Jump Shot,-77,113,14,1,2.0,2.0,v
S2425-G0146,2,06:31,SAS,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker Out of Bounds - Bad Pass Turnover Turnover (P1.T2),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0146,2,05:43,SAS,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker Bad Pass Turnover (P2.T3),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0146,2,03:48,SAS,,MIN,,N. Alexander-Walker,MIN,MISS Alexander-Walker 25' 3PT Jump Shot,Missed Shot,Jump Shot,-158,197,25,1,3.0,0.0,v
S2425-G0146,2,03:43,SAS,,MIN,,N. Alexander-Walker,MIN,SUB: DiVincenzo FOR Alexander-Walker,Substitution,,0,0,0,0,,,v
S2425-G0146,4,10:59,SAS,,MIN,,N. Alexander-Walker,MIN,MISS Alexander-Walker 27' 3PT Jump Shot,Missed Shot,Jump Shot,197,182,27,1,3.0,0.0,v
S2425-G0146,4,09:52,SAS,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker P.FOUL (P1.T1) (J.Goble),Foul,Personal,0,0,0,0,,,v
S2425-G0146,4,08:02,SAS,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0146,4,07:25,SAS,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0146,4,07:05,SAS,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0146,4,07:04,SAS,102.0,MIN,89.0,N. Alexander-Walker,MIN,Alexander-Walker 1' Layup (6 PTS),Made Shot,Layup Shot,-11,4,1,1,2.0,2.0,v
S2425-G0146,4,07:04,SAS,,MIN,,N. Alexander-Walker,MIN,MISS Alexander-Walker Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,v
S2425-G0146,4,06:25,SAS,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker Violation:Kicked Ball (R.Acosta),Violation,Kicked Ball,0,0,0,0,,,v
S2425-G0146,4,04:57,SAS,,MIN,,N. Alexander-Walker,MIN,MISS Alexander-Walker 26' 3PT Jump Shot,Missed Shot,Jump Shot,141,219,26,1,3.0,0.0,v
S2425-G0146,4,04:32,SAS,,MIN,,N. Alexander-Walker,MIN,SUB: DiVincenzo FOR Alexander-Walker,Substitution,,0,0,0,0,,,v
S2425-G0008,1,02:37,POR,,MIN,,N. Alexander-Walker,MIN,MISS Alexander-Walker 8' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,-74,26,8,1,2.0,0.0,v
S2425-G0008,2,11:50,POR,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker Violation:Kicked Ball (D.Richardson),Violation,Kicked Ball,0,0,0,0,,,v
S2425-G0008,2,11:18,POR,,MIN,,N. Alexander-Walker,MIN,MISS Alexander-Walker 3PT Jump Shot,Missed Shot,Jump Shot,222,55,0,1,3.0,0.0,v
S2425-G0008,2,07:42,POR,,MIN,,N. Alexander-Walker,MIN,SUB: Minott FOR Alexander-Walker,Substitution,,0,0,0,0,,,v
S2425-G0008,3,05:58,POR,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0008,4,11:11,POR,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0008,4,08:47,POR,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker Bad Pass Turnover (P1.T20),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0008,4,08:18,POR,,MIN,,N. Alexander-Walker,MIN,MISS Alexander-Walker 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,218,135,26,1,3.0,0.0,v
S2425-G0008,4,08:00,POR,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker STEAL (3 STL),,,0,0,0,0,,,v
S2425-G0008,4,07:56,POR,99.0,MIN,85.0,N. Alexander-Walker,MIN,Alexander-Walker 1' Running Layup (2 PTS),Made Shot,Running Layup Shot,-10,-1,1,1,2.0,2.0,v
S2425-G0008,4,07:56,POR,99.0,MIN,86.0,N. Alexander-Walker,MIN,Alexander-Walker Free Throw 1 of 1 (3 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2425-G0008,4,06:31,POR,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker P.FOUL (P1.T3) (T.Brothers),Foul,Personal,0,0,0,0,,,v
S2425-G0008,4,06:13,POR,103.0,MIN,92.0,N. Alexander-Walker,MIN,Alexander-Walker 2' Running Layup (5 PTS),Made Shot,Running Layup Shot,-16,-6,2,1,2.0,2.0,v
S2425-G0008,4,05:09,POR,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker Bad Pass Turnover (P2.T21),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0008,4,03:32,POR,115.0,MIN,99.0,N. Alexander-Walker,MIN,Alexander-Walker 25' 3PT Jump Shot (8 PTS) (Edwards 3 AST),Made Shot,Jump Shot,223,109,25,1,3.0,3.0,v
S2425-G0008,4,00:00,POR,,MIN,,N. Alexander-Walker,MIN,MISS Alexander-Walker 3' Driving Layup,Missed Shot,Driving Layup Shot,-25,3,3,1,2.0,0.0,v
S2425-G0093,2,11:04,MIN,,TOR,,N. Alexander-Walker,MIN,Alexander-Walker P.FOUL (P1.T1) (M.Kogut),Foul,Personal,0,0,0,0,,,h
S2425-G0093,2,10:45,MIN,,TOR,,N. Alexander-Walker,MIN,MISS Alexander-Walker Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0093,2,10:45,MIN,33.0,TOR,20.0,N. Alexander-Walker,MIN,Alexander-Walker Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0093,2,08:55,MIN,,TOR,,N. Alexander-Walker,MIN,MISS Alexander-Walker 4' Driving Layup,Missed Shot,Driving Layup Shot,-33,28,4,1,2.0,0.0,h
S2425-G0093,2,08:26,MIN,40.0,TOR,22.0,N. Alexander-Walker,MIN,Alexander-Walker 25' 3PT Jump Shot (4 PTS) (Reid 1 AST),Made Shot,Jump Shot,-202,151,25,1,3.0,3.0,h
S2425-G0093,2,08:25,MIN,,TOR,,N. Alexander-Walker,MIN,SUB: McDaniels FOR Alexander-Walker,Substitution,,0,0,0,0,,,h
S2425-G0093,3,01:52,MIN,,TOR,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0093,4,09:00,MIN,,TOR,,N. Alexander-Walker,MIN,SUB: Randle FOR Alexander-Walker,Substitution,,0,0,0,0,,,h
S2425-G0139,2,11:03,MIN,,DEN,,N. Alexander-Walker,MIN,Alexander-Walker BLOCK (1 BLK),,,0,0,0,0,,,h
