game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0032,1,11:33,NOP,,GSW,,E. Payton,NOP,Payton STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0032,1,11:22,NOP,4.0,GSW,0.0,E. Payton,NOP,Payton 9' Driving Floating Jump Shot (2 PTS) (Murphy III 1 AST),Made Shot,Driving Floating Jump Shot,-15,87,9,1,2.0,2.0,h
S2425-G0032,1,10:17,NOP,,GSW,,E. Payton,NOP,Payton P.FOUL (P1.T1) (K.Scott),Foul,Personal,0,0,0,0,,,h
S2425-G0032,1,07:04,NOP,,GSW,,E. Payton,NOP,SUB: Boston Jr. FOR Payton,Substitution,,0,0,0,0,,,h
S2425-G0032,1,00:43.700000,NOP,,GSW,,E. Payton,NOP,Payton Bad Pass Turnover (P1.T3),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0032,1,00:12.300000,NOP,,GSW,,E. Payton,NOP,MISS Payton 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-32,100,10,1,2.0,0.0,h
S2425-G0032,2,08:37,NOP,,GSW,,E. Payton,NOP,SUB: Ingram FOR Payton,Substitution,,0,0,0,0,,,h
S2425-G0032,2,02:41,NOP,,GSW,,E. Payton,NOP,Payton REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0032,2,00:01,NOP,,GSW,,E. Payton,NOP,MISS Payton 4' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,13,41,4,1,2.0,0.0,h
S2425-G0032,3,11:23,NOP,,GSW,,E. Payton,NOP,MISS Payton 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-4,73,7,1,2.0,0.0,h
S2425-G0032,3,09:21,NOP,,GSW,,E. Payton,NOP,Payton REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0032,3,09:15,NOP,67.0,GSW,65.0,E. Payton,NOP,Payton 11' Driving Floating Jump Shot (4 PTS),Made Shot,Driving Floating Jump Shot,6,106,11,1,2.0,2.0,h
S2425-G0032,3,08:43,NOP,,GSW,,E. Payton,NOP,Payton S.FOUL (P2.T2) (S.Wright),Foul,Shooting,0,0,0,0,,,h
S2425-G0032,3,06:46,NOP,,GSW,,E. Payton,NOP,SUB: Boston Jr. FOR Payton,Substitution,,0,0,0,0,,,h
S2425-G0032,4,10:32,NOP,,GSW,,E. Payton,NOP,Payton Out of Bounds - Bad Pass Turnover Turnover (P2.T9),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0032,4,09:09,NOP,,GSW,,E. Payton,NOP,SUB: Boston Jr. FOR Payton,Substitution,,0,0,0,0,,,h
S2425-G0032,4,04:03,NOP,,GSW,,E. Payton,NOP,Payton REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0032,4,02:11,NOP,,GSW,,E. Payton,NOP,MISS Payton 6' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,56,32,6,1,2.0,0.0,h
S2425-G0032,4,01:28,NOP,,GSW,,E. Payton,NOP,Payton STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0032,4,00:42.200000,NOP,,GSW,,E. Payton,NOP,Payton STEAL (3 STL),,,0,0,0,0,,,h
S2425-G0032,4,00:18.500000,NOP,,GSW,,E. Payton,NOP,SUB: Jemison FOR Payton,Substitution,,0,0,0,0,,,h
S2425-G0032,4,00:00.400000,NOP,,GSW,,E. Payton,NOP,Payton P.FOUL (P3.PN) (S.Jelks),Foul,Personal,0,0,0,0,,,h
