game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0189,1,05:09,NYK,,MIL,,J. Sims,NYK,MISS Sims 4' Layup,Missed Shot,Layup Shot,5,39,4,1,2.0,0.0,h
S2425-G0189,1,05:07,NYK,,MIL,,J. Sims,NYK,Sims REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0189,1,05:05,NYK,23.0,MIL,12.0,J. Sims,NYK,Sims 1' Putback Dunk (2 PTS),Made Shot,Putback Dunk Shot,5,8,1,1,2.0,2.0,h
S2425-G0189,1,03:29,NYK,,MIL,,J. Sims,NYK,Sims REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0189,1,03:22,NYK,,MIL,,J. Sims,NYK,Sims L.B.FOUL (P1.PN) (T.Maddox),Foul,Loose Ball,0,0,0,0,,,h
S2425-G0189,1,03:14,NYK,,MIL,,J. Sims,NYK,Sims REBOUND (Off:3 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0189,1,02:00,NYK,,MIL,,J. Sims,NYK,SUB: Towns FOR Sims,Substitution,,0,0,0,0,,,h
S2425-G0189,3,03:31,NYK,,MIL,,J. Sims,NYK,Sims REBOUND (Off:4 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0189,3,03:15,NYK,,MIL,,J. Sims,NYK,Sims REBOUND (Off:4 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0189,4,04:52,NYK,,MIL,,J. Sims,NYK,Sims OFF.Foul (P2) (J.Goble),Foul,Offensive,0,0,0,0,,,h
S2425-G0189,4,04:52,NYK,,MIL,,J. Sims,NYK,Sims Offensive Foul Turnover (P1.T7),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2425-G0189,4,04:06,NYK,,MIL,,J. Sims,NYK,Sims STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0081,1,00:08.600000,NYK,,IND,,J. Sims,NYK,SUB: Brunson FOR Sims,Substitution,,0,0,0,0,,,h
S2425-G0081,1,00:00.900000,NYK,,IND,,J. Sims,NYK,SUB: Towns FOR Sims,Substitution,,0,0,0,0,,,h
S2425-G0081,2,09:08,NYK,,IND,,J. Sims,NYK,Sims REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,2,07:03,NYK,,IND,,J. Sims,NYK,Sims REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,2,06:28,NYK,,IND,,J. Sims,NYK,SUB: Towns FOR Sims,Substitution,,0,0,0,0,,,h
S2425-G0081,3,01:52,NYK,,IND,,J. Sims,NYK,SUB: Towns FOR Sims,Substitution,,0,0,0,0,,,h
S2425-G0081,4,03:55,NYK,,IND,,J. Sims,NYK,Sims S.FOUL (P1.PN) (J.Butler),Foul,Shooting,0,0,0,0,,,h
S2425-G0081,4,02:36,NYK,119.0,IND,92.0,J. Sims,NYK,Sims 1' Dunk (2 PTS) (Payne 3 AST),Made Shot,Dunk Shot,12,-6,1,1,2.0,2.0,h
S2425-G0014,1,12:00,NYK,,BKN,,J. Sims,NYK,Jump Ball Sims vs. Simmons: Tip to Hart,Jump Ball,,0,0,0,0,,,h
S2425-G0014,1,08:23,NYK,,BKN,,J. Sims,NYK,Sims REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0014,1,07:20,NYK,15.0,BKN,13.0,J. Sims,NYK,Sims 1' Alley Oop Dunk (2 PTS) (Hart 1 AST),Made Shot,Alley Oop Dunk Shot,1,7,1,1,2.0,2.0,h
