game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0018,4,03:37,OKC,,PHX,,A. Flagler,OKC,Flagler S.FOUL (P1.PN) (D.Taylor),Foul,Shooting,0,0,0,0,,,h
S2425-G0018,4,03:19,OKC,,PHX,,A. Flagler,OKC,MISS Flagler 3PT Jump Shot,Missed Shot,Jump Shot,232,1,0,1,3.0,0.0,h
S2425-G0018,4,00:54.600000,OKC,,PHX,,A. Flagler,OKC,MISS Flagler 25' 3PT Jump Shot,Missed Shot,Jump Shot,-176,184,25,1,3.0,0.0,h
S2425-G0018,4,00:32.800000,OKC,,PHX,,A. Flagler,OKC,Flagler REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,4,02:58,CHI,,OKC,,A. Flagler,OKC,Flagler STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0091,4,02:46,CHI,86.0,OKC,108.0,A. Flagler,OKC,Flagler 25' 3PT Jump Shot (3 PTS) (Mitchell 3 AST),Made Shot,Jump Shot,-164,192,25,1,3.0,3.0,v
S2425-G0091,4,01:17,CHI,,OKC,,A. Flagler,OKC,Flagler S.FOUL (P1.T3) (A.Nagy),Foul,Shooting,0,0,0,0,,,v
S2425-G0025,2,11:28,SAS,,OKC,,A. Flagler,OKC,Flagler STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0025,2,11:14,SAS,,OKC,,A. Flagler,OKC,MISS Flagler 27' 3PT Jump Shot,Missed Shot,Jump Shot,-131,240,27,1,3.0,0.0,v
S2425-G0025,2,09:22,SAS,,OKC,,A. Flagler,OKC,Flagler L.B.FOUL (P1.T2) (J.Goble),Foul,Loose Ball,0,0,0,0,,,v
S2425-G0025,2,08:17,SAS,38.0,OKC,43.0,A. Flagler,OKC,Flagler 26' 3PT Jump Shot (3 PTS) (Gilgeous-Alexander 2 AST),Made Shot,Jump Shot,86,247,26,1,3.0,3.0,v
S2425-G0025,2,07:46,SAS,,OKC,,A. Flagler,OKC,MISS Flagler 27' 3PT Jump Shot,Missed Shot,Jump Shot,-168,206,27,1,3.0,0.0,v
S2425-G0025,2,06:46,SAS,,OKC,,A. Flagler,OKC,Flagler REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0025,2,06:15,SAS,,OKC,,A. Flagler,OKC,MISS Flagler 26' 3PT Jump Shot,Missed Shot,Jump Shot,154,214,26,1,3.0,0.0,v
S2425-G0025,2,05:25,SAS,,OKC,,A. Flagler,OKC,SUB: J. Williams FOR Flagler,Substitution,,0,0,0,0,,,v
S2425-G0025,3,07:39,SAS,,OKC,,A. Flagler,OKC,MISS Flagler 26' 3PT Jump Shot,Missed Shot,Jump Shot,-178,195,26,1,3.0,0.0,v
S2425-G0025,3,07:34,SAS,,OKC,,A. Flagler,OKC,MISS Flagler 27' 3PT Jump Shot,Missed Shot,Jump Shot,-130,239,27,1,3.0,0.0,v
S2425-G0025,3,06:27,SAS,,OKC,,A. Flagler,OKC,Flagler REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0025,3,05:49,SAS,,OKC,,A. Flagler,OKC,MISS Flagler 3PT Jump Shot,Missed Shot,Jump Shot,-224,27,0,1,3.0,0.0,v
S2425-G0025,3,04:11,SAS,,OKC,,A. Flagler,OKC,MISS Flagler 17' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-85,152,17,1,2.0,0.0,v
S2425-G0025,3,03:56,SAS,,OKC,,A. Flagler,OKC,SUB: K. Williams FOR Flagler,Substitution,,0,0,0,0,,,v
S2425-G0100,4,01:36,OKC,126.0,ATL,102.0,A. Flagler,OKC,Flagler 25' 3PT Step Back Jump Shot (3 PTS),Made Shot,Step Back Jump shot,-178,173,25,1,3.0,3.0,h
S2425-G0100,4,00:48.800000,OKC,,ATL,,A. Flagler,OKC,Flagler REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0125,4,00:51.200000,OKC,,SAS,,A. Flagler,OKC,Flagler S.FOUL (P1.PN) (T.Washington),Foul,Shooting,0,0,0,0,,,h
