game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0003,4,01:49,ORL,,CHA,,C. Joseph,ORL,Joseph REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0003,4,00:00.100000,ORL,,CHA,,C. Joseph,ORL,MISS Joseph 58' 3PT Jump Shot,Missed Shot,Jump Shot,165,551,58,1,3.0,0.0,h
S2425-G0204,4,04:09,ORL,,WAS,,C. Joseph,ORL,Joseph STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0204,4,03:46,ORL,,WAS,,C. Joseph,ORL,Joseph Personal Take Foul (P1.PN) (G.Petraitis),Foul,Personal Take,0,0,0,0,,,h
S2425-G0204,4,03:28,ORL,,WAS,,C. Joseph,ORL,MISS Joseph 12' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,-5,122,12,1,2.0,0.0,h
S2425-G0204,4,03:14,ORL,,WAS,,C. Joseph,ORL,Joseph REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0204,4,03:01,ORL,,WAS,,C. Joseph,ORL,MISS Joseph 24' 3PT Jump Shot,Missed Shot,Jump Shot,233,73,24,1,3.0,0.0,h
S2425-G0204,4,02:01,ORL,,WAS,,C. Joseph,ORL,Joseph REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0204,4,01:48,ORL,,WAS,,C. Joseph,ORL,MISS Joseph 25' 3PT Jump Shot,Missed Shot,Jump Shot,-219,120,25,1,3.0,0.0,h
S2425-G0204,4,01:30,ORL,,WAS,,C. Joseph,ORL,Joseph BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0065,4,04:32,MIA,,ORL,,C. Joseph,ORL,MISS Joseph 3' Driving Layup,Missed Shot,Driving Layup Shot,28,15,3,1,2.0,0.0,v
S2425-G0065,4,02:49,MIA,,ORL,,C. Joseph,ORL,MISS Joseph 26' 3PT Jump Shot,Missed Shot,Jump Shot,221,140,26,1,3.0,0.0,v
S2425-G0163,4,03:10,OKC,,ORL,,C. Joseph,ORL,Joseph Personal Take Foul (P1.T4) (D.Scott),Foul,Personal Take,0,0,0,0,,,v
S2425-G0163,4,02:32,OKC,,ORL,,C. Joseph,ORL,MISS Joseph 25' 3PT Jump Shot,Missed Shot,Jump Shot,-181,178,25,1,3.0,0.0,v
S2425-G0163,4,01:07,OKC,99.0,ORL,86.0,C. Joseph,ORL,Joseph 25' 3PT Jump Shot (3 PTS) (Anthony 1 AST),Made Shot,Jump Shot,-158,200,25,1,3.0,3.0,v
S2425-G0092,4,00:20.600000,MEM,124.0,ORL,111.0,C. Joseph,ORL,Joseph 25' 3PT Step Back Jump Shot (3 PTS),Made Shot,Step Back Jump shot,-92,236,25,1,3.0,3.0,v
S2425-G0010,4,00:44.600000,ORL,,PHI,,C. Joseph,ORL,Joseph S.FOUL (P1.PN) (N.Buchert),Foul,Shooting,0,0,0,0,,,h
S2425-G0133,4,02:15,CLE,,ORL,,C. Joseph,ORL,Joseph BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0133,4,02:15,CLE,,ORL,,C. Joseph,ORL,Joseph REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0133,4,01:49,CLE,118.0,ORL,101.0,C. Joseph,ORL,Joseph 28' 3PT Jump Shot (3 PTS) (Anthony 1 AST),Made Shot,Jump Shot,-58,278,28,1,3.0,3.0,v
S2425-G0186,4,01:09,ORL,115.0,NOP,88.0,C. Joseph,ORL,Joseph 25' 3PT Jump Shot (3 PTS) (Anthony 2 AST),Made Shot,Jump Shot,-214,127,25,1,3.0,3.0,h
S2425-G0186,4,00:45.600000,ORL,,NOP,,C. Joseph,ORL,MISS Joseph 27' 3PT Jump Shot,Missed Shot,Jump Shot,-118,243,27,1,3.0,0.0,h
S2425-G0153,4,02:46,DAL,,ORL,,C. Joseph,ORL,MISS Joseph 27' 3PT Jump Shot,Missed Shot,Jump Shot,-10,274,27,1,3.0,0.0,v
S2425-G0153,4,02:16,DAL,,ORL,,C. Joseph,ORL,Joseph Lost Ball Turnover (P1.T15),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0153,4,01:41,DAL,,ORL,,C. Joseph,ORL,Joseph REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0153,4,01:41,DAL,,ORL,,C. Joseph,ORL,MISS Joseph 1' Layup,Missed Shot,Layup Shot,0,10,1,1,2.0,0.0,v
S2425-G0153,4,01:25,DAL,,ORL,,C. Joseph,ORL,Joseph REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,v
