game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0078,2,08:43,TOR,,PHI,,J. McCain,PHI,McCain REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0078,2,05:55,TOR,,PHI,,J. McCain,PHI,SUB: Gordon FOR McCain,Substitution,,0,0,0,0,,,v
S2425-G0097,1,00:12,IND,,PHI,,J. McCain,PHI,McCain REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0097,2,11:46,IND,,PHI,,J. McCain,PHI,MISS McCain 9' Driving Layup,Missed Shot,Driving Layup Shot,70,56,9,1,2.0,0.0,v
S2425-G0097,2,10:37,IND,,PHI,,J. McCain,PHI,McCain REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0097,2,10:37,IND,28.0,PHI,32.0,J. McCain,PHI,McCain Putback Layup (2 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,v
S2425-G0097,2,10:01,IND,28.0,PHI,34.0,J. McCain,PHI,McCain 2' Running Finger Roll Layup (4 PTS),Made Shot,Running Finger Roll Layup Shot,-6,14,2,1,2.0,2.0,v
S2425-G0097,2,09:28,IND,,PHI,,J. McCain,PHI,MISS McCain 26' 3PT Jump Shot,Missed Shot,Jump Shot,173,194,26,1,3.0,0.0,v
S2425-G0097,2,07:47,IND,,PHI,,J. McCain,PHI,SUB: Gordon FOR McCain,Substitution,,0,0,0,0,,,v
S2425-G0097,2,01:41,IND,,PHI,,J. McCain,PHI,SUB: Yabusele FOR McCain,Substitution,,0,0,0,0,,,v
S2425-G0097,3,01:35,IND,,PHI,,J. McCain,PHI,McCain Offensive Charge Foul (P1) (J.Sterling),Foul,Offensive Charge,0,0,0,0,,,v
S2425-G0097,3,01:35,IND,,PHI,,J. McCain,PHI,McCain Offensive Foul Turnover (P1.T16),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
