game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0074,4,04:02,DAL,,SAS,,C. Bassey,SAS,Bassey BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0074,4,03:33,DAL,,SAS,,C. Bassey,SAS,Bassey STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0074,4,01:22,DAL,,SAS,,C. Bassey,SAS,Bassey REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0025,1,04:13,SAS,,OKC,,C. Bassey,SAS,Bassey REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0025,1,03:30,SAS,,OKC,,C. Bassey,SAS,Bassey REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0025,1,02:59,SAS,26.0,OKC,25.0,C. Bassey,SAS,Bassey 3' Layup (2 PTS) (Johnson 2 AST),Made Shot,Layup Shot,13,25,3,1,2.0,2.0,h
S2425-G0025,1,02:59,SAS,27.0,OKC,25.0,C. Bassey,SAS,Bassey Free Throw 1 of 1 (3 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2425-G0025,1,01:54,SAS,,OKC,,C. Bassey,SAS,Bassey REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0025,1,01:32,SAS,,OKC,,C. Bassey,SAS,Bassey BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0025,1,00:33.200000,SAS,32.0,OKC,35.0,C. Bassey,SAS,Bassey 4' Cutting Layup Shot (5 PTS) (Branham 1 AST),Made Shot,Cutting Layup Shot,31,32,4,1,2.0,2.0,h
S2425-G0025,1,00:33.200000,SAS,,OKC,,C. Bassey,SAS,MISS Bassey Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,h
S2425-G0025,2,04:35,SAS,45.0,OKC,48.0,C. Bassey,SAS,Bassey 2' Alley Oop Layup (7 PTS) (Castle 4 AST),Made Shot,Alley Oop Layup shot,-21,12,2,1,2.0,2.0,h
S2425-G0025,2,04:16,SAS,,OKC,,C. Bassey,SAS,MISS Bassey 4' Floating Jump Shot,Missed Shot,Floating Jump shot,5,44,4,1,2.0,0.0,h
S2425-G0025,2,02:13,SAS,53.0,OKC,55.0,C. Bassey,SAS,Bassey Free Throw 1 of 2 (8 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0025,2,02:13,SAS,,OKC,,C. Bassey,SAS,MISS Bassey Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0025,2,01:30,SAS,,OKC,,C. Bassey,SAS,Bassey REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0025,2,00:07.400000,SAS,,OKC,,C. Bassey,SAS,SUB: Champagnie FOR Bassey,Substitution,,0,0,0,0,,,h
S2425-G0025,3,05:45,SAS,,OKC,,C. Bassey,SAS,Bassey REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0025,3,05:28,SAS,,OKC,,C. Bassey,SAS,Bassey REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,h
