game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0791,4,01:40,POR,,MIN,,A. Hagans,POR,Hagans REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0791,4,01:32,POR,90.0,MIN,126.0,A. Hagans,POR,Hagans 3' Driving Layup (2 PTS) (Minaya 1 AST),Made Shot,Driving Layup Shot,13,22,3,1,2.0,2.0,h
S2324-G1102,1,01:25,CHA,,POR,,A. Hagans,POR,Hagans REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G1102,1,01:25,CHA,,POR,,A. Hagans,POR,MISS Hagans 1' Putback Layup,Missed Shot,Putback Layup Shot,-5,-4,1,1,2.0,0.0,v
S2324-G1102,2,11:42,CHA,,POR,,A. Hagans,POR,Hagans S.FOUL (P1.T1) (E.Scott),Foul,Shooting,0,0,0,0,,,v
S2324-G1102,2,09:51,CHA,,POR,,A. Hagans,POR,Hagans REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G1102,2,08:00,CHA,,POR,,A. Hagans,POR,Hagans Traveling Turnover (P1.T3),Turnover,Traveling,0,0,0,0,,,v
S2324-G1102,2,07:27,CHA,,POR,,A. Hagans,POR,MISS Hagans 25' 3PT Jump Shot,Missed Shot,Jump Shot,-147,205,25,1,3.0,0.0,v
S2324-G1102,2,07:19,CHA,,POR,,A. Hagans,POR,SUB: Murray FOR Hagans,Substitution,,0,0,0,0,,,v
S2324-G1102,3,02:29,CHA,,POR,,A. Hagans,POR,MISS Hagans 3PT Jump Shot,Missed Shot,Jump Shot,-223,55,0,1,3.0,0.0,v
S2324-G1102,3,02:03,CHA,,POR,,A. Hagans,POR,Hagans S.FOUL (P2.PN) (K.Cutler),Foul,Shooting,0,0,0,0,,,v
S2324-G1102,3,01:55,CHA,,POR,,A. Hagans,POR,MISS Hagans 3' Driving Layup,Missed Shot,Driving Layup Shot,2,33,3,1,2.0,0.0,v
S2324-G1102,3,00:28.700000,CHA,,POR,,A. Hagans,POR,Hagans REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G1102,4,09:19,CHA,,POR,,A. Hagans,POR,SUB: Henderson FOR Hagans,Substitution,,0,0,0,0,,,v
S2324-G1051,1,00:36.800000,ATL,26.0,POR,29.0,A. Hagans,POR,Hagans 26' 3PT Jump Shot (3 PTS) (Banton 2 AST),Made Shot,Jump Shot,-157,204,26,1,3.0,3.0,v
S2324-G1051,2,11:48,ATL,,POR,,A. Hagans,POR,Hagans Lost Ball Turnover (P1.T6),Turnover,Lost Ball,0,0,0,0,,,v
S2324-G1051,2,11:32,ATL,,POR,,A. Hagans,POR,Hagans S.FOUL (P1.T1) (R.Hussey),Foul,Shooting,0,0,0,0,,,v
S2324-G1051,2,11:19,ATL,,POR,,A. Hagans,POR,MISS Hagans 8' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,33,73,8,1,2.0,0.0,v
S2324-G1051,2,10:52,ATL,,POR,,A. Hagans,POR,Hagans Bad Pass Turnover (P2.T7),Turnover,Bad Pass,0,0,0,0,,,v
