game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1088,1,00:35.500000,DET,,MEM,,B. Clarke,MEM,MISS Clarke 19' Jump Shot,Missed Shot,Jump Shot,-185,54,19,1,2.0,0.0,v
S2324-G1088,2,11:25,DET,,MEM,,B. Clarke,MEM,Clarke REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G1088,2,11:23,DET,,MEM,,B. Clarke,MEM,MISS Clarke 7' Floating Jump Shot,Missed Shot,Floating Jump shot,-26,64,7,1,2.0,0.0,v
S2324-G1088,2,10:59,DET,,MEM,,B. Clarke,MEM,MISS Clarke 7' Running Layup,Missed Shot,Running Layup Shot,0,65,7,1,2.0,0.0,v
S2324-G1088,2,10:12,DET,31.0,MEM,28.0,B. Clarke,MEM,Clarke 9' Floating Jump Shot (2 PTS) (Goodwin 2 AST),Made Shot,Floating Jump shot,42,76,9,1,2.0,2.0,v
S2324-G1088,2,08:54,DET,36.0,MEM,32.0,B. Clarke,MEM,Clarke 9' Floating Jump Shot (4 PTS) (Goodwin 3 AST),Made Shot,Floating Jump shot,49,74,9,1,2.0,2.0,v
S2324-G1088,2,07:43,DET,,MEM,,B. Clarke,MEM,Clarke REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G1088,2,06:54,DET,,MEM,,B. Clarke,MEM,SUB: Jackson Jr. FOR Clarke,Substitution,,0,0,0,0,,,v
S2324-G1088,2,00:48.200000,DET,,MEM,,B. Clarke,MEM,Clarke S.FOUL (P1.T3) (D.Mosher),Foul,Shooting,0,0,0,0,,,v
S2324-G1088,2,00:44.800000,DET,,MEM,,B. Clarke,MEM,Clarke REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G1088,2,00:22.300000,DET,,MEM,,B. Clarke,MEM,Clarke REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G1088,2,00:22.200000,DET,57.0,MEM,44.0,B. Clarke,MEM,Clarke 6' Floating Jump Shot (6 PTS),Made Shot,Floating Jump shot,-1,60,6,1,2.0,2.0,v
S2324-G1088,3,00:54.700000,DET,,MEM,,B. Clarke,MEM,Clarke REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G1088,3,00:54.700000,DET,,MEM,,B. Clarke,MEM,MISS Clarke Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,v
S2324-G1088,3,00:54,DET,,MEM,,B. Clarke,MEM,Clarke REBOUND (Off:4 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G1088,3,00:54,DET,85.0,MEM,82.0,B. Clarke,MEM,Clarke Tip Layup Shot (8 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,v
S2324-G1088,3,00:05.600000,DET,,MEM,,B. Clarke,MEM,SUB: Kennard FOR Clarke,Substitution,,0,0,0,0,,,v
S2324-G1088,4,09:55,DET,,MEM,,B. Clarke,MEM,Clarke STEAL (1 STL),,,0,0,0,0,,,v
S2324-G1088,4,08:43,DET,,MEM,,B. Clarke,MEM,Clarke OFF.Foul (P2) (K.Cutler),Foul,Offensive,0,0,0,0,,,v
S2324-G1088,4,08:43,DET,,MEM,,B. Clarke,MEM,Clarke Offensive Foul Turnover (P1.T13),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2324-G1088,4,08:09,DET,94.0,MEM,95.0,B. Clarke,MEM,Clarke 3PT Jump Shot (11 PTS) (Kennard 6 AST),Made Shot,Jump Shot,-233,25,0,1,3.0,3.0,v
S2324-G1088,4,08:00,DET,,MEM,,B. Clarke,MEM,Clarke BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G1088,4,07:52,DET,,MEM,,B. Clarke,MEM,MISS Clarke 1' Running Layup,Missed Shot,Running Layup Shot,1,6,1,1,2.0,0.0,v
S2324-G1088,4,07:16,DET,,MEM,,B. Clarke,MEM,Clarke REBOUND (Off:5 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G1088,4,07:14,DET,94.0,MEM,97.0,B. Clarke,MEM,Clarke 1' Layup (13 PTS),Made Shot,Layup Shot,-2,9,1,1,2.0,2.0,v
S2324-G1088,4,06:27,DET,,MEM,,B. Clarke,MEM,Clarke BLOCK (2 BLK),,,0,0,0,0,,,v
