game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0564,1,07:23,UTA,,IND,,B. Mathurin,IND,MISS Mathurin 9' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,-78,43,9,1,2.0,0.0,v
S2324-G0564,1,06:11,UTA,21.0,IND,16.0,B. Mathurin,IND,Mathurin 4' Driving Reverse Layup (2 PTS),Made Shot,Driving Reverse Layup Shot,-39,21,4,1,2.0,2.0,v
S2324-G0564,1,04:30,UTA,,IND,,B. Mathurin,IND,SUB: Sheppard FOR Mathurin,Substitution,,0,0,0,0,,,v
S2324-G0564,1,01:26,UTA,,IND,,B. Mathurin,IND,MISS Mathurin 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,164,185,25,1,3.0,0.0,v
S2324-G0564,1,00:33.300000,UTA,,IND,,B. Mathurin,IND,MISS Mathurin 5' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,-34,31,5,1,2.0,0.0,v
S2324-G0564,2,11:47,UTA,,IND,,B. Mathurin,IND,Mathurin REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G0564,2,11:45,UTA,33.0,IND,28.0,B. Mathurin,IND,Mathurin 2' Layup (4 PTS),Made Shot,Layup Shot,2,19,2,1,2.0,2.0,v
S2324-G0564,2,10:48,UTA,,IND,,B. Mathurin,IND,Mathurin S.FOUL (P1.T2) (A.Nagy),Foul,Shooting,0,0,0,0,,,v
S2324-G0564,2,10:48,UTA,,IND,,B. Mathurin,IND,SUB: Nwora FOR Mathurin,Substitution,,0,0,0,0,,,v
S2324-G0564,2,07:06,UTA,,IND,,B. Mathurin,IND,MISS Mathurin 13' Pullup Jump Shot,Missed Shot,Pullup Jump shot,0,127,13,1,2.0,0.0,v
S2324-G0564,2,00:49.100000,UTA,,IND,,B. Mathurin,IND,MISS Mathurin 5' Layup,Missed Shot,Layup Shot,-43,19,5,1,2.0,0.0,v
S2324-G0564,3,08:56,UTA,76.0,IND,55.0,B. Mathurin,IND,Mathurin 6' Jump Bank Shot (6 PTS),Made Shot,Jump Bank Shot,44,42,6,1,2.0,2.0,v
S2324-G0564,3,07:55,UTA,79.0,IND,57.0,B. Mathurin,IND,Mathurin 5' Driving Layup (8 PTS),Made Shot,Driving Layup Shot,-25,42,5,1,2.0,2.0,v
S2324-G0564,3,07:55,UTA,79.0,IND,58.0,B. Mathurin,IND,Mathurin Free Throw 1 of 1 (9 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2324-G0564,3,06:47,UTA,81.0,IND,63.0,B. Mathurin,IND,Mathurin 6' Driving Floating Jump Shot (11 PTS),Made Shot,Driving Floating Jump Shot,-31,57,6,1,2.0,2.0,v
S2324-G0564,3,06:32,UTA,,IND,,B. Mathurin,IND,SUB: Walker FOR Mathurin,Substitution,,0,0,0,0,,,v
S2324-G0533,1,05:42,ATL,,IND,,B. Mathurin,IND,MISS Mathurin 13' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-5,126,13,1,2.0,0.0,v
S2324-G0533,1,05:19,ATL,16.0,IND,22.0,B. Mathurin,IND,Mathurin 2' Running Reverse Layup (2 PTS) (McConnell 4 AST),Made Shot,Running Reverse Layup Shot,-18,4,2,1,2.0,2.0,v
S2324-G0533,1,04:47,ATL,16.0,IND,24.0,B. Mathurin,IND,Mathurin 4' Layup (4 PTS) (McConnell 5 AST),Made Shot,Layup Shot,-2,37,4,1,2.0,2.0,v
S2324-G0533,1,03:46,ATL,,IND,,B. Mathurin,IND,Mathurin Bad Pass Turnover (P1.T4),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0533,1,01:42,ATL,28.0,IND,32.0,B. Mathurin,IND,Mathurin 1' Running Finger Roll Layup (6 PTS) (Jackson 1 AST),Made Shot,Running Finger Roll Layup Shot,4,8,1,1,2.0,2.0,v
S2324-G0533,2,10:41,ATL,30.0,IND,41.0,B. Mathurin,IND,Mathurin 1' Running Reverse Layup (8 PTS) (McConnell 7 AST),Made Shot,Running Reverse Layup Shot,-2,10,1,1,2.0,2.0,v
S2324-G0533,2,08:54,ATL,32.0,IND,51.0,B. Mathurin,IND,Mathurin 4' Turnaround Bank Shot (10 PTS),Made Shot,Turnaround Bank shot,-28,32,4,1,2.0,2.0,v
S2324-G0533,2,08:54,ATL,,IND,,B. Mathurin,IND,MISS Mathurin Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,v
S2324-G0533,2,08:40,ATL,,IND,,B. Mathurin,IND,Mathurin P.FOUL (P1.T2) (T.Washington),Foul,Personal,0,0,0,0,,,v
S2324-G0533,2,07:07,ATL,41.0,IND,57.0,B. Mathurin,IND,Mathurin 1' Driving Layup (12 PTS) (McConnell 9 AST),Made Shot,Driving Layup Shot,10,8,1,1,2.0,2.0,v
S2324-G0533,2,06:20,ATL,,IND,,B. Mathurin,IND,MISS Mathurin 1' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,11,10,1,1,2.0,0.0,v
S2324-G0533,2,05:55,ATL,,IND,,B. Mathurin,IND,Mathurin Out of Bounds - Bad Pass Turnover Turnover (P2.T9),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2324-G0533,2,05:08,ATL,,IND,,B. Mathurin,IND,MISS Mathurin 25' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,230,100,25,1,3.0,0.0,v
S2324-G0533,2,04:38,ATL,,IND,,B. Mathurin,IND,SUB: Smith FOR Mathurin,Substitution,,0,0,0,0,,,v
S2324-G0533,3,03:10,ATL,,IND,,B. Mathurin,IND,Mathurin Bad Pass Turnover (P3.T15),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0533,4,11:08,ATL,,IND,,B. Mathurin,IND,Mathurin Bad Pass Turnover (P4.T19),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0533,4,10:43,ATL,86.0,IND,103.0,B. Mathurin,IND,Mathurin Free Throw 1 of 2 (13 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0533,4,10:43,ATL,86.0,IND,104.0,B. Mathurin,IND,Mathurin Free Throw 2 of 2 (14 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
