game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0067,1,11:36,BKN,,CLE,,B. Simmons,BKN,MISS Simmons 12' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,-93,80,12,1,2.0,0.0,h
S2324-G0067,1,10:23,BKN,,CLE,,B. Simmons,BKN,Simmons REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0067,1,08:20,BKN,,CLE,,B. Simmons,BKN,Simmons REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0067,1,08:10,BKN,,CLE,,B. Simmons,BKN,MISS Simmons 2' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,20,12,2,1,2.0,0.0,h
S2324-G0067,1,05:24,BKN,14.0,CLE,24.0,B. Simmons,BKN,Simmons 1' Alley Oop Dunk (2 PTS) (Bridges 2 AST),Made Shot,Alley Oop Dunk Shot,-11,2,1,1,2.0,2.0,h
S2324-G0067,1,04:23,BKN,,CLE,,B. Simmons,BKN,SUB: O'Neale FOR Simmons,Substitution,,0,0,0,0,,,h
S2324-G0067,2,06:46,BKN,,CLE,,B. Simmons,BKN,Simmons BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G0067,2,06:09,BKN,,CLE,,B. Simmons,BKN,Simmons REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0067,2,04:17,BKN,,CLE,,B. Simmons,BKN,Simmons REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G0067,2,03:41,BKN,,CLE,,B. Simmons,BKN,Simmons REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2324-G0067,2,02:34,BKN,,CLE,,B. Simmons,BKN,Simmons REBOUND (Off:0 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2324-G0067,2,01:49,BKN,,CLE,,B. Simmons,BKN,Simmons REBOUND (Off:0 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2324-G0067,2,01:05,BKN,,CLE,,B. Simmons,BKN,Simmons REBOUND (Off:1 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2324-G0067,2,01:04,BKN,,CLE,,B. Simmons,BKN,MISS Simmons 3' Hook Shot,Missed Shot,Hook Shot,20,20,3,1,2.0,0.0,h
S2324-G0067,3,11:23,BKN,,CLE,,B. Simmons,BKN,Simmons Bad Pass Turnover (P1.T8),Turnover,Bad Pass,0,0,0,0,,,h
