game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0876,2,09:47,CLE,,NYK,,C. Porter Jr.,CLE,Porter Jr. STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0876,2,08:42,CLE,29.0,NYK,34.0,C. Porter Jr.,CLE,Porter Jr. 15' Step Back Jump Shot (2 PTS) (Merrill 2 AST),Made Shot,Step Back Jump shot,4,154,15,1,2.0,2.0,h
S2324-G0876,2,08:16,CLE,,NYK,,C. Porter Jr.,CLE,MISS Porter Jr. 7' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,-50,42,7,1,2.0,0.0,h
S2324-G0876,2,07:24,CLE,,NYK,,C. Porter Jr.,CLE,SUB: Garland FOR Porter Jr.,Substitution,,0,0,0,0,,,h
S2324-G0876,3,00:42.700000,CLE,72.0,NYK,85.0,C. Porter Jr.,CLE,Porter Jr. 14' Step Back Jump Shot (4 PTS),Made Shot,Step Back Jump shot,136,-12,14,1,2.0,2.0,h
S2324-G0876,3,00:32.700000,CLE,,NYK,,C. Porter Jr.,CLE,Porter Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0876,4,11:02,CLE,,NYK,,C. Porter Jr.,CLE,MISS Porter Jr. 9' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,10,94,9,1,2.0,0.0,h
S2324-G0876,4,09:51,CLE,,NYK,,C. Porter Jr.,CLE,SUB: Garland FOR Porter Jr.,Substitution,,0,0,0,0,,,h
S2324-G0030,1,03:55,CLE,18.0,DET,22.0,C. Porter Jr.,CLE,Porter 4' Floating Jump Shot (2 PTS),Made Shot,Floating Jump shot,-15,34,4,1,2.0,2.0,h
S2324-G0030,1,02:55,CLE,22.0,DET,24.0,C. Porter Jr.,CLE,Porter 10' Turnaround Jump Shot (4 PTS) (Allen 1 AST),Made Shot,Turnaround Jump Shot,-33,98,10,1,2.0,2.0,h
S2324-G0030,1,01:48,CLE,26.0,DET,24.0,C. Porter Jr.,CLE,Porter 11' Pullup Jump Shot (6 PTS),Made Shot,Pullup Jump shot,114,11,11,1,2.0,2.0,h
S2324-G0030,1,01:04,CLE,,DET,,C. Porter Jr.,CLE,Porter REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0030,1,00:00,CLE,,DET,,C. Porter Jr.,CLE,Porter REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0030,2,09:37,CLE,42.0,DET,30.0,C. Porter Jr.,CLE,Porter 11' Step Back Jump Shot (8 PTS),Made Shot,Step Back Jump shot,-60,87,11,1,2.0,2.0,h
S2324-G0030,2,08:04,CLE,,DET,,C. Porter Jr.,CLE,MISS Porter 12' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,61,105,12,1,2.0,0.0,h
S2324-G0030,2,08:04,CLE,,DET,,C. Porter Jr.,CLE,SUB: Garland FOR Porter,Substitution,,0,0,0,0,,,h
S2324-G0030,3,00:45.600000,CLE,80.0,DET,73.0,C. Porter Jr.,CLE,Porter Driving Layup (10 PTS),Made Shot,Driving Layup Shot,-4,0,0,1,2.0,2.0,h
S2324-G0030,3,00:07.200000,CLE,,DET,,C. Porter Jr.,CLE,MISS Porter 9' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-5,94,9,1,2.0,0.0,h
S2324-G0030,4,11:02,CLE,81.0,DET,75.0,C. Porter Jr.,CLE,Porter Free Throw 1 of 2 (11 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0030,4,11:02,CLE,82.0,DET,75.0,C. Porter Jr.,CLE,Porter Free Throw 2 of 2 (12 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0030,4,10:21,CLE,,DET,,C. Porter Jr.,CLE,Porter STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0030,4,09:32,CLE,,DET,,C. Porter Jr.,CLE,MISS Porter 2' Running Layup,Missed Shot,Running Layup Shot,-1,17,2,1,2.0,0.0,h
