game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1173,4,09:36,BOS,101.0,CHA,78.0,D. Peterson,BOS,Peterson 25' 3PT Jump Shot (3 PTS) (Queta 3 AST),Made Shot,Jump Shot,227,110,25,1,3.0,3.0,h
S2324-G1173,4,07:50,BOS,109.0,CHA,78.0,D. Peterson,BOS,Peterson 25' 3PT Jump Shot (6 PTS) (Davison 4 AST),Made Shot,Jump Shot,224,101,25,1,3.0,3.0,h
S2324-G1173,4,07:33,BOS,111.0,CHA,78.0,D. Peterson,BOS,Peterson 1' Running Dunk (8 PTS) (Davison 5 AST),Made Shot,Running Dunk Shot,-1,7,1,1,2.0,2.0,h
S2324-G1173,4,04:29,BOS,,CHA,,D. Peterson,BOS,MISS Peterson 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-232,69,24,1,3.0,0.0,h
S2324-G1173,4,02:03,BOS,,CHA,,D. Peterson,BOS,Peterson STEAL (1 STL),,,0,0,0,0,,,h
S2324-G1186,1,02:46,BOS,,WAS,,D. Peterson,BOS,MISS Peterson 27' 3PT Jump Shot,Missed Shot,Jump Shot,185,191,27,1,3.0,0.0,h
S2324-G1186,3,01:13,BOS,,WAS,,D. Peterson,BOS,Peterson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1186,3,00:53,BOS,,WAS,,D. Peterson,BOS,Peterson STEAL (1 STL),,,0,0,0,0,,,h
S2324-G1186,3,00:52,BOS,,WAS,,D. Peterson,BOS,Peterson Out of Bounds Lost Ball Turnover (P1.T9),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2324-G0389,4,01:26,LAC,,BOS,,D. Peterson,BOS,Peterson S.FOUL (P1.PN) (M.Dagher),Foul,Shooting,0,0,0,0,,,v
S2324-G0389,4,01:12,LAC,106.0,BOS,143.0,D. Peterson,BOS,Peterson 26' 3PT Jump Shot (3 PTS) (Stevens 1 AST),Made Shot,Jump Shot,143,220,26,1,3.0,3.0,v
