game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0358,4,04:26,SAC,,WAS,,E. Omoruyi,WAS,MISS Omoruyi 16' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-134,96,16,1,2.0,0.0,v
S2324-G0358,4,04:15,SAC,,WAS,,E. Omoruyi,WAS,Omoruyi S.FOUL (P1.T2) (C.Blair),Foul,Shooting,0,0,0,0,,,v
S2324-G0358,4,02:39,SAC,,WAS,,E. Omoruyi,WAS,Omoruyi REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0358,4,02:08,SAC,,WAS,,E. Omoruyi,WAS,Omoruyi REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0358,4,02:05,SAC,139.0,WAS,124.0,E. Omoruyi,WAS,Omoruyi 3' Running Layup (2 PTS),Made Shot,Running Layup Shot,-23,16,3,1,2.0,2.0,v
S2324-G0358,4,00:01.800000,SAC,,WAS,,E. Omoruyi,WAS,MISS Omoruyi 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-185,186,26,1,3.0,0.0,v
S2324-G0753,1,05:32,WAS,,PHI,,E. Omoruyi,WAS,Omoruyi P.FOUL (P1.T2) (S.Wall),Foul,Personal,0,0,0,0,,,h
S2324-G0753,1,05:10,WAS,18.0,PHI,14.0,E. Omoruyi,WAS,Omoruyi Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0753,1,05:10,WAS,19.0,PHI,14.0,E. Omoruyi,WAS,Omoruyi Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0753,1,03:46,WAS,,PHI,,E. Omoruyi,WAS,Omoruyi REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0753,1,03:23,WAS,,PHI,,E. Omoruyi,WAS,Omoruyi REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0753,1,03:18,WAS,,PHI,,E. Omoruyi,WAS,MISS Omoruyi 4' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,-20,31,4,1,2.0,0.0,h
S2324-G0753,1,03:17,WAS,,PHI,,E. Omoruyi,WAS,Omoruyi REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0753,1,03:17,WAS,,PHI,,E. Omoruyi,WAS,MISS Omoruyi 2' Tip Layup Shot,Missed Shot,Tip Layup Shot,1,15,2,1,2.0,0.0,h
S2324-G0753,1,03:16,WAS,,PHI,,E. Omoruyi,WAS,Omoruyi REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0753,1,03:14,WAS,,PHI,,E. Omoruyi,WAS,MISS Omoruyi 5' Putback Layup,Missed Shot,Putback Layup Shot,48,10,5,1,2.0,0.0,h
S2324-G0753,1,01:38,WAS,,PHI,,E. Omoruyi,WAS,MISS Omoruyi 24' 3PT Jump Shot,Missed Shot,Jump Shot,-239,5,24,1,3.0,0.0,h
S2324-G0753,1,00:57.500000,WAS,,PHI,,E. Omoruyi,WAS,SUB: Bagley III FOR Omoruyi,Substitution,,0,0,0,0,,,h
S2324-G0753,3,08:26,WAS,,PHI,,E. Omoruyi,WAS,Omoruyi REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0753,3,08:07,WAS,,PHI,,E. Omoruyi,WAS,Omoruyi S.FOUL (P2.T2) (E.Dalen),Foul,Shooting,0,0,0,0,,,h
S2324-G0753,3,06:14,WAS,,PHI,,E. Omoruyi,WAS,Omoruyi L.B.FOUL (P3.T4) (S.Wall),Foul,Loose Ball,0,0,0,0,,,h
S2324-G0753,3,05:16,WAS,,PHI,,E. Omoruyi,WAS,SUB: Avdija FOR Omoruyi,Substitution,,0,0,0,0,,,h
S2324-G1103,2,09:17,WAS,,LAL,,E. Omoruyi,WAS,MISS Omoruyi 5' Driving Layup,Missed Shot,Driving Layup Shot,33,34,5,1,2.0,0.0,h
S2324-G1103,2,08:16,WAS,,LAL,,E. Omoruyi,WAS,MISS Omoruyi 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-240,4,24,1,3.0,0.0,h
S2324-G1103,2,07:27,WAS,,LAL,,E. Omoruyi,WAS,Omoruyi BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G1103,2,07:24,WAS,,LAL,,E. Omoruyi,WAS,Omoruyi REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1103,2,05:38,WAS,,LAL,,E. Omoruyi,WAS,MISS Omoruyi 24' 3PT Jump Shot,Missed Shot,Jump Shot,235,4,24,1,3.0,0.0,h
S2324-G1103,2,04:22,WAS,,LAL,,E. Omoruyi,WAS,SUB: Gill FOR Omoruyi,Substitution,,0,0,0,0,,,h
S2324-G1103,3,02:20,WAS,,LAL,,E. Omoruyi,WAS,Omoruyi REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G1103,3,02:03,WAS,,LAL,,E. Omoruyi,WAS,Omoruyi STEAL (1 STL),,,0,0,0,0,,,h
S2324-G1103,3,01:58,WAS,82.0,LAL,94.0,E. Omoruyi,WAS,Omoruyi 2' Running Layup (2 PTS) (Kispert 3 AST),Made Shot,Running Layup Shot,-9,16,2,1,2.0,2.0,h
S2324-G1103,3,00:22.700000,WAS,,LAL,,E. Omoruyi,WAS,MISS Omoruyi 4' Driving Layup,Missed Shot,Driving Layup Shot,-13,34,4,1,2.0,0.0,h
S2324-G1103,4,01:13,WAS,114.0,LAL,125.0,E. Omoruyi,WAS,Omoruyi 3' Layup (4 PTS) (Champagnie 2 AST),Made Shot,Layup Shot,-20,21,3,1,2.0,2.0,h
S2324-G0728,1,01:02,WAS,,CLE,,E. Omoruyi,WAS,Omoruyi REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G0728,1,01:01,WAS,,CLE,,E. Omoruyi,WAS,MISS Omoruyi 3' Tip Layup Shot,Missed Shot,Tip Layup Shot,-2,32,3,1,2.0,0.0,h
S2324-G0728,1,00:24.500000,WAS,27.0,CLE,27.0,E. Omoruyi,WAS,Omoruyi Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0728,1,00:24.500000,WAS,,CLE,,E. Omoruyi,WAS,MISS Omoruyi Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2324-G0728,2,11:35,WAS,,CLE,,E. Omoruyi,WAS,Omoruyi S.FOUL (P1.T1) (D.Guthrie),Foul,Shooting,0,0,0,0,,,h
S2324-G0728,2,10:05,WAS,,CLE,,E. Omoruyi,WAS,MISS Omoruyi 4' Layup,Missed Shot,Layup Shot,-40,13,4,1,2.0,0.0,h
