game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0159,1,02:39,PHI,,BOS,,F. Korkmaz,PHI,MISS Korkmaz 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-38,53,7,1,2.0,0.0,h
S2324-G0159,1,01:47,PHI,,BOS,,F. Korkmaz,PHI,Korkmaz Bad Pass Turnover (P1.T3),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G0159,1,00:00.300000,PHI,,BOS,,F. Korkmaz,PHI,MISS Korkmaz 21' Jump Shot,Missed Shot,Jump Shot,200,71,21,1,2.0,0.0,h
S2324-G0698,1,01:19,PHI,,BKN,,F. Korkmaz,PHI,Korkmaz REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0698,2,11:02,PHI,,BKN,,F. Korkmaz,PHI,MISS Korkmaz 12' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-54,104,12,1,2.0,0.0,h
S2324-G0698,2,08:37,PHI,,BKN,,F. Korkmaz,PHI,SUB: Council IV FOR Korkmaz,Substitution,,0,0,0,0,,,h
S2324-G0698,3,04:17,PHI,,BKN,,F. Korkmaz,PHI,Korkmaz REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0698,3,02:16,PHI,75.0,BKN,97.0,F. Korkmaz,PHI,Korkmaz 26' 3PT Jump Shot (3 PTS) (Beverley 7 AST),Made Shot,Jump Shot,119,231,26,1,3.0,3.0,h
S2324-G0698,3,01:25,PHI,,BKN,,F. Korkmaz,PHI,Korkmaz REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0698,3,00:02.400000,PHI,82.0,BKN,105.0,F. Korkmaz,PHI,Korkmaz 1' Cutting Layup Shot (5 PTS) (Beverley 8 AST),Made Shot,Cutting Layup Shot,7,10,1,1,2.0,2.0,h
S2324-G0698,4,11:42,PHI,,BKN,,F. Korkmaz,PHI,Korkmaz STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0698,4,11:20,PHI,84.0,BKN,105.0,F. Korkmaz,PHI,Korkmaz 5' Running Jump Shot (7 PTS) (Springer 2 AST),Made Shot,Running Jump Shot,-54,-5,5,1,2.0,2.0,h
S2324-G0698,4,07:18,PHI,,BKN,,F. Korkmaz,PHI,MISS Korkmaz Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2324-G0698,4,07:18,PHI,93.0,BKN,117.0,F. Korkmaz,PHI,Korkmaz Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0698,4,05:13,PHI,96.0,BKN,125.0,F. Korkmaz,PHI,Korkmaz Free Throw 1 of 2 (9 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0698,4,05:13,PHI,97.0,BKN,125.0,F. Korkmaz,PHI,Korkmaz Free Throw 2 of 2 (10 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0698,4,01:49,PHI,,BKN,,F. Korkmaz,PHI,Korkmaz S.FOUL (P1.T3) (E.Scott),Foul,Shooting,0,0,0,0,,,h
S2324-G0698,4,01:15,PHI,,BKN,,F. Korkmaz,PHI,Korkmaz REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G0180,1,00:59.500000,PHI,,IND,,F. Korkmaz,PHI,Korkmaz STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0180,1,00:54.700000,PHI,,IND,,F. Korkmaz,PHI,Korkmaz Out of Bounds Lost Ball Turnover (P1.T3),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2324-G0180,3,00:13.700000,PHI,,IND,,F. Korkmaz,PHI,MISS Korkmaz 4' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,16,36,4,1,2.0,0.0,h
S2324-G0532,4,02:45,PHI,,SAC,,F. Korkmaz,PHI,MISS Korkmaz 26' 3PT Jump Shot,Missed Shot,Jump Shot,201,165,26,1,3.0,0.0,h
S2324-G0532,4,02:00,PHI,,SAC,,F. Korkmaz,PHI,MISS Korkmaz 6' Driving Layup,Missed Shot,Driving Layup Shot,-31,54,6,1,2.0,0.0,h
S2324-G0532,4,00:53.100000,PHI,110.0,SAC,89.0,F. Korkmaz,PHI,Korkmaz 28' 3PT Jump Shot (3 PTS) (House Jr. 1 AST),Made Shot,Jump Shot,69,270,28,1,3.0,3.0,h
S2324-G0532,4,00:18.800000,PHI,,SAC,,F. Korkmaz,PHI,Korkmaz STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0128,1,06:01,PHI,,TOR,,F. Korkmaz,PHI,Korkmaz STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0128,1,04:51,PHI,,TOR,,F. Korkmaz,PHI,Korkmaz REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0128,1,02:27,PHI,,TOR,,F. Korkmaz,PHI,Korkmaz Bad Pass Turnover (P1.T4),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G0128,2,10:55,PHI,,TOR,,F. Korkmaz,PHI,MISS Korkmaz 26' 3PT Jump Shot,Missed Shot,Jump Shot,42,260,26,1,3.0,0.0,h
S2324-G0128,2,10:22,PHI,,TOR,,F. Korkmaz,PHI,SUB: Oubre Jr. FOR Korkmaz,Substitution,,0,0,0,0,,,h
S2324-G0128,2,02:44,PHI,,TOR,,F. Korkmaz,PHI,Korkmaz STEAL (2 STL),,,0,0,0,0,,,h
S2324-G0128,2,02:40,PHI,53.0,TOR,47.0,F. Korkmaz,PHI,Korkmaz 1' Running Dunk (2 PTS) (Maxey 2 AST),Made Shot,Running Dunk Shot,9,5,1,1,2.0,2.0,h
S2324-G0128,2,02:15,PHI,56.0,TOR,47.0,F. Korkmaz,PHI,Korkmaz 24' 3PT Jump Shot (5 PTS) (Springer 1 AST),Made Shot,Jump Shot,233,39,24,1,3.0,3.0,h
S2324-G0128,3,00:05.200000,PHI,,TOR,,F. Korkmaz,PHI,Korkmaz STEAL (3 STL),,,0,0,0,0,,,h
S2324-G0128,3,00:00.700000,PHI,89.0,TOR,77.0,F. Korkmaz,PHI,Korkmaz 2' Running Layup (7 PTS) (Embiid 7 AST),Made Shot,Running Layup Shot,15,4,2,1,2.0,2.0,h
S2324-G0128,3,00:00.700000,PHI,90.0,TOR,77.0,F. Korkmaz,PHI,Korkmaz Free Throw 1 of 1 (8 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2324-G0128,4,11:07,PHI,95.0,TOR,77.0,F. Korkmaz,PHI,Korkmaz 6' Driving Floating Jump Shot (10 PTS) (Harris 3 AST),Made Shot,Driving Floating Jump Shot,54,31,6,1,2.0,2.0,h
S2324-G0128,4,07:57,PHI,,TOR,,F. Korkmaz,PHI,MISS Korkmaz 1' Driving Layup,Missed Shot,Driving Layup Shot,-4,14,1,1,2.0,0.0,h
S2324-G0128,4,06:46,PHI,,TOR,,F. Korkmaz,PHI,MISS Korkmaz 18' Jump Shot,Missed Shot,Jump Shot,105,152,18,1,2.0,0.0,h
S2324-G0128,4,06:37,PHI,,TOR,,F. Korkmaz,PHI,SUB: Embiid FOR Korkmaz,Substitution,,0,0,0,0,,,h
