game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0358,1,11:36,SAC,,WAS,,H. Barnes,SAC,MISS Barnes 26' 3PT Jump Shot,Missed Shot,Jump Shot,-197,163,26,1,3.0,0.0,h
S2324-G0358,1,08:27,SAC,,WAS,,H. Barnes,SAC,Barnes Out of Bounds Lost Ball Turnover (P1.T1),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2324-G0358,1,07:14,SAC,11.0,WAS,14.0,H. Barnes,SAC,Barnes 2' Running Reverse Layup (2 PTS) (Sabonis 1 AST),Made Shot,Running Reverse Layup Shot,16,2,2,1,2.0,2.0,h
S2324-G0358,1,05:47,SAC,,WAS,,H. Barnes,SAC,SUB: Lyles FOR Barnes,Substitution,,0,0,0,0,,,h
S2324-G0358,1,01:31,SAC,26.0,WAS,26.0,H. Barnes,SAC,Barnes 2' Running Layup (4 PTS) (Monk 2 AST),Made Shot,Running Layup Shot,17,8,2,1,2.0,2.0,h
S2324-G0358,2,01:52,SAC,,WAS,,H. Barnes,SAC,Barnes STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0358,2,01:49,SAC,59.0,WAS,48.0,H. Barnes,SAC,Barnes 1' Running Dunk (6 PTS),Made Shot,Running Dunk Shot,-2,10,1,1,2.0,2.0,h
S2324-G0358,3,11:25,SAC,,WAS,,H. Barnes,SAC,Barnes Violation:Kicked Ball (S.Corbin),Violation,Kicked Ball,0,0,0,0,,,h
S2324-G0358,3,09:17,SAC,78.0,WAS,58.0,H. Barnes,SAC,Barnes 2' Layup (8 PTS) (Fox 2 AST),Made Shot,Layup Shot,-21,4,2,1,2.0,2.0,h
S2324-G0358,3,07:53,SAC,86.0,WAS,64.0,H. Barnes,SAC,Barnes 1' Layup (10 PTS) (Sabonis 5 AST),Made Shot,Layup Shot,10,1,1,1,2.0,2.0,h
S2324-G0358,3,07:53,SAC,87.0,WAS,64.0,H. Barnes,SAC,Barnes Free Throw 1 of 1 (11 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2324-G0358,3,07:28,SAC,89.0,WAS,67.0,H. Barnes,SAC,Barnes 2' Driving Layup (13 PTS) (Fox 4 AST),Made Shot,Driving Layup Shot,17,10,2,1,2.0,2.0,h
S2324-G0358,3,06:04,SAC,,WAS,,H. Barnes,SAC,Barnes Violation:Kicked Ball (S.Corbin),Violation,Kicked Ball,0,0,0,0,,,h
S2324-G0358,3,05:12,SAC,,WAS,,H. Barnes,SAC,MISS Barnes 2' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,-10,16,2,1,2.0,0.0,h
