game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0153,4,05:48,HOU,,SAC,,J. Ford,SAC,MISS Ford 23' Step Back Jump Shot,Missed Shot,Step Back Jump shot,80,217,23,1,2.0,0.0,v
S2324-G0153,4,02:19,HOU,120.0,SAC,91.0,J. Ford,SAC,Ford 26' 3PT Pullup Jump Shot (3 PTS),Made Shot,Pullup Jump shot,-66,251,26,1,3.0,3.0,v
S2324-G0153,4,02:00,HOU,,SAC,,J. Ford,SAC,Ford REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0153,4,01:19,HOU,120.0,SAC,95.0,J. Ford,SAC,Ford 15' Driving Floating Jump Shot (5 PTS),Made Shot,Driving Floating Jump Shot,-7,146,15,1,2.0,2.0,v
S2324-G0309,4,05:54,LAC,110.0,SAC,82.0,J. Ford,SAC,Ford 24' 3PT Jump Shot (3 PTS) (Vezenkov 1 AST),Made Shot,Jump Shot,-234,45,24,1,3.0,3.0,v
S2324-G0309,4,05:34,LAC,,SAC,,J. Ford,SAC,Ford REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0309,4,00:39.300000,LAC,,SAC,,J. Ford,SAC,Ford Out of Bounds - Bad Pass Turnover Turnover (P1.T14),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2324-G0309,4,00:08.800000,LAC,119.0,SAC,99.0,J. Ford,SAC,Ford 2' Driving Layup (5 PTS),Made Shot,Driving Layup Shot,10,14,2,1,2.0,2.0,v
S2324-G0191,4,00:50.700000,SAC,,CLE,,J. Ford,SAC,MISS Ford 25' 3PT Jump Shot,Missed Shot,Jump Shot,-248,27,25,1,3.0,0.0,h
S2324-G0072,4,01:04,UTA,,SAC,,J. Ford,SAC,MISS Ford 13' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,91,99,13,1,2.0,0.0,v
S2324-G0137,4,00:47.400000,HOU,107.0,SAC,88.0,J. Ford,SAC,Ford Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0137,4,00:47.400000,HOU,107.0,SAC,89.0,J. Ford,SAC,Ford Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
