game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0708,1,10:13,MIA,,LAC,,J. Harden,LAC,MISS Harden 27' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,76,256,27,1,3.0,0.0,v
S2324-G0708,1,08:43,MIA,,LAC,,J. Harden,LAC,Harden Out of Bounds - Bad Pass Turnover Turnover (P1.T1),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2324-G0708,1,07:38,MIA,13.0,LAC,5.0,J. Harden,LAC,Harden 14' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,-51,130,14,1,2.0,2.0,v
S2324-G0708,1,07:13,MIA,,LAC,,J. Harden,LAC,Harden REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0708,1,07:08,MIA,,LAC,,J. Harden,LAC,MISS Harden 16' Step Back Jump Shot,Missed Shot,Step Back Jump shot,51,152,16,1,2.0,0.0,v
S2324-G0708,1,04:44,MIA,,LAC,,J. Harden,LAC,Harden STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0708,1,04:17,MIA,,LAC,,J. Harden,LAC,Harden REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0708,1,04:16,MIA,,LAC,,J. Harden,LAC,SUB: Coffey FOR Harden,Substitution,,0,0,0,0,,,v
S2324-G0708,2,10:08,MIA,,LAC,,J. Harden,LAC,MISS Harden 28' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,221,168,28,1,3.0,0.0,v
S2324-G0708,2,09:16,MIA,27.0,LAC,25.0,J. Harden,LAC,Harden 25' 3PT Jump Shot (5 PTS) (Westbrook 2 AST),Made Shot,Jump Shot,-130,210,25,1,3.0,3.0,v
S2324-G0708,2,05:51,MIA,,LAC,,J. Harden,LAC,Harden REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0708,2,05:44,MIA,,LAC,,J. Harden,LAC,Harden Bad Pass Turnover (P2.T8),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0708,2,01:40,MIA,,LAC,,J. Harden,LAC,MISS Harden 28' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,169,218,28,1,3.0,0.0,v
S2324-G0708,3,10:59,MIA,43.0,LAC,48.0,J. Harden,LAC,Harden 25' 3PT Jump Shot (8 PTS) (George 2 AST),Made Shot,Jump Shot,-234,88,25,1,3.0,3.0,v
S2324-G0708,3,10:12,MIA,,LAC,,J. Harden,LAC,Harden Lost Ball Turnover (P3.T10),Turnover,Lost Ball,0,0,0,0,,,v
S2324-G0708,3,09:10,MIA,,LAC,,J. Harden,LAC,MISS Harden 25' 3PT Jump Shot,Missed Shot,Jump Shot,188,159,25,1,3.0,0.0,v
S2324-G0708,3,07:37,MIA,51.0,LAC,55.0,J. Harden,LAC,Harden 8' Driving Floating Jump Shot (10 PTS) (George 3 AST),Made Shot,Driving Floating Jump Shot,-60,50,8,1,2.0,2.0,v
S2324-G0708,3,07:21,MIA,,LAC,,J. Harden,LAC,Harden REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2324-G0708,3,04:27,MIA,,LAC,,J. Harden,LAC,Harden P.FOUL (P1.T3) (R.Acosta),Foul,Personal,0,0,0,0,,,v
S2324-G0708,3,02:06,MIA,,LAC,,J. Harden,LAC,SUB: Coffey FOR Harden,Substitution,,0,0,0,0,,,v
S2324-G0708,4,11:24,MIA,,LAC,,J. Harden,LAC,Harden REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2324-G0708,4,10:29,MIA,,LAC,,J. Harden,LAC,MISS Harden 16' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,89,136,16,1,2.0,0.0,v
S2324-G0708,4,09:52,MIA,72.0,LAC,74.0,J. Harden,LAC,Harden 24' 3PT Step Back Jump Shot (13 PTS),Made Shot,Step Back Jump shot,218,105,24,1,3.0,3.0,v
S2324-G0708,4,09:52,MIA,72.0,LAC,75.0,J. Harden,LAC,Harden Free Throw 1 of 1 (14 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2324-G0708,4,09:37,MIA,,LAC,,J. Harden,LAC,Harden REBOUND (Off:0 Def:6),Rebound,Unknown,0,0,0,0,,,v
S2324-G0708,4,06:44,MIA,,LAC,,J. Harden,LAC,Harden REBOUND (Off:0 Def:7),Rebound,Unknown,0,0,0,0,,,v
S2324-G0708,4,05:53,MIA,78.0,LAC,88.0,J. Harden,LAC,Harden 27' 3PT Step Back Jump Shot (17 PTS),Made Shot,Step Back Jump shot,-210,164,27,1,3.0,3.0,v
S2324-G0708,4,05:35,MIA,,LAC,,J. Harden,LAC,Harden BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G0708,4,05:19,MIA,78.0,LAC,91.0,J. Harden,LAC,Harden 24' 3PT Step Back Jump Shot (20 PTS),Made Shot,Step Back Jump shot,221,92,24,1,3.0,3.0,v
S2324-G0708,4,05:19,MIA,,LAC,,J. Harden,LAC,MISS Harden Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,v
S2324-G0708,4,00:53.900000,MIA,,LAC,,J. Harden,LAC,Harden Bad Pass Turnover (P4.T17),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0708,4,00:46.500000,MIA,,LAC,,J. Harden,LAC,Harden REBOUND (Off:0 Def:8),Rebound,Unknown,0,0,0,0,,,v
S2324-G0708,4,00:21.700000,MIA,,LAC,,J. Harden,LAC,MISS Harden Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2324-G0708,4,00:21.700000,MIA,92.0,LAC,99.0,J. Harden,LAC,Harden Free Throw 2 of 2 (21 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G0749,1,10:50,LAC,,DET,,J. Harden,LAC,MISS Harden 27' 3PT Jump Shot,Missed Shot,Jump Shot,-167,214,27,1,3.0,0.0,h
S2324-G0749,1,10:34,LAC,,DET,,J. Harden,LAC,Harden REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0749,1,09:04,LAC,9.0,DET,2.0,J. Harden,LAC,Harden 28' 3PT Jump Shot (3 PTS) (Leonard 1 AST),Made Shot,Jump Shot,114,257,28,1,3.0,3.0,h
S2324-G0749,1,07:44,LAC,,DET,,J. Harden,LAC,MISS Harden 27' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,176,211,27,1,3.0,0.0,h
S2324-G0749,1,07:11,LAC,,DET,,J. Harden,LAC,SUB: Westbrook FOR Harden,Substitution,,0,0,0,0,,,h
