game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1230,4,07:47,LAL,,NOP,,J. Hood-Schifino,LAL,Hood-Schifino P.FOUL (P1.T2) (K.Cutler),Foul,Personal,0,0,0,0,,,h
S2324-G1230,4,06:23,LAL,122.0,NOP,81.0,J. Hood-Schifino,LAL,Hood-Schifino Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G1230,4,06:23,LAL,,NOP,,J. Hood-Schifino,LAL,MISS Hood-Schifino Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2324-G1230,4,05:36,LAL,,NOP,,J. Hood-Schifino,LAL,MISS Hood-Schifino 3' Layup,Missed Shot,Layup Shot,-28,10,3,1,2.0,0.0,h
S2324-G1230,4,05:33,LAL,,NOP,,J. Hood-Schifino,LAL,Hood-Schifino REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G1230,4,05:23,LAL,,NOP,,J. Hood-Schifino,LAL,Hood-Schifino REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1230,4,04:40,LAL,,NOP,,J. Hood-Schifino,LAL,MISS Hood-Schifino 22' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-78,204,22,1,2.0,0.0,h
S2324-G1230,4,02:49,LAL,,NOP,,J. Hood-Schifino,LAL,Hood-Schifino BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G1230,4,02:45,LAL,,NOP,,J. Hood-Schifino,LAL,Hood-Schifino Out of Bounds Lost Ball Turnover (P1.T13),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2324-G1230,4,01:54,LAL,,NOP,,J. Hood-Schifino,LAL,Hood-Schifino REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G1230,4,01:39,LAL,,NOP,,J. Hood-Schifino,LAL,MISS Hood-Schifino 23' Step Back Jump Shot,Missed Shot,Step Back Jump shot,64,218,23,1,2.0,0.0,h
S2324-G1230,4,00:19.100000,LAL,,NOP,,J. Hood-Schifino,LAL,Hood-Schifino REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0591,4,02:27,LAL,,BKN,,J. Hood-Schifino,LAL,Hood-Schifino Bad Pass Turnover (P1.T14),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G0591,4,02:27,LAL,,BKN,,J. Hood-Schifino,LAL,Hood-Schifino P.FOUL (P1.PN) (C.Kirkland),Foul,Personal,0,0,0,0,,,h
S2324-G0591,4,02:15,LAL,,BKN,,J. Hood-Schifino,LAL,MISS Hood-Schifino 20' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-116,157,20,1,2.0,0.0,h
S2324-G0591,4,02:03,LAL,,BKN,,J. Hood-Schifino,LAL,Hood-Schifino REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0271,2,10:23,OKC,,LAL,,J. Hood-Schifino,LAL,Hood-Schifino S.FOUL (P1.T1) (S.Wright),Foul,Shooting,0,0,0,0,,,v
S2324-G0271,2,10:08,OKC,,LAL,,J. Hood-Schifino,LAL,MISS Hood-Schifino 8' Driving Layup,Missed Shot,Driving Layup Shot,-67,37,8,1,2.0,0.0,v
