game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0860,1,12:00,TOR,,GSW,,J. Poeltl,TOR,Jump Ball Poeltl vs. Green: Tip to Barnes,Jump Ball,,0,0,0,0,,,h
S2324-G0860,1,11:43,TOR,,GSW,,J. Poeltl,TOR,MISS Poeltl 6' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,5,62,6,1,2.0,0.0,h
S2324-G0860,1,08:50,TOR,,GSW,,J. Poeltl,TOR,MISS Poeltl 11' Floating Jump Shot,Missed Shot,Floating Jump shot,105,26,11,1,2.0,0.0,h
S2324-G0860,1,08:14,TOR,,GSW,,J. Poeltl,TOR,Poeltl REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G0860,1,08:14,TOR,,GSW,,J. Poeltl,TOR,MISS Poeltl Putback Layup,Missed Shot,Putback Layup Shot,0,0,0,1,2.0,0.0,h
S2324-G0860,1,07:55,TOR,,GSW,,J. Poeltl,TOR,Poeltl BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G0860,1,07:27,TOR,,GSW,,J. Poeltl,TOR,Poeltl REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0860,1,06:43,TOR,,GSW,,J. Poeltl,TOR,Poeltl S.FOUL (P1.T1) (A.Moyer-Gleich),Foul,Shooting,0,0,0,0,,,h
S2324-G0860,1,05:44,TOR,,GSW,,J. Poeltl,TOR,Poeltl REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0860,1,05:34,TOR,,GSW,,J. Poeltl,TOR,Poeltl REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0860,1,05:34,TOR,21.0,GSW,12.0,J. Poeltl,TOR,Poeltl Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2324-G0860,1,04:45,TOR,,GSW,,J. Poeltl,TOR,SUB: Olynyk FOR Poeltl,Substitution,,0,0,0,0,,,h
S2324-G0860,2,05:56,TOR,45.0,GSW,40.0,J. Poeltl,TOR,Poeltl 1' Reverse Layup (4 PTS) (Barrett 1 AST),Made Shot,Reverse Layup Shot,5,5,1,1,2.0,2.0,h
S2324-G0860,2,05:21,TOR,,GSW,,J. Poeltl,TOR,Poeltl REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0860,2,04:43,TOR,,GSW,,J. Poeltl,TOR,Poeltl REBOUND (Off:3 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0860,2,04:42,TOR,50.0,GSW,44.0,J. Poeltl,TOR,Poeltl 7' Putback Layup (6 PTS),Made Shot,Putback Layup Shot,65,27,7,1,2.0,2.0,h
S2324-G0860,2,04:30,TOR,,GSW,,J. Poeltl,TOR,Poeltl REBOUND (Off:3 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G0860,2,03:29,TOR,,GSW,,J. Poeltl,TOR,MISS Poeltl 6' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,-22,59,6,1,2.0,0.0,h
S2324-G0860,2,02:28,TOR,,GSW,,J. Poeltl,TOR,Poeltl REBOUND (Off:4 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G0860,2,02:28,TOR,,GSW,,J. Poeltl,TOR,MISS Poeltl Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
