game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0335,4,04:19,CHA,,PHI,,K. Martin,PHI,Martin STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0335,4,03:14,CHA,,PHI,,K. Martin,PHI,Martin STEAL (2 STL),,,0,0,0,0,,,v
S2324-G0335,4,00:40.300000,CHA,,PHI,,K. Martin,PHI,Martin P.FOUL (P1.PN) (J.Van Duyne),Foul,Personal,0,0,0,0,,,v
S2324-G0698,1,01:21,PHI,,BKN,,K. Martin,PHI,Martin S.FOUL (P1.T2) (A.Moyer-Gleich),Foul,Shooting,0,0,0,0,,,h
S2324-G0698,2,11:48,PHI,,BKN,,K. Martin,PHI,MISS Martin 3' Driving Layup,Missed Shot,Driving Layup Shot,-16,21,3,1,2.0,0.0,h
S2324-G0698,2,11:39,PHI,,BKN,,K. Martin,PHI,Martin REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0698,2,11:36,PHI,24.0,BKN,38.0,K. Martin,PHI,Martin 2' Running Finger Roll Layup (2 PTS),Made Shot,Running Finger Roll Layup Shot,0,16,2,1,2.0,2.0,h
S2324-G0698,2,08:50,PHI,26.0,BKN,49.0,K. Martin,PHI,Martin 2' Driving Hook Shot (4 PTS) (Maxey 2 AST),Made Shot,Driving Hook Shot,-12,21,2,1,2.0,2.0,h
S2324-G0698,2,08:37,PHI,,BKN,,K. Martin,PHI,SUB: Oubre Jr. FOR Martin,Substitution,,0,0,0,0,,,h
S2324-G0698,3,07:10,PHI,,BKN,,K. Martin,PHI,MISS Martin 3' Driving Layup,Missed Shot,Driving Layup Shot,-27,0,3,1,2.0,0.0,h
S2324-G0698,3,07:07,PHI,65.0,BKN,85.0,K. Martin,PHI,Martin 3PT Jump Shot (7 PTS) (Maxey 5 AST),Made Shot,Jump Shot,-222,10,0,1,3.0,3.0,h
S2324-G0698,3,05:45,PHI,,BKN,,K. Martin,PHI,MISS Martin 2' Alley Oop Layup,Missed Shot,Alley Oop Layup shot,2,19,2,1,2.0,0.0,h
S2324-G0698,3,04:13,PHI,,BKN,,K. Martin,PHI,SUB: Bamba FOR Martin,Substitution,,0,0,0,0,,,h
S2324-G0698,4,09:11,PHI,88.0,BKN,111.0,K. Martin,PHI,Martin Running Dunk (9 PTS) (Beverley 9 AST),Made Shot,Running Dunk Shot,-1,-2,0,1,2.0,2.0,h
S2324-G0698,4,07:51,PHI,,BKN,,K. Martin,PHI,Martin REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0698,4,07:45,PHI,92.0,BKN,115.0,K. Martin,PHI,Martin 3' Running Layup (11 PTS) (Springer 3 AST),Made Shot,Running Layup Shot,-1,34,3,1,2.0,2.0,h
S2324-G0698,4,02:31,PHI,,BKN,,K. Martin,PHI,Martin REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0698,4,01:47,PHI,,BKN,,K. Martin,PHI,Martin REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G0698,4,00:52.100000,PHI,,BKN,,K. Martin,PHI,MISS Martin 25' 3PT Jump Shot,Missed Shot,Jump Shot,-40,246,25,1,3.0,0.0,h
S2324-G0909,1,03:58,PHI,,NOP,,K. Martin,PHI,Martin REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G0909,1,03:57,PHI,,NOP,,K. Martin,PHI,MISS Martin 4' Putback Layup,Missed Shot,Putback Layup Shot,-29,27,4,1,2.0,0.0,h
S2324-G0909,2,11:22,PHI,,NOP,,K. Martin,PHI,Martin Lost Ball Turnover (P1.T4),Turnover,Lost Ball,0,0,0,0,,,h
S2324-G0909,2,11:19,PHI,,NOP,,K. Martin,PHI,Martin S.FOUL (P1.T1) (E.Dalen),Foul,Shooting,0,0,0,0,,,h
S2324-G0909,2,09:35,PHI,,NOP,,K. Martin,PHI,MISS Martin 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-221,99,24,1,3.0,0.0,h
S2324-G0909,2,08:26,PHI,,NOP,,K. Martin,PHI,SUB: Harris FOR Martin,Substitution,,0,0,0,0,,,h
S2324-G0909,3,01:21,PHI,,NOP,,K. Martin,PHI,Martin S.FOUL (P2.PN) (E.Dalen),Foul,Shooting,0,0,0,0,,,h
S2324-G0909,3,00:06.100000,PHI,,NOP,,K. Martin,PHI,MISS Martin 2' Driving Layup,Missed Shot,Driving Layup Shot,-10,14,2,1,2.0,0.0,h
S2324-G0909,4,10:43,PHI,,NOP,,K. Martin,PHI,Martin REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0909,4,05:49,PHI,,NOP,,K. Martin,PHI,Martin P.FOUL (P3.T4) (E.Dalen),Foul,Personal,0,0,0,0,,,h
S2324-G0909,4,05:49,PHI,,NOP,,K. Martin,PHI,SUB: Oubre Jr. FOR Martin,Substitution,,0,0,0,0,,,h
S2324-G0753,1,05:10,WAS,,PHI,,K. Martin,PHI,Martin S.FOUL (P1.T3) (S.Wall),Foul,Shooting,0,0,0,0,,,v
S2324-G0753,1,04:55,WAS,,PHI,,K. Martin,PHI,Martin REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G0753,1,04:55,WAS,19.0,PHI,16.0,K. Martin,PHI,Martin 1' Putback Dunk (2 PTS),Made Shot,Putback Dunk Shot,1,14,1,1,2.0,2.0,v
S2324-G0753,1,01:02,WAS,,PHI,,K. Martin,PHI,Martin BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G0753,1,00:31.300000,WAS,23.0,PHI,32.0,K. Martin,PHI,Martin 3' Driving Layup (4 PTS) (Hield 2 AST),Made Shot,Driving Layup Shot,-27,13,3,1,2.0,2.0,v
S2324-G0753,2,04:13,WAS,,PHI,,K. Martin,PHI,SUB: Maxey FOR Martin,Substitution,,0,0,0,0,,,v
S2324-G0753,3,06:02,WAS,,PHI,,K. Martin,PHI,MISS Martin 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,50,48,7,1,2.0,0.0,v
S2324-G0753,3,05:16,WAS,,PHI,,K. Martin,PHI,Martin S.FOUL (P2.T4) (S.Wall),Foul,Shooting,0,0,0,0,,,v
S2324-G0753,3,04:48,WAS,,PHI,,K. Martin,PHI,Martin L.B.FOUL (P3.PN) (S.Wall),Foul,Loose Ball,0,0,0,0,,,v
S2324-G0753,3,00:53.700000,WAS,,PHI,,K. Martin,PHI,Martin REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0753,4,09:09,WAS,,PHI,,K. Martin,PHI,SUB: Harris FOR Martin,Substitution,,0,0,0,0,,,v
S2324-G0753,4,03:15,WAS,,PHI,,K. Martin,PHI,SUB: Hield FOR Martin,Substitution,,0,0,0,0,,,v
S2324-G0495,1,01:02,PHI,,UTA,,K. Martin,PHI,Martin STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0495,1,00:33.700000,PHI,28.0,UTA,29.0,K. Martin,PHI,Martin Cutting Dunk Shot (2 PTS) (Beverley 1 AST),Made Shot,Cutting Dunk Shot,-2,-1,0,1,2.0,2.0,h
S2324-G0495,1,00:21.300000,PHI,,UTA,,K. Martin,PHI,Martin S.FOUL (P1.T4) (S.Mehta),Foul,Shooting,0,0,0,0,,,h
S2324-G0495,1,00:06.200000,PHI,,UTA,,K. Martin,PHI,MISS Martin 3PT Jump Shot,Missed Shot,Jump Shot,-232,-6,0,1,3.0,0.0,h
S2324-G0495,1,00:03.500000,PHI,,UTA,,K. Martin,PHI,SUB: Batum FOR Martin,Substitution,,0,0,0,0,,,h
S2324-G0495,2,11:44,PHI,,UTA,,K. Martin,PHI,Martin REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G0495,2,11:43,PHI,,UTA,,K. Martin,PHI,MISS Martin 2' Driving Dunk,Missed Shot,Driving Dunk Shot,18,17,2,1,2.0,0.0,h
S2324-G0495,2,10:47,PHI,33.0,UTA,35.0,K. Martin,PHI,Martin Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0495,2,10:47,PHI,,UTA,,K. Martin,PHI,MISS Martin Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2324-G0495,2,10:24,PHI,,UTA,,K. Martin,PHI,Martin L.B.FOUL (P2.T2) (S.Mehta),Foul,Loose Ball,0,0,0,0,,,h
S2324-G0495,2,09:03,PHI,,UTA,,K. Martin,PHI,Martin S.FOUL (P3.T4) (E.Dalen),Foul,Shooting,0,0,0,0,,,h
S2324-G0495,2,09:03,PHI,,UTA,,K. Martin,PHI,SUB: Reed FOR Martin,Substitution,,0,0,0,0,,,h
S2324-G0495,2,02:01,PHI,54.0,UTA,54.0,K. Martin,PHI,Martin Cutting Dunk Shot (5 PTS) (Maxey 2 AST),Made Shot,Cutting Dunk Shot,0,2,0,1,2.0,2.0,h
S2324-G0495,3,01:12,PHI,77.0,UTA,82.0,K. Martin,PHI,Martin 1' Running Finger Roll Layup (7 PTS) (Batum 4 AST),Made Shot,Running Finger Roll Layup Shot,1,13,1,1,2.0,2.0,h
S2324-G0495,3,00:31.100000,PHI,,UTA,,K. Martin,PHI,Martin L.B.FOUL (P4.PN) (E.Dalen),Foul,Loose Ball,0,0,0,0,,,h
S2324-G0495,3,00:31.100000,PHI,,UTA,,K. Martin,PHI,SUB: Oubre Jr. FOR Martin,Substitution,,0,0,0,0,,,h
S2324-G0495,4,10:58,PHI,,UTA,,K. Martin,PHI,MISS Martin 2' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,2,16,2,1,2.0,0.0,h
S2324-G0495,4,09:44,PHI,,UTA,,K. Martin,PHI,Martin REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0495,4,07:21,PHI,,UTA,,K. Martin,PHI,SUB: Morris Sr. FOR Martin,Substitution,,0,0,0,0,,,h
