game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0899,1,09:02,GSW,,MIL,,M. Beasley,MIL,Beasley Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0899,1,08:20,GSW,,MIL,,M. Beasley,MIL,MISS Beasley 3PT Jump Shot,Missed Shot,Jump Shot,232,20,0,1,3.0,0.0,v
S2324-G0899,1,08:15,GSW,,MIL,,M. Beasley,MIL,Beasley REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G0899,1,08:15,GSW,14.0,MIL,12.0,M. Beasley,MIL,Beasley Putback Layup (2 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,v
S2324-G0899,1,06:38,GSW,,MIL,,M. Beasley,MIL,Beasley STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0899,1,04:48,GSW,,MIL,,M. Beasley,MIL,SUB: Connaughton FOR Beasley,Substitution,,0,0,0,0,,,v
S2324-G0899,2,07:52,GSW,,MIL,,M. Beasley,MIL,MISS Beasley 5' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,23,47,5,1,2.0,0.0,v
S2324-G0899,2,05:56,GSW,,MIL,,M. Beasley,MIL,MISS Beasley 26' 3PT Jump Shot,Missed Shot,Jump Shot,-130,225,26,1,3.0,0.0,v
S2324-G0899,2,04:24,GSW,,MIL,,M. Beasley,MIL,MISS Beasley 26' 3PT Jump Shot,Missed Shot,Jump Shot,176,193,26,1,3.0,0.0,v
S2324-G0899,2,03:31,GSW,,MIL,,M. Beasley,MIL,MISS Beasley 25' 3PT Jump Shot,Missed Shot,Jump Shot,230,108,25,1,3.0,0.0,v
S2324-G0899,2,00:13.100000,GSW,,MIL,,M. Beasley,MIL,MISS Beasley 26' 3PT Jump Shot,Missed Shot,Jump Shot,225,124,26,1,3.0,0.0,v
S2324-G0899,2,00:05.200000,GSW,,MIL,,M. Beasley,MIL,Beasley Personal Take Foul (P1.T2) (G.Petraitis),Foul,Personal Take,0,0,0,0,,,v
S2324-G0899,3,10:06,GSW,,MIL,,M. Beasley,MIL,Beasley REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0899,3,06:19,GSW,,MIL,,M. Beasley,MIL,MISS Beasley 3PT Jump Shot,Missed Shot,Jump Shot,227,1,0,1,3.0,0.0,v
S2324-G0899,3,06:13,GSW,,MIL,,M. Beasley,MIL,Beasley BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G0899,3,03:27,GSW,,MIL,,M. Beasley,MIL,Beasley REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0899,3,02:57,GSW,,MIL,,M. Beasley,MIL,MISS Beasley 3' Driving Layup,Missed Shot,Driving Layup Shot,28,15,3,1,2.0,0.0,v
S2324-G0899,3,00:55.300000,GSW,,MIL,,M. Beasley,MIL,SUB: Green FOR Beasley,Substitution,,0,0,0,0,,,v
S2324-G0899,4,09:06,GSW,102.0,MIL,83.0,M. Beasley,MIL,Beasley 8' Driving Floating Jump Shot (4 PTS) (Lillard 6 AST),Made Shot,Driving Floating Jump Shot,0,83,8,1,2.0,2.0,v
S2324-G0899,4,04:15,GSW,,MIL,,M. Beasley,MIL,SUB: Beauchamp FOR Beasley,Substitution,,0,0,0,0,,,v
S2324-G0572,1,10:38,CLE,6.0,MIL,2.0,M. Beasley,MIL,Beasley 8' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,72,28,8,1,2.0,2.0,v
S2324-G0572,1,09:48,CLE,,MIL,,M. Beasley,MIL,Beasley P.FOUL (P1.T2) (D.Taylor),Foul,Personal,0,0,0,0,,,v
S2324-G0572,1,07:24,CLE,,MIL,,M. Beasley,MIL,MISS Beasley 14' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-135,16,14,1,2.0,0.0,v
S2324-G0572,1,07:02,CLE,,MIL,,M. Beasley,MIL,Beasley REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0572,1,06:28,CLE,,MIL,,M. Beasley,MIL,MISS Beasley 3PT Jump Shot,Missed Shot,Jump Shot,-232,22,0,1,3.0,0.0,v
S2324-G0572,1,04:07,CLE,,MIL,,M. Beasley,MIL,Beasley REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0572,1,03:13,CLE,,MIL,,M. Beasley,MIL,MISS Beasley 28' 3PT Jump Shot,Missed Shot,Jump Shot,40,275,28,1,3.0,0.0,v
S2324-G0572,1,02:59,CLE,,MIL,,M. Beasley,MIL,SUB: Beauchamp FOR Beasley,Substitution,,0,0,0,0,,,v
S2324-G0572,2,04:10,CLE,,MIL,,M. Beasley,MIL,Beasley REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0572,2,02:42,CLE,,MIL,,M. Beasley,MIL,MISS Beasley 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-237,22,24,1,3.0,0.0,v
