game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1226,2,01:42,POR,,DAL,,M. Morris,DAL,Morris OFF.Foul (P1) (J.Van Duyne),Foul,Offensive,0,0,0,0,,,v
S2324-G1226,2,01:42,POR,,DAL,,M. Morris,DAL,Morris Offensive Foul Turnover (P1.T9),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2324-G1226,3,04:04,POR,76.0,DAL,88.0,M. Morris,DAL,Morris 3' Cutting Layup Shot (2 PTS) (Exum 4 AST),Made Shot,Cutting Layup Shot,-15,22,3,1,2.0,2.0,v
S2324-G1226,3,03:02,POR,,DAL,,M. Morris,DAL,Morris Lost Ball Turnover (P2.T12),Turnover,Lost Ball,0,0,0,0,,,v
S2324-G1226,3,02:47,POR,,DAL,,M. Morris,DAL,Morris REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G1226,3,02:45,POR,,DAL,,M. Morris,DAL,Morris Bad Pass Turnover (P3.T13),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G1031,1,06:12,MIN,9.0,GSW,11.0,M. Morris,MIN,Morris 3PT Jump Shot (3 PTS) (Edwards 2 AST),Made Shot,Jump Shot,-232,-8,0,1,3.0,3.0,h
S2324-G1031,1,05:00,MIN,,GSW,,M. Morris,MIN,Morris STEAL (1 STL),,,0,0,0,0,,,h
S2324-G1031,1,04:56,MIN,14.0,GSW,11.0,M. Morris,MIN,Morris 2' Running Finger Roll Layup (5 PTS),Made Shot,Running Finger Roll Layup Shot,21,0,2,1,2.0,2.0,h
S2324-G1031,1,02:15,MIN,,GSW,,M. Morris,MIN,Morris REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1031,1,01:48,MIN,,GSW,,M. Morris,MIN,MISS Morris 26' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,-116,235,26,1,3.0,0.0,h
S2324-G1031,1,01:17,MIN,,GSW,,M. Morris,MIN,MISS Morris 12' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-114,22,12,1,2.0,0.0,h
S2324-G1031,1,00:31.900000,MIN,,GSW,,M. Morris,MIN,MISS Morris 25' 3PT Jump Shot,Missed Shot,Jump Shot,18,253,25,1,3.0,0.0,h
S2324-G1031,2,04:19,MIN,,GSW,,M. Morris,MIN,Morris REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G1031,2,01:36,MIN,,GSW,,M. Morris,MIN,Morris S.FOUL (P1.T4) (M.Boland),Foul,Shooting,0,0,0,0,,,h
S2324-G1031,2,01:25,MIN,,GSW,,M. Morris,MIN,SUB: Conley FOR Morris,Substitution,,0,0,0,0,,,h
S2324-G1031,4,11:20,MIN,,GSW,,M. Morris,MIN,Morris STEAL (2 STL),,,0,0,0,0,,,h
S2324-G1031,4,11:13,MIN,84.0,GSW,81.0,M. Morris,MIN,Morris 26' 3PT Running Jump Shot (8 PTS) (Conley 6 AST),Made Shot,Running Jump Shot,130,225,26,1,3.0,3.0,h
S2324-G1031,4,07:25,MIN,,GSW,,M. Morris,MIN,Morris BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G1031,4,05:20,MIN,,GSW,,M. Morris,MIN,SUB: Conley FOR Morris,Substitution,,0,0,0,0,,,h
S2324-G0704,1,02:55,DET,,ORL,,M. Morris,DET,Morris REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0704,1,00:01.800000,DET,,ORL,,M. Morris,DET,Morris REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0704,1,00:00.900000,DET,,ORL,,M. Morris,DET,MISS Morris 57' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-116,562,57,1,3.0,0.0,h
S2324-G0704,3,03:25,DET,,ORL,,M. Morris,DET,Morris REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0704,3,03:24,DET,,ORL,,M. Morris,DET,MISS Morris 2' Driving Layup,Missed Shot,Driving Layup Shot,22,6,2,1,2.0,0.0,h
S2324-G0704,3,02:18,DET,,ORL,,M. Morris,DET,Morris REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0704,3,02:11,DET,68.0,ORL,76.0,M. Morris,DET,Morris 2' Driving Layup (2 PTS) (Gallinari 1 AST),Made Shot,Driving Layup Shot,-17,-2,2,1,2.0,2.0,h
S2324-G0704,3,00:58.900000,DET,,ORL,,M. Morris,DET,MISS Morris 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-229,-5,0,1,3.0,0.0,h
S2324-G0704,3,00:08.200000,DET,,ORL,,M. Morris,DET,MISS Morris 14' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-102,89,14,1,2.0,0.0,h
S2324-G0704,3,00:05.500000,DET,,ORL,,M. Morris,DET,SUB: Cunningham FOR Morris,Substitution,,0,0,0,0,,,h
