game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0358,1,03:07,SAC,,WAS,,M. Muscala,WAS,Muscala BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G0358,1,02:56,SAC,,WAS,,M. Muscala,WAS,Muscala P.FOUL (P1.T3) (S.Corbin),Foul,Personal,0,0,0,0,,,v
S2324-G0358,1,02:27,SAC,,WAS,,M. Muscala,WAS,Muscala REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0358,1,01:01,SAC,,WAS,,M. Muscala,WAS,Muscala OFF.Foul (P2) (S.Corbin),Foul,Offensive,0,0,0,0,,,v
S2324-G0358,1,01:01,SAC,,WAS,,M. Muscala,WAS,Muscala Offensive Foul Turnover (P1.T3),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2324-G0358,1,00:42.700000,SAC,,WAS,,M. Muscala,WAS,Muscala REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0358,2,10:53,SAC,,WAS,,M. Muscala,WAS,Muscala REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0358,2,09:50,SAC,33.0,WAS,36.0,M. Muscala,WAS,Muscala 17' Jump Shot (2 PTS) (Poole 1 AST),Made Shot,Jump Shot,-44,169,17,1,2.0,2.0,v
S2324-G0358,2,09:18,SAC,,WAS,,M. Muscala,WAS,MISS Muscala 4' Layup,Missed Shot,Layup Shot,33,21,4,1,2.0,0.0,v
S2324-G0358,2,08:11,SAC,,WAS,,M. Muscala,WAS,Muscala Bad Pass Turnover (P2.T6),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0358,2,07:23,SAC,37.0,WAS,39.0,M. Muscala,WAS,Muscala Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0358,2,07:23,SAC,37.0,WAS,40.0,M. Muscala,WAS,Muscala Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G0358,2,07:05,SAC,,WAS,,M. Muscala,WAS,SUB: Gafford FOR Muscala,Substitution,,0,0,0,0,,,v
S2324-G0358,3,04:19,SAC,,WAS,,M. Muscala,WAS,Muscala STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0358,3,02:31,SAC,,WAS,,M. Muscala,WAS,Muscala S.FOUL (P3.PN) (S.Corbin),Foul,Shooting,0,0,0,0,,,v
S2324-G0358,3,01:00,SAC,,WAS,,M. Muscala,WAS,Muscala REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2324-G0358,4,09:34,SAC,,WAS,,M. Muscala,WAS,Muscala REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2324-G0358,4,08:30,SAC,120.0,WAS,102.0,M. Muscala,WAS,Muscala 26' 3PT Jump Shot (7 PTS) (Poole 2 AST),Made Shot,Jump Shot,-191,175,26,1,3.0,3.0,v
S2324-G0358,4,08:12,SAC,,WAS,,M. Muscala,WAS,SUB: Gafford FOR Muscala,Substitution,,0,0,0,0,,,v
S2324-G0358,4,03:38,SAC,136.0,WAS,117.0,M. Muscala,WAS,Muscala Free Throw 1 of 2 (8 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0358,4,03:38,SAC,136.0,WAS,118.0,M. Muscala,WAS,Muscala Free Throw 2 of 2 (9 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G0358,4,02:31,SAC,139.0,WAS,121.0,M. Muscala,WAS,Muscala Free Throw 1 of 2 (10 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0358,4,02:31,SAC,139.0,WAS,122.0,M. Muscala,WAS,Muscala Free Throw 2 of 2 (11 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G0358,4,01:53,SAC,,WAS,,M. Muscala,WAS,Muscala REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2324-G0749,1,08:22,LAC,,DET,,M. Muscala,DET,MISS Muscala 25' 3PT Jump Shot,Missed Shot,Jump Shot,31,251,25,1,3.0,0.0,v
S2324-G0749,1,07:11,LAC,,DET,,M. Muscala,DET,SUB: Fontecchio FOR Muscala,Substitution,,0,0,0,0,,,v
S2324-G0749,3,10:01,LAC,,DET,,M. Muscala,DET,Muscala REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0749,3,07:10,LAC,,DET,,M. Muscala,DET,MISS Muscala 26' 3PT Jump Shot,Missed Shot,Jump Shot,197,176,26,1,3.0,0.0,v
S2324-G0749,3,07:04,LAC,,DET,,M. Muscala,DET,Muscala S.FOUL (P1.PN) (M.Myers),Foul,Shooting,0,0,0,0,,,v
S2324-G0749,3,07:04,LAC,,DET,,M. Muscala,DET,SUB: Fontecchio FOR Muscala,Substitution,,0,0,0,0,,,v
S2324-G0732,1,07:58,SAC,,DET,,M. Muscala,DET,MISS Muscala 25' 3PT Jump Shot,Missed Shot,Jump Shot,77,236,25,1,3.0,0.0,v
S2324-G0732,1,05:50,SAC,,DET,,M. Muscala,DET,SUB: Sasser FOR Muscala,Substitution,,0,0,0,0,,,v
S2324-G0732,2,06:04,SAC,,DET,,M. Muscala,DET,Muscala REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0732,2,05:13,SAC,,DET,,M. Muscala,DET,MISS Muscala 3' Dunk,Missed Shot,Dunk Shot,23,11,3,1,2.0,0.0,v
S2324-G0732,2,04:25,SAC,,DET,,M. Muscala,DET,MISS Muscala 3' Layup,Missed Shot,Layup Shot,-21,22,3,1,2.0,0.0,v
S2324-G0732,2,04:11,SAC,,DET,,M. Muscala,DET,Muscala S.FOUL (P1.T4) (M.Ervin),Foul,Shooting,0,0,0,0,,,v
S2324-G0732,2,03:09,SAC,,DET,,M. Muscala,DET,Muscala REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
