game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0030,1,00:13,CLE,,DET,,M. Sasser,DET,MISS Sasser 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-152,210,26,1,3.0,0.0,v
S2324-G0030,2,10:01,CLE,40.0,DET,30.0,M. Sasser,DET,Sasser 16' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,-136,88,16,1,2.0,2.0,v
S2324-G0030,2,08:18,CLE,,DET,,M. Sasser,DET,MISS Sasser 20' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-146,136,20,1,2.0,0.0,v
S2324-G0030,2,08:04,CLE,,DET,,M. Sasser,DET,SUB: Thompson FOR Sasser,Substitution,,0,0,0,0,,,v
S2324-G0030,3,00:30.700000,CLE,,DET,,M. Sasser,DET,MISS Sasser 14' Pullup Jump Shot,Missed Shot,Pullup Jump shot,87,104,14,1,2.0,0.0,v
S2324-G0030,3,00:00,CLE,,DET,,M. Sasser,DET,MISS Sasser 29' 3PT Jump Shot,Missed Shot,Jump Shot,233,169,29,1,3.0,0.0,v
S2324-G0030,4,10:32,CLE,,DET,,M. Sasser,DET,Sasser P.FOUL (P1.T2) (J.Schroeder),Foul,Personal,0,0,0,0,,,v
S2324-G0030,4,09:07,CLE,,DET,,M. Sasser,DET,MISS Sasser 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,230,43,0,1,3.0,0.0,v
S2324-G0030,4,08:21,CLE,,DET,,M. Sasser,DET,SUB: Hayes FOR Sasser,Substitution,,0,0,0,0,,,v
S2324-G0030,4,01:02,CLE,108.0,DET,96.0,M. Sasser,DET,Sasser 1' Running Layup (4 PTS),Made Shot,Running Layup Shot,2,8,1,1,2.0,2.0,v
S2324-G0030,4,00:38.900000,CLE,108.0,DET,97.0,M. Sasser,DET,Sasser Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0030,4,00:38.900000,CLE,108.0,DET,98.0,M. Sasser,DET,Sasser Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G0933,1,03:34,DET,,CHA,,M. Sasser,DET,Sasser REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0933,1,01:05,DET,34.0,CHA,21.0,M. Sasser,DET,Sasser 13' Driving Floating Jump Shot (2 PTS) (Wiseman 1 AST),Made Shot,Driving Floating Jump Shot,-22,130,13,1,2.0,2.0,h
S2324-G0933,1,00:43,DET,,CHA,,M. Sasser,DET,Sasser S.FOUL (P1.T2) (R.Acosta),Foul,Shooting,0,0,0,0,,,h
S2324-G0933,1,00:33.900000,DET,,CHA,,M. Sasser,DET,Sasser Lost Ball Turnover (P1.T3),Turnover,Lost Ball,0,0,0,0,,,h
S2324-G0933,2,09:55,DET,39.0,CHA,29.0,M. Sasser,DET,Sasser 7' Pullup Jump Shot (4 PTS),Made Shot,Pullup Jump shot,1,73,7,1,2.0,2.0,h
S2324-G0933,2,07:42,DET,46.0,CHA,31.0,M. Sasser,DET,Sasser 24' 3PT Jump Shot (7 PTS) (Grimes 3 AST),Made Shot,Jump Shot,-228,71,24,1,3.0,3.0,h
S2324-G0933,2,06:10,DET,,CHA,,M. Sasser,DET,Sasser Out of Bounds Lost Ball Turnover (P2.T6),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2324-G0933,2,05:18,DET,,CHA,,M. Sasser,DET,SUB: Fontecchio FOR Sasser,Substitution,,0,0,0,0,,,h
S2324-G0933,3,02:48,DET,,CHA,,M. Sasser,DET,Sasser REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0933,3,00:54.800000,DET,82.0,CHA,65.0,M. Sasser,DET,Sasser Free Throw 1 of 2 (8 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0933,3,00:54.800000,DET,83.0,CHA,65.0,M. Sasser,DET,Sasser Free Throw 2 of 2 (9 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0933,3,00:29.800000,DET,,CHA,,M. Sasser,DET,Sasser Bad Pass Turnover (P3.T11),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G0933,4,09:51,DET,,CHA,,M. Sasser,DET,MISS Sasser 10' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,-26,100,10,1,2.0,0.0,h
S2324-G0933,4,06:41,DET,,CHA,,M. Sasser,DET,SUB: Stewart FOR Sasser,Substitution,,0,0,0,0,,,h
S2324-G0749,1,02:37,LAC,,DET,,M. Sasser,DET,Sasser S.FOUL (P1.T1) (P.Fraher),Foul,Shooting,0,0,0,0,,,v
S2324-G0749,1,01:36,LAC,,DET,,M. Sasser,DET,Sasser Bad Pass Turnover (P1.T4),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0749,2,11:29,LAC,,DET,,M. Sasser,DET,Sasser Bad Pass Turnover (P2.T5),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0749,2,10:24,LAC,,DET,,M. Sasser,DET,Sasser REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0749,2,09:24,LAC,,DET,,M. Sasser,DET,Sasser STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0749,2,09:20,LAC,35.0,DET,38.0,M. Sasser,DET,Sasser 1' Running Reverse Layup (2 PTS),Made Shot,Running Reverse Layup Shot,1,11,1,1,2.0,2.0,v
S2324-G0749,2,08:39,LAC,37.0,DET,41.0,M. Sasser,DET,Sasser 26' 3PT Pullup Jump Shot (5 PTS),Made Shot,Pullup Jump shot,124,227,26,1,3.0,3.0,v
S2324-G0749,2,08:20,LAC,,DET,,M. Sasser,DET,Sasser S.FOUL (P2.T1) (P.Fraher),Foul,Shooting,0,0,0,0,,,v
S2324-G0749,2,07:32,LAC,,DET,,M. Sasser,DET,Sasser P.FOUL (P3.T2) (P.Fraher),Foul,Personal,0,0,0,0,,,v
S2324-G0749,2,07:32,LAC,,DET,,M. Sasser,DET,SUB: Ivey FOR Sasser,Substitution,,0,0,0,0,,,v
S2324-G0749,3,01:02,LAC,,DET,,M. Sasser,DET,Sasser REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0749,3,00:53.300000,LAC,,DET,,M. Sasser,DET,MISS Sasser 20' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-75,180,20,1,2.0,0.0,v
S2324-G0749,4,10:07,LAC,,DET,,M. Sasser,DET,MISS Sasser 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-6,265,27,1,3.0,0.0,v
S2324-G0749,4,09:34,LAC,,DET,,M. Sasser,DET,Sasser S.FOUL (P4.T1) (P.Fraher),Foul,Shooting,0,0,0,0,,,v
S2324-G0749,4,08:31,LAC,,DET,,M. Sasser,DET,SUB: Thompson FOR Sasser,Substitution,,0,0,0,0,,,v
S2324-G0088,3,02:13,DET,79.0,CHI,71.0,M. Sasser,DET,Sasser 20' Pullup Jump Shot (2 PTS) (Harris 1 AST),Made Shot,Pullup Jump shot,-69,184,20,1,2.0,2.0,h
S2324-G0088,3,01:49,DET,,CHI,,M. Sasser,DET,Sasser REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0088,3,00:18.500000,DET,,CHI,,M. Sasser,DET,Sasser REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
