game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0899,4,02:42,GSW,,MIL,,M. Beauchamp,MIL,MISS Beauchamp 4' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,-34,26,4,1,2.0,0.0,v
S2324-G0899,4,01:47,GSW,,MIL,,M. Beauchamp,MIL,MISS Beauchamp 4' Running Layup,Missed Shot,Running Layup Shot,25,27,4,1,2.0,0.0,v
S2324-G0899,4,00:52.700000,GSW,,MIL,,M. Beauchamp,MIL,MISS Beauchamp 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-191,172,26,1,3.0,0.0,v
S2324-G0572,2,08:08,CLE,,MIL,,M. Beauchamp,MIL,Beauchamp REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G0572,2,08:08,CLE,,MIL,,M. Beauchamp,MIL,MISS Beauchamp Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,v
S2324-G0572,2,07:59,CLE,,MIL,,M. Beauchamp,MIL,SUB: Beasley FOR Beauchamp,Substitution,,0,0,0,0,,,v
S2324-G0572,3,07:56,CLE,,MIL,,M. Beauchamp,MIL,Beauchamp REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0572,3,05:53,CLE,,MIL,,M. Beauchamp,MIL,Beauchamp Bad Pass Turnover (P1.T8),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0572,3,04:21,CLE,,MIL,,M. Beauchamp,MIL,MISS Beauchamp 11' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-1,105,11,1,2.0,0.0,v
S2324-G0572,3,02:37,CLE,,MIL,,M. Beauchamp,MIL,Beauchamp REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0572,3,01:17,CLE,,MIL,,M. Beauchamp,MIL,SUB: Green FOR Beauchamp,Substitution,,0,0,0,0,,,v
S2324-G0572,4,05:20,CLE,,MIL,,M. Beauchamp,MIL,MISS Beauchamp 16' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-25,157,16,1,2.0,0.0,v
S2324-G0572,4,01:01,CLE,,MIL,,M. Beauchamp,MIL,Beauchamp L.B.FOUL (P1.T4) (D.Taylor),Foul,Loose Ball,0,0,0,0,,,v
S2324-G0773,4,06:18,MIL,,MIA,,M. Beauchamp,MIL,Beauchamp Traveling Turnover (P1.T16),Turnover,Traveling,0,0,0,0,,,h
S2324-G0773,4,05:38,MIL,,MIA,,M. Beauchamp,MIL,Beauchamp REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G0773,4,05:34,MIL,,MIA,,M. Beauchamp,MIL,MISS Beauchamp Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2324-G0773,4,05:34,MIL,88.0,MIA,117.0,M. Beauchamp,MIL,Beauchamp Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0773,4,04:37,MIL,,MIA,,M. Beauchamp,MIL,MISS Beauchamp 25' 3PT Jump Shot,Missed Shot,Jump Shot,-234,86,25,1,3.0,0.0,h
S2324-G0773,4,04:17,MIL,89.0,MIA,117.0,M. Beauchamp,MIL,Beauchamp Free Throw 1 of 2 (2 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0773,4,04:17,MIL,90.0,MIA,117.0,M. Beauchamp,MIL,Beauchamp Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
