game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0071,1,08:17,MEM,10.0,NOP,11.0,M. Williams,,Instant Replay1st Period (8:21 PM EST),Instant Replay,Support Ruling,0,0,0,0,,,
S2324-G0122,1,10:35,HOU,,CHA,,M. Williams,CHA,Williams STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0122,1,03:31,HOU,,CHA,,M. Williams,CHA,SUB: Richards FOR Williams,Substitution,,0,0,0,0,,,v
S2324-G0122,2,05:44,HOU,,CHA,,M. Williams,CHA,Williams REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0122,2,04:47,HOU,,CHA,,M. Williams,CHA,Williams REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0122,2,04:47,HOU,,CHA,,M. Williams,CHA,MISS Williams Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,v
S2324-G0122,2,04:47,HOU,53.0,CHA,42.0,M. Williams,CHA,Williams Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0122,2,04:47,HOU,,CHA,,M. Williams,CHA,MISS Williams Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2324-G0122,2,03:59,HOU,55.0,CHA,44.0,M. Williams,CHA,Williams 2' Cutting Layup Shot (3 PTS) (Hayward 2 AST),Made Shot,Cutting Layup Shot,-17,16,2,1,2.0,2.0,v
S2324-G0122,2,03:16,HOU,,CHA,,M. Williams,CHA,Williams BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G0122,2,02:41,HOU,,CHA,,M. Williams,CHA,MISS Williams Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2324-G0122,2,02:41,HOU,58.0,CHA,49.0,M. Williams,CHA,Williams Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G0122,2,02:28,HOU,,CHA,,M. Williams,CHA,Williams STEAL (2 STL),,,0,0,0,0,,,v
S2324-G0122,2,01:33,HOU,,CHA,,M. Williams,CHA,Williams BLOCK (2 BLK),,,0,0,0,0,,,v
S2324-G0122,2,01:30,HOU,,CHA,,M. Williams,CHA,Williams REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0122,2,01:23,HOU,,CHA,,M. Williams,CHA,Williams REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0122,2,01:22,HOU,58.0,CHA,56.0,M. Williams,CHA,Williams Tip Dunk Shot (6 PTS),Made Shot,Tip Dunk Shot,0,0,0,1,2.0,2.0,v
S2324-G0122,3,08:12,HOU,,CHA,,M. Williams,CHA,Williams 3 Second Violation Turnover (P1.T12),Turnover,3 Second Violation,0,0,0,0,,,v
S2324-G0122,3,06:16,HOU,,CHA,,M. Williams,CHA,Williams REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0122,3,04:11,HOU,,CHA,,M. Williams,CHA,SUB: Richards FOR Williams,Substitution,,0,0,0,0,,,v
S2324-G0122,4,04:55,HOU,,CHA,,M. Williams,CHA,Williams REBOUND (Off:3 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0122,4,04:52,HOU,108.0,CHA,97.0,M. Williams,CHA,Williams Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0122,4,04:52,HOU,,CHA,,M. Williams,CHA,MISS Williams Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2324-G0122,4,04:15,HOU,110.0,CHA,102.0,M. Williams,CHA,Williams 2' Alley Oop Dunk (9 PTS) (Rozier 6 AST),Made Shot,Alley Oop Dunk Shot,16,15,2,1,2.0,2.0,v
S2324-G0122,4,04:00,HOU,,CHA,,M. Williams,CHA,SUB: Washington FOR Williams,Substitution,,0,0,0,0,,,v
S2324-G0266,1,11:22,BKN,,CHA,,M. Williams,CHA,Williams REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0266,1,10:33,BKN,,CHA,,M. Williams,CHA,Williams REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0266,1,10:06,BKN,,CHA,,M. Williams,CHA,Williams REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0266,1,08:53,BKN,4.0,CHA,11.0,M. Williams,CHA,Williams 2' Cutting Layup Shot (2 PTS) (McGowens 1 AST),Made Shot,Cutting Layup Shot,10,13,2,1,2.0,2.0,v
S2324-G0266,1,06:05,BKN,,CHA,,M. Williams,CHA,Williams REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0266,1,06:05,BKN,,CHA,,M. Williams,CHA,MISS Williams 4' Tip Layup Shot,Missed Shot,Tip Layup Shot,29,33,4,1,2.0,0.0,v
S2324-G0266,1,06:05,BKN,,CHA,,M. Williams,CHA,Williams REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0266,1,06:05,BKN,17.0,CHA,15.0,M. Williams,CHA,Williams 2' Putback Dunk (4 PTS),Made Shot,Putback Dunk Shot,-2,18,2,1,2.0,2.0,v
S2324-G0266,1,05:00,BKN,21.0,CHA,21.0,M. Williams,CHA,Williams 2' Dunk (6 PTS) (McGowens 2 AST),Made Shot,Dunk Shot,2,22,2,1,2.0,2.0,v
S2324-G0266,1,04:34,BKN,23.0,CHA,23.0,M. Williams,CHA,Williams 7' Floating Jump Shot (8 PTS) (Hayward 2 AST),Made Shot,Floating Jump shot,43,55,7,1,2.0,2.0,v
S2324-G0266,1,03:17,BKN,,CHA,,M. Williams,CHA,SUB: Bridges FOR Williams,Substitution,,0,0,0,0,,,v
S2324-G0266,2,06:27,BKN,,CHA,,M. Williams,CHA,Williams Violation:Kicked Ball (S.Corbin),Violation,Kicked Ball,0,0,0,0,,,v
