game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0270,1,04:27,MIN,,UTA,,N. Reid,MIN,MISS Reid 25' 3PT Jump Shot,Missed Shot,Jump Shot,5,254,25,1,3.0,0.0,h
S2324-G0270,1,01:45,MIN,16.0,UTA,19.0,N. Reid,MIN,Reid 2' Running Dunk (2 PTS) (Milton 1 AST),Made Shot,Running Dunk Shot,6,20,2,1,2.0,2.0,h
S2324-G0270,1,00:57,MIN,,UTA,,N. Reid,MIN,Reid REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0270,1,00:55,MIN,20.0,UTA,21.0,N. Reid,MIN,Reid 1' Running Finger Roll Layup (4 PTS) (Anderson 2 AST),Made Shot,Running Finger Roll Layup Shot,-7,-3,1,1,2.0,2.0,h
S2324-G0270,2,09:50,MIN,,UTA,,N. Reid,MIN,MISS Reid 25' 3PT Jump Shot,Missed Shot,Jump Shot,119,222,25,1,3.0,0.0,h
S2324-G0270,2,08:09,MIN,,UTA,,N. Reid,MIN,Reid STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0270,2,07:32,MIN,,UTA,,N. Reid,MIN,Reid BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G0270,2,07:12,MIN,,UTA,,N. Reid,MIN,MISS Reid 13' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,58,120,13,1,2.0,0.0,h
S2324-G0270,2,06:45,MIN,,UTA,,N. Reid,MIN,SUB: Gobert FOR Reid,Substitution,,0,0,0,0,,,h
S2324-G0270,2,00:39.700000,MIN,,UTA,,N. Reid,MIN,MISS Reid 3PT Running Jump Shot,Missed Shot,Running Jump Shot,232,8,0,1,3.0,0.0,h
S2324-G0270,2,00:28.500000,MIN,,UTA,,N. Reid,MIN,Reid S.FOUL (P1.T3) (J.Ralls),Foul,Shooting,0,0,0,0,,,h
S2324-G0270,3,02:27,MIN,,UTA,,N. Reid,MIN,Reid REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0270,3,02:00,MIN,79.0,UTA,59.0,N. Reid,MIN,Reid 1' Running Layup (6 PTS) (Milton 2 AST),Made Shot,Running Layup Shot,-1,10,1,1,2.0,2.0,h
S2324-G0270,4,07:33,MIN,,UTA,,N. Reid,MIN,MISS Reid 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-27,92,10,1,2.0,0.0,h
S2324-G0270,4,07:01,MIN,,UTA,,N. Reid,MIN,Reid P.FOUL (P2.T2) (J.Ralls),Foul,Personal,0,0,0,0,,,h
S2324-G0270,4,06:45,MIN,,UTA,,N. Reid,MIN,Reid REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0270,4,06:15,MIN,,UTA,,N. Reid,MIN,MISS Reid 24' 3PT Jump Shot,Missed Shot,Jump Shot,-108,218,24,1,3.0,0.0,h
S2324-G0270,4,04:57,MIN,,UTA,,N. Reid,MIN,SUB: Brown Jr. FOR Reid,Substitution,,0,0,0,0,,,h
S2324-G0620,1,03:50,WAS,,MIN,,N. Reid,MIN,MISS Reid 8' Turnaround Bank Hook Shot,Missed Shot,Turnaround Bank Hook Shot,61,48,8,1,2.0,0.0,v
S2324-G0620,1,02:13,WAS,,MIN,,N. Reid,MIN,MISS Reid 3' Driving Hook Shot,Missed Shot,Driving Hook Shot,20,24,3,1,2.0,0.0,v
S2324-G0620,1,01:43,WAS,,MIN,,N. Reid,MIN,Reid STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0620,1,00:27.700000,WAS,,MIN,,N. Reid,MIN,Reid REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0620,2,11:02,WAS,26.0,MIN,32.0,N. Reid,MIN,Reid 1' Running Dunk (2 PTS) (Anderson 2 AST),Made Shot,Running Dunk Shot,-6,11,1,1,2.0,2.0,v
S2324-G0620,2,09:41,WAS,,MIN,,N. Reid,MIN,Reid REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0620,2,09:03,WAS,,MIN,,N. Reid,MIN,MISS Reid 24' 3PT Jump Shot,Missed Shot,Jump Shot,-239,-4,24,1,3.0,0.0,v
S2324-G0620,2,07:09,WAS,,MIN,,N. Reid,MIN,MISS Reid 5' Driving Layup,Missed Shot,Driving Layup Shot,-43,14,5,1,2.0,0.0,v
S2324-G0620,2,07:02,WAS,,MIN,,N. Reid,MIN,Reid BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G0620,2,06:35,WAS,,MIN,,N. Reid,MIN,SUB: Edwards FOR Reid,Substitution,,0,0,0,0,,,v
S2324-G0620,2,01:14,WAS,,MIN,,N. Reid,MIN,MISS Reid 12' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,51,111,12,1,2.0,0.0,v
S2324-G0620,3,03:31,WAS,73.0,MIN,80.0,N. Reid,MIN,Reid 3PT Jump Shot (5 PTS) (Anderson 4 AST),Made Shot,Jump Shot,229,-8,0,1,3.0,3.0,v
S2324-G0620,4,11:35,WAS,,MIN,,N. Reid,MIN,MISS Reid 6' Turnaround Bank Hook Shot,Missed Shot,Turnaround Bank Hook Shot,-54,17,6,1,2.0,0.0,v
