game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0933,1,02:30,DET,,CHA,,N. Smith Jr.,CHA,MISS Smith Jr. 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-69,68,10,1,2.0,0.0,v
S2324-G0933,1,00:00.300000,DET,,CHA,,N. Smith Jr.,CHA,MISS Smith Jr. 57' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,163,542,57,1,3.0,0.0,v
S2324-G0933,2,10:51,DET,,CHA,,N. Smith Jr.,CHA,Smith Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0933,2,10:24,DET,,CHA,,N. Smith Jr.,CHA,Smith Jr. REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0933,2,09:25,DET,,CHA,,N. Smith Jr.,CHA,Smith Jr. Bad Pass Turnover (P1.T6),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0933,2,08:37,DET,,CHA,,N. Smith Jr.,CHA,Smith Jr. S.FOUL (P1.T1) (M.Myers),Foul,Shooting,0,0,0,0,,,v
S2324-G0933,2,08:37,DET,,CHA,,N. Smith Jr.,CHA,SUB: Bridges FOR Smith Jr.,Substitution,,0,0,0,0,,,v
S2324-G0933,3,01:08,DET,,CHA,,N. Smith Jr.,CHA,MISS Smith Jr. 3PT Jump Shot,Missed Shot,Jump Shot,223,19,0,1,3.0,0.0,v
S2324-G0933,3,00:54.800000,DET,,CHA,,N. Smith Jr.,CHA,Smith Jr. P.FOUL (P2.PN) (R.Acosta),Foul,Personal,0,0,0,0,,,v
S2324-G0933,4,09:38,DET,,CHA,,N. Smith Jr.,CHA,MISS Smith Jr. 9' Pullup Jump Shot,Missed Shot,Pullup Jump shot,26,90,9,1,2.0,0.0,v
S2324-G0933,4,07:48,DET,,CHA,,N. Smith Jr.,CHA,SUB: Pokusevski FOR Smith Jr.,Substitution,,0,0,0,0,,,v
S2324-G0335,2,09:58,CHA,,PHI,,N. Smith Jr.,CHA,MISS Smith Jr. 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-94,252,27,1,3.0,0.0,h
S2324-G0335,2,06:38,CHA,26.0,PHI,48.0,N. Smith Jr.,CHA,Smith Jr. 2' Cutting Layup Shot (2 PTS) (Smith 1 AST),Made Shot,Cutting Layup Shot,2,20,2,1,2.0,2.0,h
S2324-G0335,2,05:34,CHA,,PHI,,N. Smith Jr.,CHA,Smith Jr. REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G0335,2,04:50,CHA,32.0,PHI,50.0,N. Smith Jr.,CHA,Smith Jr. 26' 3PT Jump Shot (5 PTS) (Smith 2 AST),Made Shot,Jump Shot,-147,217,26,1,3.0,3.0,h
S2324-G0335,4,10:47,CHA,,PHI,,N. Smith Jr.,CHA,MISS Smith Jr. 26' 3PT Jump Shot,Missed Shot,Jump Shot,-10,262,26,1,3.0,0.0,h
S2324-G0335,4,10:05,CHA,,PHI,,N. Smith Jr.,CHA,MISS Smith Jr. 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-131,221,26,1,3.0,0.0,h
S2324-G0335,4,05:45,CHA,,PHI,,N. Smith Jr.,CHA,MISS Smith Jr. 11' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,113,6,11,1,2.0,0.0,h
S2324-G0335,4,03:34,CHA,,PHI,,N. Smith Jr.,CHA,Smith Jr. S.FOUL (P1.T2) (M.Kallio),Foul,Shooting,0,0,0,0,,,h
