game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0421,2,11:10,BOS,,DET,,O. Brissett,BOS,Brissett REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G0421,2,08:44,BOS,,DET,,O. Brissett,BOS,SUB: Porzingis FOR Brissett,Substitution,,0,0,0,0,,,h
S2324-G0362,1,06:41,GSW,12.0,BOS,16.0,O. Brissett,BOS,Brissett 4' Driving Dunk (2 PTS) (Brown 1 AST),Made Shot,Driving Dunk Shot,13,39,4,1,2.0,2.0,v
S2324-G0362,1,06:27,GSW,,BOS,,O. Brissett,BOS,Brissett STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0362,1,06:23,GSW,12.0,BOS,18.0,O. Brissett,BOS,Brissett 4' Running Dunk (4 PTS),Made Shot,Running Dunk Shot,5,44,4,1,2.0,2.0,v
S2324-G0362,1,05:04,GSW,16.0,BOS,23.0,O. Brissett,BOS,Brissett 5' Running Layup (6 PTS) (Brown 2 AST),Made Shot,Running Layup Shot,39,34,5,1,2.0,2.0,v
S2324-G0362,1,02:19,GSW,,BOS,,O. Brissett,BOS,SUB: Mykhailiuk FOR Brissett,Substitution,,0,0,0,0,,,v
S2324-G0362,3,03:29,GSW,,BOS,,O. Brissett,BOS,SUB: Queta FOR Brissett,Substitution,,0,0,0,0,,,v
S2324-G0118,2,08:16,BOS,,IND,,O. Brissett,BOS,Brissett STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0118,2,03:53,BOS,,IND,,O. Brissett,BOS,MISS Brissett 1' Running Layup,Missed Shot,Running Layup Shot,11,-4,1,1,2.0,0.0,h
S2324-G0118,2,03:30,BOS,,IND,,O. Brissett,BOS,SUB: Tatum FOR Brissett,Substitution,,0,0,0,0,,,h
S2324-G0118,3,01:11,BOS,,IND,,O. Brissett,BOS,Brissett STEAL (2 STL),,,0,0,0,0,,,h
S2324-G0118,4,10:54,BOS,,IND,,O. Brissett,BOS,Brissett REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0118,4,07:50,BOS,,IND,,O. Brissett,BOS,MISS Brissett 26' 3PT Jump Shot,Missed Shot,Jump Shot,-210,156,26,1,3.0,0.0,h
S2324-G0118,4,06:51,BOS,,IND,,O. Brissett,BOS,MISS Brissett 5' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,-34,35,5,1,2.0,0.0,h
S2324-G0118,4,04:29,BOS,140.0,IND,90.0,O. Brissett,BOS,Brissett Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
