game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0724,1,02:47,UTA,23.0,OKC,21.0,O. Dieng,OKC,Dieng 3PT Jump Shot (3 PTS) (Jay. Williams 1 AST),Made Shot,Jump Shot,-232,-4,0,1,3.0,3.0,v
S2324-G0724,1,01:43,UTA,,OKC,,O. Dieng,OKC,Dieng REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0724,1,00:41,UTA,,OKC,,O. Dieng,OKC,Dieng STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0724,1,00:36.700000,UTA,28.0,OKC,31.0,O. Dieng,OKC,Dieng 11' Driving Floating Jump Shot (5 PTS),Made Shot,Driving Floating Jump Shot,67,84,11,1,2.0,2.0,v
S2324-G0724,2,11:35,UTA,,OKC,,O. Dieng,OKC,Dieng REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0724,2,11:07,UTA,28.0,OKC,36.0,O. Dieng,OKC,Dieng 25' 3PT Jump Shot (8 PTS) (Jal. Williams 1 AST),Made Shot,Jump Shot,-112,221,25,1,3.0,3.0,v
S2324-G0724,2,09:55,UTA,,OKC,,O. Dieng,OKC,Dieng BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G0724,2,08:06,UTA,,OKC,,O. Dieng,OKC,SUB: Jay. Williams FOR Dieng,Substitution,,0,0,0,0,,,v
S2324-G0724,3,02:12,UTA,,OKC,,O. Dieng,OKC,SUB: Holmgren FOR Dieng,Substitution,,0,0,0,0,,,v
S2324-G0568,1,02:08,LAC,,OKC,,O. Dieng,OKC,MISS Dieng 27' 3PT Jump Shot,Missed Shot,Jump Shot,-110,248,27,1,3.0,0.0,v
S2324-G0568,1,01:14,LAC,,OKC,,O. Dieng,OKC,Dieng REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0568,1,00:29.300000,LAC,,OKC,,O. Dieng,OKC,SUB: Wiggins FOR Dieng,Substitution,,0,0,0,0,,,v
S2324-G0568,4,00:31.900000,LAC,,OKC,,O. Dieng,OKC,Dieng Bad Pass Turnover (P1.T12),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0529,1,03:10,OKC,,POR,,O. Dieng,OKC,Dieng P.FOUL (P1.T1) (C.Blair),Foul,Personal,0,0,0,0,,,h
