game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0533,2,10:38,ATL,,IND,,P. Mills,ATL,Mills S.FOUL (P1.T2) (S.Foster),Foul,Shooting,0,0,0,0,,,h
S2324-G0533,2,06:12,ATL,,IND,,P. Mills,ATL,MISS Mills 26' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,-142,214,26,1,3.0,0.0,h
S2324-G0533,2,06:09,ATL,,IND,,P. Mills,ATL,Mills REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G0533,2,05:55,ATL,,IND,,P. Mills,ATL,SUB: Young FOR Mills,Substitution,,0,0,0,0,,,h
S2324-G0533,4,10:48,ATL,86.0,IND,102.0,P. Mills,ATL,Mills 2' Driving Finger Roll Layup (2 PTS) (Young 6 AST),Made Shot,Driving Finger Roll Layup Shot,12,13,2,1,2.0,2.0,h
S2324-G0533,4,08:33,ATL,,IND,,P. Mills,ATL,MISS Mills 5' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-32,36,5,1,2.0,0.0,h
S2324-G0533,4,07:15,ATL,,IND,,P. Mills,ATL,SUB: Johnson FOR Mills,Substitution,,0,0,0,0,,,h
S2324-G0533,4,02:42,ATL,,IND,,P. Mills,ATL,Mills STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0587,1,05:39,MIA,,ATL,,P. Mills,ATL,Mills S.FOUL (P1.T2) (J.Conley),Foul,Shooting,0,0,0,0,,,v
S2324-G0587,1,05:25,MIA,14.0,ATL,18.0,P. Mills,ATL,Mills 25' 3PT Jump Shot (3 PTS) (Murray 3 AST),Made Shot,Jump Shot,-243,55,25,1,3.0,3.0,v
S2324-G0587,1,04:28,MIA,14.0,ATL,22.0,P. Mills,ATL,Mills 24' 3PT Jump Shot (6 PTS) (Mathews 1 AST),Made Shot,Jump Shot,241,6,24,1,3.0,3.0,v
S2324-G0587,1,04:11,MIA,,ATL,,P. Mills,ATL,MISS Mills 3PT Running Jump Shot,Missed Shot,Running Jump Shot,223,2,0,1,3.0,0.0,v
S2324-G0587,1,02:40,MIA,,ATL,,P. Mills,ATL,MISS Mills 27' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-137,236,27,1,3.0,0.0,v
S2324-G0587,1,02:28,MIA,,ATL,,P. Mills,ATL,Mills REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0587,1,02:01,MIA,,ATL,,P. Mills,ATL,SUB: Forrest FOR Mills,Substitution,,0,0,0,0,,,v
S2324-G0587,2,10:03,MIA,,ATL,,P. Mills,ATL,Mills REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0587,2,09:01,MIA,,ATL,,P. Mills,ATL,SUB: Murray FOR Mills,Substitution,,0,0,0,0,,,v
S2324-G0587,3,06:26,MIA,,ATL,,P. Mills,ATL,Mills P.FOUL (P2.T3) (M.Ervin),Foul,Personal,0,0,0,0,,,v
