game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1197,2,09:12,SAS,38.0,DET,23.0,R. Gray,SAS,Gray 8' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,5,84,8,1,2.0,2.0,h
S2324-G1197,2,08:58,SAS,,DET,,R. Gray,SAS,Gray REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1197,2,08:50,SAS,,DET,,R. Gray,SAS,MISS Gray 2' Driving Layup,Missed Shot,Driving Layup Shot,-22,-1,2,1,2.0,0.0,h
S2324-G1197,2,05:56,SAS,,DET,,R. Gray,SAS,MISS Gray 25' 3PT Jump Shot,Missed Shot,Jump Shot,213,127,25,1,3.0,0.0,h
S2324-G1197,2,04:23,SAS,54.0,DET,34.0,R. Gray,SAS,Gray 1' Driving Dunk (4 PTS) (Collins 2 AST),Made Shot,Driving Dunk Shot,-4,9,1,1,2.0,2.0,h
S2324-G1197,2,04:08,SAS,,DET,,R. Gray,SAS,Gray REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G1197,2,04:02,SAS,,DET,,R. Gray,SAS,SUB: Cissoko FOR Gray,Substitution,,0,0,0,0,,,h
S2324-G1197,3,06:16,SAS,,DET,,R. Gray,SAS,Gray REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G1197,3,06:05,SAS,,DET,,R. Gray,SAS,Gray REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G1197,3,06:05,SAS,77.0,DET,46.0,R. Gray,SAS,Gray Tip Layup Shot (6 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2324-G1197,3,00:42.800000,SAS,,DET,,R. Gray,SAS,Gray BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G1197,4,06:51,SAS,107.0,DET,78.0,R. Gray,SAS,Gray 5' Driving Finger Roll Layup (8 PTS),Made Shot,Driving Finger Roll Layup Shot,-4,47,5,1,2.0,2.0,h
S2324-G1197,4,06:17,SAS,,DET,,R. Gray,SAS,MISS Gray 26' 3PT Jump Shot,Missed Shot,Jump Shot,-178,184,26,1,3.0,0.0,h
S2324-G1197,4,05:57,SAS,109.0,DET,80.0,R. Gray,SAS,Gray 1' Cutting Finger Roll Layup Shot (10 PTS) (Wesley 5 AST),Made Shot,Cutting Finger Roll Layup Shot,-12,7,1,1,2.0,2.0,h
S2324-G1197,4,04:34,SAS,,DET,,R. Gray,SAS,MISS Gray 9' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-82,37,9,1,2.0,0.0,h
S2324-G1197,4,01:10,SAS,,DET,,R. Gray,SAS,Gray REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G1163,3,03:14,OKC,90.0,SAS,58.0,R. Gray,SAS,Gray 25' 3PT Jump Shot (3 PTS) (Graham 1 AST),Made Shot,Jump Shot,-157,200,25,1,3.0,3.0,v
S2324-G1163,3,01:32,OKC,,SAS,,R. Gray,SAS,Gray Violation:Kicked Ball (J.DeRosa),Violation,Kicked Ball,0,0,0,0,,,v
S2324-G1163,3,00:47.900000,OKC,,SAS,,R. Gray,SAS,Gray STEAL (1 STL),,,0,0,0,0,,,v
S2324-G1163,4,06:58,OKC,,SAS,,R. Gray,SAS,MISS Gray 24' 3PT Jump Shot,Missed Shot,Jump Shot,-239,33,24,1,3.0,0.0,v
S2324-G1163,4,06:22,OKC,109.0,SAS,71.0,R. Gray,SAS,Gray 26' 3PT Jump Shot (6 PTS) (Cissoko 2 AST),Made Shot,Jump Shot,-168,196,26,1,3.0,3.0,v
S2324-G1163,4,04:44,OKC,112.0,SAS,76.0,R. Gray,SAS,Gray 25' 3PT Jump Shot (9 PTS) (Cissoko 3 AST),Made Shot,Jump Shot,-192,162,25,1,3.0,3.0,v
S2324-G1163,4,03:46,OKC,115.0,SAS,80.0,R. Gray,SAS,Gray 4' Driving Layup (11 PTS) (Duke Jr. 3 AST),Made Shot,Driving Layup Shot,-25,27,4,1,2.0,2.0,v
S2324-G1163,4,02:56,OKC,,SAS,,R. Gray,SAS,MISS Gray 25' 3PT Jump Shot,Missed Shot,Jump Shot,85,235,25,1,3.0,0.0,v
S2324-G1163,4,02:19,OKC,122.0,SAS,82.0,R. Gray,SAS,Gray 7' Driving Layup (13 PTS) (Bouyea 1 AST),Made Shot,Driving Layup Shot,-23,71,7,1,2.0,2.0,v
S2324-G1163,4,01:01,OKC,,SAS,,R. Gray,SAS,MISS Gray 4' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,-7,37,4,1,2.0,0.0,v
S2324-G1151,4,03:38,MEM,,SAS,,R. Gray,SAS,Gray REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G1151,4,02:09,MEM,,SAS,,R. Gray,SAS,Gray REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G1151,4,01:51,MEM,,SAS,,R. Gray,SAS,Gray Bad Pass Turnover (P1.T16),Turnover,Bad Pass,0,0,0,0,,,v
