game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0416,4,03:46,WAS,,TOR,,R. Rollins,WAS,MISS Rollins 5' Finger Roll Layup,Missed Shot,Finger Roll Layup Shot,51,18,5,1,2.0,0.0,h
S2324-G0416,4,02:41,WAS,98.0,TOR,122.0,R. Rollins,WAS,Rollins 14' Pullup Jump Shot (2 PTS) (Omoruyi 2 AST),Made Shot,Pullup Jump shot,-134,28,14,1,2.0,2.0,h
S2324-G0416,4,01:29,WAS,,TOR,,R. Rollins,WAS,MISS Rollins 4' Driving Layup,Missed Shot,Driving Layup Shot,-43,10,4,1,2.0,0.0,h
S2324-G0103,4,10:42,WAS,,BOS,,R. Rollins,WAS,MISS Rollins Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2324-G0103,4,10:42,WAS,78.0,BOS,108.0,R. Rollins,WAS,Rollins Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0103,4,09:27,WAS,,BOS,,R. Rollins,WAS,Rollins Lost Ball Turnover (P1.T14),Turnover,Lost Ball,0,0,0,0,,,h
S2324-G0103,4,05:59,WAS,,BOS,,R. Rollins,WAS,Rollins STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0103,4,05:55,WAS,,BOS,,R. Rollins,WAS,MISS Rollins 10' Running Layup,Missed Shot,Running Layup Shot,6,99,10,1,2.0,0.0,h
S2324-G0103,4,04:53,WAS,,BOS,,R. Rollins,WAS,Rollins STEAL (2 STL),,,0,0,0,0,,,h
S2324-G0103,4,04:50,WAS,93.0,BOS,112.0,R. Rollins,WAS,Rollins Free Throw 1 of 2 (2 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0103,4,04:50,WAS,94.0,BOS,112.0,R. Rollins,WAS,Rollins Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0103,4,04:15,WAS,,BOS,,R. Rollins,WAS,MISS Rollins 13' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-120,35,13,1,2.0,0.0,h
S2324-G0103,4,02:23,WAS,,BOS,,R. Rollins,WAS,Rollins STEAL (3 STL),,,0,0,0,0,,,h
S2324-G0103,4,01:46,WAS,102.0,BOS,120.0,R. Rollins,WAS,Rollins Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0103,4,01:46,WAS,103.0,BOS,120.0,R. Rollins,WAS,Rollins Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
