game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0698,2,08:24,PHI,,BKN,,R. Council IV,PHI,Council IV REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0698,2,07:32,PHI,,BKN,,R. Council IV,PHI,Council IV REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0698,2,06:02,PHI,,BKN,,R. Council IV,PHI,SUB: Bamba FOR Council IV,Substitution,,0,0,0,0,,,h
S2324-G0698,4,08:51,PHI,,BKN,,R. Council IV,PHI,Council IV REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0698,4,06:17,PHI,,BKN,,R. Council IV,PHI,MISS Council IV 4' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,2,41,4,1,2.0,0.0,h
S2324-G0698,4,05:15,PHI,,BKN,,R. Council IV,PHI,Council IV REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G0698,4,03:22,PHI,,BKN,,R. Council IV,PHI,MISS Council IV 3' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,-9,27,3,1,2.0,0.0,h
S2324-G0698,4,03:22,PHI,,BKN,,R. Council IV,PHI,Council IV REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G0698,4,03:22,PHI,107.0,BKN,131.0,R. Council IV,PHI,Council IV Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2324-G0698,4,03:22,PHI,,BKN,,R. Council IV,PHI,MISS Council IV Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,h
S2324-G0698,4,02:52,PHI,110.0,BKN,133.0,R. Council IV,PHI,Council IV 25' 3PT Jump Shot (5 PTS) (Martin 2 AST),Made Shot,Jump Shot,-130,216,25,1,3.0,3.0,h
S2324-G0909,2,05:24,PHI,,NOP,,R. Council IV,PHI,Council IV P.FOUL (P1.T4) (E.Dalen),Foul,Personal,0,0,0,0,,,h
S2324-G0909,2,04:52,PHI,,NOP,,R. Council IV,PHI,MISS Council IV 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-13,97,10,1,2.0,0.0,h
S2324-G0909,2,03:09,PHI,,NOP,,R. Council IV,PHI,Council IV S.FOUL (P2.PN) (C.Kirkland),Foul,Shooting,0,0,0,0,,,h
S2324-G0909,2,02:45,PHI,,NOP,,R. Council IV,PHI,MISS Council IV 27' 3PT Jump Shot,Missed Shot,Jump Shot,43,270,27,1,3.0,0.0,h
S2324-G0909,2,00:06.300000,PHI,34.0,NOP,61.0,R. Council IV,PHI,Council IV 20' Pullup Jump Shot (2 PTS) (Lowry 5 AST),Made Shot,Pullup Jump shot,188,69,20,1,2.0,2.0,h
S2324-G0753,1,05:21,WAS,,PHI,,R. Council IV,PHI,MISS Council IV 24' 3PT Jump Shot,Missed Shot,Jump Shot,224,72,24,1,3.0,0.0,v
S2324-G0753,1,04:35,WAS,19.0,PHI,17.0,R. Council IV,PHI,Council IV Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
