game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1226,1,06:06,POR,,DAL,,S. Henderson,POR,MISS Henderson 14' Pullup Jump Shot,Missed Shot,Pullup Jump shot,138,10,14,1,2.0,0.0,h
S2324-G1226,1,04:26,POR,,DAL,,S. Henderson,POR,Henderson Offensive Charge Foul (P1) (J.Van Duyne),Foul,Offensive Charge,0,0,0,0,,,h
S2324-G1226,1,04:26,POR,,DAL,,S. Henderson,POR,Henderson Offensive Foul Turnover (P1.T3),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2324-G1226,1,03:29,POR,,DAL,,S. Henderson,POR,Henderson Bad Pass Turnover (P2.T5),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G1226,1,02:05,POR,18.0,DAL,28.0,S. Henderson,POR,Henderson 3' Running Finger Roll Layup (2 PTS),Made Shot,Running Finger Roll Layup Shot,-20,18,3,1,2.0,2.0,h
S2324-G1226,1,01:02,POR,,DAL,,S. Henderson,POR,Henderson REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G1226,1,00:59.800000,POR,,DAL,,S. Henderson,POR,MISS Henderson 7' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,-2,70,7,1,2.0,0.0,h
S2324-G1226,1,00:17.300000,POR,22.0,DAL,37.0,S. Henderson,POR,Henderson 8' Driving Floating Jump Shot (4 PTS),Made Shot,Driving Floating Jump Shot,44,64,8,1,2.0,2.0,h
S2324-G1226,1,00:00,POR,,DAL,,S. Henderson,POR,MISS Henderson 33' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,124,301,33,1,3.0,0.0,h
S2324-G1226,2,10:32,POR,,DAL,,S. Henderson,POR,MISS Henderson 27' 3PT Jump Shot,Missed Shot,Jump Shot,54,268,27,1,3.0,0.0,h
S2324-G1226,2,09:45,POR,,DAL,,S. Henderson,POR,MISS Henderson 15' Step Back Jump Shot,Missed Shot,Step Back Jump shot,127,71,15,1,2.0,0.0,h
S2324-G1226,2,08:58,POR,,DAL,,S. Henderson,POR,SUB: Reath FOR Henderson,Substitution,,0,0,0,0,,,h
S2324-G1226,2,04:17,POR,,DAL,,S. Henderson,POR,MISS Henderson 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,148,199,25,1,3.0,0.0,h
S2324-G1226,2,02:33,POR,,DAL,,S. Henderson,POR,MISS Henderson Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2324-G1226,2,02:33,POR,53.0,DAL,60.0,S. Henderson,POR,Henderson Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G1226,2,02:16,POR,55.0,DAL,63.0,S. Henderson,POR,Henderson 16' Pullup Jump Shot (7 PTS),Made Shot,Pullup Jump shot,145,60,16,1,2.0,2.0,h
S2324-G1226,2,01:18,POR,,DAL,,S. Henderson,POR,MISS Henderson 14' Pullup Jump Shot,Missed Shot,Pullup Jump shot,129,54,14,1,2.0,0.0,h
S2324-G1226,2,00:06.500000,POR,,DAL,,S. Henderson,POR,Henderson Bad Pass Turnover (P3.T7),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G1226,3,03:19,POR,,DAL,,S. Henderson,POR,MISS Henderson 15' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-38,145,15,1,2.0,0.0,h
S2324-G1226,3,02:49,POR,,DAL,,S. Henderson,POR,MISS Henderson 3' Driving Layup,Missed Shot,Driving Layup Shot,-21,15,3,1,2.0,0.0,h
S2324-G1226,3,01:34,POR,,DAL,,S. Henderson,POR,Henderson S.FOUL (P2.T4) (J.Van Duyne),Foul,Shooting,0,0,0,0,,,h
S2324-G1226,3,00:54,POR,,DAL,,S. Henderson,POR,MISS Henderson 27' 3PT Jump Shot,Missed Shot,Jump Shot,-80,261,27,1,3.0,0.0,h
