game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1119,2,10:22,CHI,,NYK,,T. Craig,CHI,MISS Craig 25' 3PT Jump Shot,Missed Shot,Jump Shot,-99,229,25,1,3.0,0.0,h
S2324-G1119,2,08:19,CHI,,NYK,,T. Craig,CHI,MISS Craig 2' Running Layup,Missed Shot,Running Layup Shot,13,9,2,1,2.0,0.0,h
S2324-G1119,2,07:59,CHI,,NYK,,T. Craig,CHI,SUB: Caruso FOR Craig,Substitution,,0,0,0,0,,,h
S2324-G1119,3,01:53,CHI,,NYK,,T. Craig,CHI,Craig S.FOUL (P1.PN) (B.Nansel),Foul,Shooting,0,0,0,0,,,h
S2324-G1119,3,01:17,CHI,81.0,NYK,75.0,T. Craig,CHI,Craig 1' Running Layup (2 PTS) (Caruso 4 AST),Made Shot,Running Layup Shot,1,6,1,1,2.0,2.0,h
S2324-G0088,1,05:19,DET,,CHI,,T. Craig,CHI,Craig P.FOUL (P1.T3) (M.Lindsay),Foul,Personal,0,0,0,0,,,v
S2324-G0088,1,01:03,DET,,CHI,,T. Craig,CHI,SUB: Dosunmu FOR Craig,Substitution,,0,0,0,0,,,v
S2324-G0088,1,00:37.900000,DET,,CHI,,T. Craig,CHI,MISS Craig 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-227,83,24,1,3.0,0.0,v
S2324-G0088,1,00:09.300000,DET,,CHI,,T. Craig,CHI,Craig REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0088,2,11:22,DET,,CHI,,T. Craig,CHI,Craig S.FOUL (P2.T1) (N.Sago),Foul,Shooting,0,0,0,0,,,v
S2324-G0088,2,08:44,DET,,CHI,,T. Craig,CHI,MISS Craig 24' 3PT Jump Shot,Missed Shot,Jump Shot,-237,21,24,1,3.0,0.0,v
S2324-G0088,2,07:58,DET,,CHI,,T. Craig,CHI,MISS Craig 7' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,40,55,7,1,2.0,0.0,v
S2324-G0088,2,06:23,DET,,CHI,,T. Craig,CHI,MISS Craig 4' Driving Layup,Missed Shot,Driving Layup Shot,25,31,4,1,2.0,0.0,v
S2324-G0088,2,06:17,DET,,CHI,,T. Craig,CHI,Craig BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G0088,2,06:17,DET,,CHI,,T. Craig,CHI,SUB: Caruso FOR Craig,Substitution,,0,0,0,0,,,v
S2324-G0088,3,01:22,DET,81.0,CHI,73.0,T. Craig,CHI,Craig 3' Driving Layup (2 PTS) (Drummond 2 AST),Made Shot,Driving Layup Shot,-5,32,3,1,2.0,2.0,v
S2324-G0088,3,00:30.900000,DET,,CHI,,T. Craig,CHI,Craig REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0088,4,11:48,DET,,CHI,,T. Craig,CHI,Craig S.FOUL (P3.T1) (N.Sago),Foul,Shooting,0,0,0,0,,,v
S2324-G0088,4,11:25,DET,,CHI,,T. Craig,CHI,Craig REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0088,4,09:29,DET,95.0,CHI,85.0,T. Craig,CHI,Craig 3' Driving Floating Jump Shot (4 PTS),Made Shot,Driving Floating Jump Shot,-1,31,3,1,2.0,2.0,v
S2324-G0088,4,08:42,DET,,CHI,,T. Craig,CHI,MISS Craig 4' Running Layup,Missed Shot,Running Layup Shot,-38,19,4,1,2.0,0.0,v
S2324-G0088,4,05:14,DET,,CHI,,T. Craig,CHI,SUB: Caruso FOR Craig,Substitution,,0,0,0,0,,,v
S2324-G0948,1,02:19,IND,,CHI,,T. Craig,CHI,Craig REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0948,1,01:44,IND,,CHI,,T. Craig,CHI,Craig Step Out of Bounds Turnover (P1.T1),Turnover,Step Out of Bounds Turnover,0,0,0,0,,,v
S2324-G0948,1,01:27,IND,,CHI,,T. Craig,CHI,Craig REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0948,1,01:23,IND,22.0,CHI,28.0,T. Craig,CHI,Craig 28' 3PT Running Jump Shot (3 PTS) (Caruso 2 AST),Made Shot,Running Jump Shot,-42,272,28,1,3.0,3.0,v
S2324-G0948,1,00:53.600000,IND,24.0,CHI,29.0,T. Craig,CHI,Craig Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0948,1,00:53.600000,IND,24.0,CHI,30.0,T. Craig,CHI,Craig Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G0948,2,09:35,IND,,CHI,,T. Craig,CHI,MISS Craig 26' 3PT Jump Shot,Missed Shot,Jump Shot,-23,262,26,1,3.0,0.0,v
S2324-G0948,2,04:10,IND,,CHI,,T. Craig,CHI,SUB: Dosunmu FOR Craig,Substitution,,0,0,0,0,,,v
S2324-G0948,4,08:35,IND,,CHI,,T. Craig,CHI,Craig S.FOUL (P1.T4) (M.Ervin),Foul,Shooting,0,0,0,0,,,v
