game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0987,1,01:37,UTA,,MIN,,T. Warren,MIN,Warren REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G0987,1,01:35,UTA,,MIN,,T. Warren,MIN,Warren Bad Pass Turnover (P1.T7),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0987,1,01:03,UTA,,MIN,,T. Warren,MIN,MISS Warren 13' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-134,15,13,1,2.0,0.0,v
S2324-G0987,3,05:12,UTA,,MIN,,T. Warren,MIN,Warren STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0987,3,04:35,UTA,,MIN,,T. Warren,MIN,MISS Warren 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-213,116,24,1,3.0,0.0,v
S2324-G0987,3,02:53,UTA,,MIN,,T. Warren,MIN,Warren REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0987,3,01:12,UTA,77.0,MIN,83.0,T. Warren,MIN,Warren 12' Jump Shot (2 PTS) (Edwards 6 AST),Made Shot,Jump Shot,47,108,12,1,2.0,2.0,v
S2324-G0944,1,00:53.200000,LAC,,MIN,,T. Warren,MIN,MISS Warren 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-227,73,24,1,3.0,0.0,v
S2324-G0944,4,02:36,LAC,,MIN,,T. Warren,MIN,MISS Warren 11' Floating Jump Shot,Missed Shot,Floating Jump shot,102,46,11,1,2.0,0.0,v
S2324-G0944,4,02:12,LAC,,MIN,,T. Warren,MIN,Warren S.FOUL (P1.T4) (B.Adair),Foul,Shooting,0,0,0,0,,,v
S2324-G0944,4,01:55,LAC,,MIN,,T. Warren,MIN,MISS Warren 3PT Jump Shot,Missed Shot,Jump Shot,232,34,0,1,3.0,0.0,v
S2324-G0944,4,01:44,LAC,96.0,MIN,118.0,T. Warren,MIN,Warren 2' Running Layup (2 PTS) (Minott 1 AST),Made Shot,Running Layup Shot,18,4,2,1,2.0,2.0,v
S2324-G0944,4,01:29,LAC,,MIN,,T. Warren,MIN,Warren OFF.Foul (P2) (J.Van Duyne),Foul,Offensive,0,0,0,0,,,v
S2324-G0944,4,01:29,LAC,,MIN,,T. Warren,MIN,Warren Offensive Foul Turnover (P1.T10),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2324-G0932,1,00:45.100000,LAL,,MIN,,T. Warren,MIN,MISS Warren 24' 3PT Jump Shot,Missed Shot,Jump Shot,229,72,24,1,3.0,0.0,v
S2324-G0932,1,00:36.800000,LAL,,MIN,,T. Warren,MIN,Warren P.FOUL (P1.T2) (J.Williams),Foul,Personal,0,0,0,0,,,v
S2324-G0932,2,09:52,LAL,,MIN,,T. Warren,MIN,Warren S.FOUL (P2.T2) (K.Lane),Foul,Shooting,0,0,0,0,,,v
S2324-G0932,2,09:15,LAL,,MIN,,T. Warren,MIN,Warren Traveling Turnover (P1.T5),Turnover,Traveling,0,0,0,0,,,v
S2324-G0932,2,08:58,LAL,,MIN,,T. Warren,MIN,Warren REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0932,2,08:10,LAL,43.0,MIN,42.0,T. Warren,MIN,Warren 16' Jump Shot (2 PTS) (Reid 2 AST),Made Shot,Jump Shot,-157,41,16,1,2.0,2.0,v
S2324-G0932,2,07:22,LAL,,MIN,,T. Warren,MIN,SUB: Edwards FOR Warren,Substitution,,0,0,0,0,,,v
S2324-G0932,3,06:37,LAL,,MIN,,T. Warren,MIN,Warren REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0932,3,06:26,LAL,83.0,MIN,78.0,T. Warren,MIN,Warren 7' Driving Floating Jump Shot (4 PTS) (Conley 5 AST),Made Shot,Driving Floating Jump Shot,4,69,7,1,2.0,2.0,v
S2324-G0932,3,04:46,LAL,,MIN,,T. Warren,MIN,MISS Warren 12' Step Back Jump Shot,Missed Shot,Step Back Jump shot,43,110,12,1,2.0,0.0,v
S2324-G0932,3,03:39,LAL,,MIN,,T. Warren,MIN,Warren STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0932,3,01:12,LAL,,MIN,,T. Warren,MIN,MISS Warren 9' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,25,89,9,1,2.0,0.0,v
S2324-G0932,4,11:15,LAL,,MIN,,T. Warren,MIN,Warren REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0932,4,11:14,LAL,,MIN,,T. Warren,MIN,MISS Warren 3' Putback Layup,Missed Shot,Putback Layup Shot,32,6,3,1,2.0,0.0,v
S2324-G0932,4,08:59,LAL,,MIN,,T. Warren,MIN,SUB: Alexander-Walker FOR Warren,Substitution,,0,0,0,0,,,v
S2324-G0932,4,04:28,LAL,,MIN,,T. Warren,MIN,MISS Warren 3PT Jump Shot,Missed Shot,Jump Shot,221,18,0,1,3.0,0.0,v
S2324-G0932,4,01:19,LAL,,MIN,,T. Warren,MIN,SUB: Garza FOR Warren,Substitution,,0,0,0,0,,,v
S2324-G1056,2,07:33,MIN,,DET,,T. Warren,MIN,Warren REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1056,2,02:47,MIN,,DET,,T. Warren,MIN,SUB: Gobert FOR Warren,Substitution,,0,0,0,0,,,h
S2324-G1056,4,01:56,MIN,,DET,,T. Warren,MIN,Warren S.FOUL (P1.PN) (S.Mehta),Foul,Shooting,0,0,0,0,,,h
S2324-G0903,2,09:53,IND,,,,T. Warren,MIN,MISS Warren 25' 3PT Jump Shot,Missed Shot,Jump Shot,-224,121,25,1,3.0,0.0,v
S2324-G0903,2,09:12,IND,28.0,,37.0,T. Warren,MIN,Warren 6' Driving Layup (2 PTS) (McDaniels 3 AST),Made Shot,Driving Layup Shot,55,17,6,1,2.0,2.0,v
S2324-G0903,2,06:00,IND,37.0,,50.0,T. Warren,MIN,Warren 24' 3PT Jump Shot (5 PTS) (Edwards 2 AST),Made Shot,Jump Shot,-234,33,24,1,3.0,3.0,v
S2324-G0903,2,05:51,IND,,,,T. Warren,MIN,SUB: Anderson FOR Warren,Substitution,,0,0,0,0,,,v
S2324-G0903,3,05:26,IND,,,,T. Warren,MIN,Warren P.FOUL (P1.T4) (J.Tiven),Foul,Personal,0,0,0,0,,,v
S2324-G0903,3,01:37,IND,,,,T. Warren,MIN,MISS Warren 25' 3PT Jump Shot,Missed Shot,Jump Shot,94,232,25,1,3.0,0.0,v
S2324-G0903,4,10:39,IND,85.0,,89.0,T. Warren,MIN,Warren 17' Pullup Jump Shot (7 PTS) (Reid 2 AST),Made Shot,Pullup Jump shot,-129,113,17,1,2.0,2.0,v
S2324-G0903,4,10:22,IND,,,,T. Warren,MIN,Warren REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0903,4,08:22,IND,,,,T. Warren,MIN,SUB: Edwards FOR Warren,Substitution,,0,0,0,0,,,v
S2324-G0974,1,04:16,UTA,,MIN,,T. Warren,MIN,Warren STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0974,1,04:11,UTA,,MIN,,T. Warren,MIN,MISS Warren 4' Running Layup,Missed Shot,Running Layup Shot,6,38,4,1,2.0,0.0,v
S2324-G0974,1,03:13,UTA,,MIN,,T. Warren,MIN,MISS Warren 26' 3PT Jump Shot,Missed Shot,Jump Shot,205,152,26,1,3.0,0.0,v
S2324-G0974,1,02:46,UTA,,MIN,,T. Warren,MIN,Warren REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0974,1,01:39,UTA,,MIN,,T. Warren,MIN,MISS Warren 11' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,102,49,11,1,2.0,0.0,v
S2324-G0974,1,00:42.700000,UTA,,MIN,,T. Warren,MIN,Warren REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0974,2,00:55,UTA,,MIN,,T. Warren,MIN,Warren S.FOUL (P1.PN) (A.Nagy),Foul,Shooting,0,0,0,0,,,v
S2324-G0974,3,03:39,UTA,,MIN,,T. Warren,MIN,Warren REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0974,3,03:39,UTA,62.0,MIN,70.0,T. Warren,MIN,Warren Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,v
S2324-G0974,3,03:18,UTA,,MIN,,T. Warren,MIN,MISS Warren 17' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-123,115,17,1,2.0,0.0,v
S2324-G0974,3,01:02,UTA,,MIN,,T. Warren,MIN,Warren REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0974,3,00:27.400000,UTA,,MIN,,T. Warren,MIN,MISS Warren 11' Floating Jump Shot,Missed Shot,Floating Jump shot,72,77,11,1,2.0,0.0,v
S2324-G0974,4,11:20,UTA,,MIN,,T. Warren,MIN,MISS Warren 12' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,31,116,12,1,2.0,0.0,v
S2324-G0974,4,10:35,UTA,,MIN,,T. Warren,MIN,Warren S.FOUL (P2.T1) (A.Nagy),Foul,Shooting,0,0,0,0,,,v
S2324-G0974,4,10:35,UTA,,MIN,,T. Warren,MIN,SUB: McDaniels FOR Warren,Substitution,,0,0,0,0,,,v
S2324-G1125,4,02:03,PHX,,MIN,,T. Warren,MIN,Warren STEAL (1 STL),,,0,0,0,0,,,v
S2324-G1125,4,02:00,PHX,97.0,MIN,79.0,T. Warren,MIN,Warren 2' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,9,14,2,1,2.0,2.0,v
S2324-G1125,4,01:39,PHX,,MIN,,T. Warren,MIN,Warren REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G1125,4,00:13.800000,PHX,97.0,MIN,87.0,T. Warren,MIN,Warren 17' Fadeaway Jumper (4 PTS) (Moore Jr. 1 AST),Made Shot,Fadeaway Jump Shot,163,45,17,1,2.0,2.0,v
S2324-G1108,2,04:56,MIN,,TOR,,T. Warren,MIN,Warren REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1108,2,02:13,MIN,52.0,TOR,38.0,T. Warren,MIN,Warren Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G1108,2,02:13,MIN,53.0,TOR,38.0,T. Warren,MIN,Warren Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G1108,2,02:02,MIN,,TOR,,T. Warren,MIN,Warren REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G1108,2,00:53.300000,MIN,,TOR,,T. Warren,MIN,Warren REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G1108,4,09:39,MIN,101.0,TOR,64.0,T. Warren,MIN,Warren 1' Running Finger Roll Layup (4 PTS) (McLaughlin 3 AST),Made Shot,Running Finger Roll Layup Shot,1,10,1,1,2.0,2.0,h
S2324-G1108,4,09:04,MIN,,TOR,,T. Warren,MIN,MISS Warren 24' 3PT Jump Shot,Missed Shot,Jump Shot,78,232,24,1,3.0,0.0,h
S2324-G1108,4,08:11,MIN,107.0,TOR,66.0,T. Warren,MIN,Warren 2' Running Layup (6 PTS) (Morris 5 AST),Made Shot,Running Layup Shot,-23,8,2,1,2.0,2.0,h
S2324-G1108,4,06:28,MIN,,TOR,,T. Warren,MIN,MISS Warren 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,202,138,24,1,3.0,0.0,h
S2324-G1108,4,06:09,MIN,112.0,TOR,70.0,T. Warren,MIN,Warren 1' Driving Layup (8 PTS) (Nix 1 AST),Made Shot,Driving Layup Shot,1,9,1,1,2.0,2.0,h
S2324-G1108,4,05:10,MIN,,TOR,,T. Warren,MIN,Warren REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G1108,4,05:08,MIN,,TOR,,T. Warren,MIN,SUB: Miller FOR Warren,Substitution,,0,0,0,0,,,h
S2324-G0995,1,04:27,MIN,16.0,DEN,24.0,T. Warren,MIN,Warren 13' Driving Floating Jump Shot (2 PTS) (Morris 1 AST),Made Shot,Driving Floating Jump Shot,132,10,13,1,2.0,2.0,h
S2324-G0995,1,04:10,MIN,,DEN,,T. Warren,MIN,Warren REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0995,1,03:51,MIN,,DEN,,T. Warren,MIN,MISS Warren 11' Floating Jump Shot,Missed Shot,Floating Jump shot,-23,108,11,1,2.0,0.0,h
S2324-G0995,1,02:42,MIN,,DEN,,T. Warren,MIN,MISS Warren 6' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,49,28,6,1,2.0,0.0,h
S2324-G0995,1,01:47,MIN,,DEN,,T. Warren,MIN,Warren REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0995,1,01:47,MIN,21.0,DEN,30.0,T. Warren,MIN,Warren Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0995,1,01:47,MIN,,DEN,,T. Warren,MIN,MISS Warren Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2324-G0995,1,00:30.700000,MIN,26.0,DEN,32.0,T. Warren,MIN,Warren 25' 3PT Jump Shot (6 PTS) (McLaughlin 1 AST),Made Shot,Jump Shot,142,209,25,1,3.0,3.0,h
S2324-G0995,3,01:35,MIN,,DEN,,T. Warren,MIN,MISS Warren 25' 3PT Jump Shot,Missed Shot,Jump Shot,15,246,25,1,3.0,0.0,h
S2324-G0995,3,00:01.200000,MIN,,DEN,,T. Warren,MIN,Warren BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G0911,1,00:37.400000,CLE,,MIN,,T. Warren,MIN,Warren REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G0911,1,00:36.900000,CLE,25.0,MIN,23.0,T. Warren,MIN,Warren Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,v
S2324-G0911,2,11:02,CLE,25.0,MIN,25.0,T. Warren,MIN,Warren 10' Pullup Jump Shot (4 PTS) (Alexander-Walker 1 AST),Made Shot,Pullup Jump shot,103,7,10,1,2.0,2.0,v
S2324-G0911,2,07:25,CLE,,MIN,,T. Warren,MIN,Warren REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0911,2,07:11,CLE,27.0,MIN,36.0,T. Warren,MIN,Warren 10' Pullup Jump Shot (6 PTS) (McDaniels 1 AST),Made Shot,Pullup Jump shot,-97,18,10,1,2.0,2.0,v
S2324-G0911,2,05:55,CLE,,MIN,,T. Warren,MIN,Warren L.B.FOUL (P1.T1) (S.Foster),Foul,Loose Ball,0,0,0,0,,,v
S2324-G0911,2,05:55,CLE,,MIN,,T. Warren,MIN,SUB: Conley FOR Warren,Substitution,,0,0,0,0,,,v
S2324-G0911,3,04:01,CLE,,MIN,,T. Warren,MIN,Warren REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0911,3,03:07,CLE,,MIN,,T. Warren,MIN,Warren S.FOUL (P2.PN) (D.Scott),Foul,Shooting,0,0,0,0,,,v
S2324-G0911,3,01:13,CLE,,MIN,,T. Warren,MIN,Warren P.FOUL (P3.PN) (N.Sago),Foul,Personal,0,0,0,0,,,v
S2324-G0911,3,00:45.400000,CLE,,MIN,,T. Warren,MIN,Warren REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0911,3,00:05.500000,CLE,,MIN,,T. Warren,MIN,Warren Backcourt Turnover (P1.T10),Turnover,Backcourt Turnover,0,0,0,0,,,v
