game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0641,4,00:49.800000,SAS,115.0,POR,100.0,T. Moore,POR,Moore 2' Driving Finger Roll Layup (2 PTS),Made Shot,Driving Finger Roll Layup Shot,7,22,2,1,2.0,2.0,v
S2324-G0641,4,00:39,SAS,,POR,,T. Moore,POR,Moore S.FOUL (P1.PN) (T.Washington),Foul,Shooting,0,0,0,0,,,v
S2324-G0641,4,00:26.800000,SAS,,POR,,T. Moore,POR,MISS Moore 27' 3PT Jump Shot,Missed Shot,Jump Shot,159,218,27,1,3.0,0.0,v
S2324-G1200,1,06:46,SAC,,POR,,T. Moore,POR,Moore REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G1200,1,06:41,SAC,,POR,,T. Moore,POR,Moore REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G1200,1,03:28,SAC,,POR,,T. Moore,POR,MISS Moore 7' Driving Hook Shot,Missed Shot,Driving Hook Shot,-25,63,7,1,2.0,0.0,v
S2324-G1200,1,02:59,SAC,,POR,,T. Moore,POR,MISS Moore 27' 3PT Jump Shot,Missed Shot,Jump Shot,-194,184,27,1,3.0,0.0,v
S2324-G1200,1,01:16,SAC,,POR,,T. Moore,POR,Moore STEAL (1 STL),,,0,0,0,0,,,v
S2324-G1200,1,01:06,SAC,,POR,,T. Moore,POR,MISS Moore 27' 3PT Jump Shot,Missed Shot,Jump Shot,-147,221,27,1,3.0,0.0,v
S2324-G1200,1,00:32.700000,SAC,30.0,POR,18.0,T. Moore,POR,Moore 3' Driving Layup (2 PTS) (Banton 1 AST),Made Shot,Driving Layup Shot,-21,16,3,1,2.0,2.0,v
S2324-G1200,2,11:11,SAC,,POR,,T. Moore,POR,MISS Moore 24' 3PT Jump Shot,Missed Shot,Jump Shot,-234,46,24,1,3.0,0.0,v
S2324-G1200,2,10:07,SAC,,POR,,T. Moore,POR,Moore Out of Bounds - Bad Pass Turnover Turnover (P1.T7),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2324-G1200,2,07:30,SAC,,POR,,T. Moore,POR,Moore REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G1200,2,07:22,SAC,,POR,,T. Moore,POR,SUB: Minaya FOR Moore,Substitution,,0,0,0,0,,,v
S2324-G1200,2,01:30,SAC,,POR,,T. Moore,POR,MISS Moore 4' Driving Layup,Missed Shot,Driving Layup Shot,-38,8,4,1,2.0,0.0,v
S2324-G1200,2,00:27.800000,SAC,,POR,,T. Moore,POR,MISS Moore 4' Driving Layup,Missed Shot,Driving Layup Shot,-32,16,4,1,2.0,0.0,v
S2324-G1200,3,06:57,SAC,,POR,,T. Moore,POR,Moore REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G1200,3,06:21,SAC,,POR,,T. Moore,POR,Moore REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G1200,3,06:20,SAC,76.0,POR,50.0,T. Moore,POR,Moore Tip Layup Shot (4 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,v
S2324-G1200,3,04:46,SAC,,POR,,T. Moore,POR,MISS Moore 6' Floating Jump Shot,Missed Shot,Floating Jump shot,1,55,6,1,2.0,0.0,v
S2324-G1200,3,04:45,SAC,,POR,,T. Moore,POR,Moore FLAGRANT.FOUL.TYPE1 (P1.T3) (D.Guthrie),Foul,Flagrant Type 1,0,0,0,0,,,v
S2324-G1200,3,03:06,SAC,89.0,POR,55.0,T. Moore,POR,Moore 2' Cutting Layup Shot (6 PTS) (Banton 6 AST),Made Shot,Cutting Layup Shot,-22,5,2,1,2.0,2.0,v
S2324-G1200,3,01:20,SAC,,POR,,T. Moore,POR,Moore REBOUND (Off:4 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G1200,3,00:29.800000,SAC,,POR,,T. Moore,POR,Moore S.FOUL (P2.PN) (D.Scott),Foul,Shooting,0,0,0,0,,,v
S2324-G1200,3,00:20.100000,SAC,,POR,,T. Moore,POR,MISS Moore Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2324-G1200,3,00:20.100000,SAC,99.0,POR,58.0,T. Moore,POR,Moore Free Throw 2 of 2 (7 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G1200,4,07:21,SAC,,POR,,T. Moore,POR,Moore Out of Bounds Lost Ball Turnover (P2.T18),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,v
S2324-G1200,4,06:44,SAC,,POR,,T. Moore,POR,MISS Moore 26' 3PT Jump Shot,Missed Shot,Jump Shot,129,226,26,1,3.0,0.0,v
S2324-G1200,4,06:07,SAC,104.0,POR,64.0,T. Moore,POR,Moore Driving Dunk (9 PTS) (Banton 7 AST),Made Shot,Driving Dunk Shot,1,4,0,1,2.0,2.0,v
S2324-G1200,4,04:53,SAC,104.0,POR,69.0,T. Moore,POR,Moore 25' 3PT Jump Shot (12 PTS) (Rupert 4 AST),Made Shot,Jump Shot,-181,171,25,1,3.0,3.0,v
S2324-G1200,4,04:13,SAC,,POR,,T. Moore,POR,Moore REBOUND (Off:4 Def:3),Rebound,Unknown,0,0,0,0,,,v
