game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1142,4,01:59,GSW,,UTA,,U. Garuba,GSW,Garuba REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G1142,4,01:49,GSW,,UTA,,U. Garuba,GSW,Garuba Out of Bounds Lost Ball Turnover (P1.T16),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2324-G1142,4,01:28,GSW,,UTA,,U. Garuba,GSW,MISS Garuba 4' Alley Oop Layup,Missed Shot,Alley Oop Layup shot,38,11,4,1,2.0,0.0,h
S2324-G1142,4,01:28,GSW,,UTA,,U. Garuba,GSW,Garuba REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G1142,4,01:28,GSW,118.0,UTA,103.0,U. Garuba,GSW,Garuba Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2324-G1142,4,01:02,GSW,,UTA,,U. Garuba,GSW,MISS Garuba 4' Driving Layup,Missed Shot,Driving Layup Shot,36,26,4,1,2.0,0.0,h
S2324-G1142,4,00:09.600000,GSW,,UTA,,U. Garuba,GSW,MISS Garuba 28' 3PT Jump Shot,Missed Shot,Jump Shot,-121,254,28,1,3.0,0.0,h
S2324-G1155,4,01:14,LAL,,GSW,,U. Garuba,GSW,Garuba Out of Bounds - Bad Pass Turnover Turnover (P1.T14),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2324-G1155,4,00:34.200000,LAL,,GSW,,U. Garuba,GSW,Garuba BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G0386,4,01:18,GSW,,WAS,,U. Garuba,GSW,MISS Garuba 1' Layup,Missed Shot,Layup Shot,10,5,1,1,2.0,0.0,h
S2324-G0824,4,00:45.400000,GSW,,DEN,,U. Garuba,GSW,Garuba REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G0824,4,00:14.800000,GSW,,DEN,,U. Garuba,GSW,Garuba S.FOUL (P1.T3) (M.Dagher),Foul,Shooting,0,0,0,0,,,h
S2324-G0399,4,02:40,GSW,,POR,,U. Garuba,GSW,Garuba STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0399,4,00:10.200000,GSW,,POR,,U. Garuba,GSW,Garuba S.FOUL (P1.PN) (J.Tiven),Foul,Shooting,0,0,0,0,,,h
S2324-G1198,4,04:57,GSW,,UTA,,U. Garuba,GSW,Garuba REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1198,4,04:36,GSW,,UTA,,U. Garuba,GSW,Garuba REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G1198,4,02:40,GSW,,UTA,,U. Garuba,GSW,Garuba REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G1198,4,02:32,GSW,,UTA,,U. Garuba,GSW,MISS Garuba Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2324-G1198,4,02:32,GSW,118.0,UTA,116.0,U. Garuba,GSW,Garuba Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G1198,4,02:10,GSW,,UTA,,U. Garuba,GSW,Garuba BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G1198,4,01:10,GSW,,UTA,,U. Garuba,GSW,Garuba REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G1198,4,01:02,GSW,,UTA,,U. Garuba,GSW,MISS Garuba 6' Driving Hook Shot,Missed Shot,Driving Hook Shot,-23,50,6,1,2.0,0.0,h
S2324-G1198,4,00:46.300000,GSW,,UTA,,U. Garuba,GSW,Garuba BLOCK (2 BLK),,,0,0,0,0,,,h
