game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0088,1,11:31,DET,0.0,CHI,2.0,Z. LaVine,CHI,LaVine 17' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,-140,94,17,1,2.0,2.0,v
S2324-G0088,1,10:19,DET,,CHI,,Z. LaVine,CHI,LaVine S.FOUL (P1.T1) (D.Mosher),Foul,Shooting,0,0,0,0,,,v
S2324-G0088,1,09:24,DET,7.0,CHI,7.0,Z. LaVine,CHI,LaVine 28' 3PT Pullup Jump Shot (5 PTS),Made Shot,Pullup Jump shot,-29,275,28,1,3.0,3.0,v
S2324-G0088,1,08:37,DET,,CHI,,Z. LaVine,CHI,LaVine REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0088,1,08:33,DET,10.0,CHI,9.0,Z. LaVine,CHI,LaVine 3' Driving Layup (7 PTS),Made Shot,Driving Layup Shot,27,15,3,1,2.0,2.0,v
S2324-G0088,1,08:06,DET,12.0,CHI,11.0,Z. LaVine,CHI,LaVine 15' Step Back Jump Shot (9 PTS),Made Shot,Step Back Jump shot,147,2,15,1,2.0,2.0,v
S2324-G0088,1,07:02,DET,14.0,CHI,14.0,Z. LaVine,CHI,LaVine 27' 3PT Step Back Jump Shot (12 PTS),Made Shot,Step Back Jump shot,-116,249,27,1,3.0,3.0,v
S2324-G0088,1,06:19,DET,,CHI,,Z. LaVine,CHI,LaVine REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0088,1,06:11,DET,,CHI,,Z. LaVine,CHI,MISS LaVine 31' 3PT Jump Shot,Missed Shot,Jump Shot,-178,254,31,1,3.0,0.0,v
S2324-G0088,1,05:46,DET,,CHI,,Z. LaVine,CHI,LaVine REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0088,1,05:06,DET,16.0,CHI,18.0,Z. LaVine,CHI,LaVine Free Throw 1 of 2 (13 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0088,1,05:06,DET,,CHI,,Z. LaVine,CHI,MISS LaVine Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2324-G0088,1,04:35,DET,,CHI,,Z. LaVine,CHI,MISS LaVine 29' 3PT Jump Shot,Missed Shot,Jump Shot,-2,290,29,1,3.0,0.0,v
S2324-G0088,1,03:38,DET,20.0,CHI,22.0,Z. LaVine,CHI,LaVine 17' Turnaround Jump Shot (15 PTS),Made Shot,Turnaround Jump Shot,-150,85,17,1,2.0,2.0,v
S2324-G0088,1,03:08,DET,,CHI,,Z. LaVine,CHI,LaVine REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0088,1,03:00,DET,20.0,CHI,24.0,Z. LaVine,CHI,LaVine 13' Step Back Jump Shot (17 PTS),Made Shot,Step Back Jump shot,129,-1,13,1,2.0,2.0,v
S2324-G0088,1,01:36,DET,,CHI,,Z. LaVine,CHI,MISS LaVine 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-184,182,26,1,3.0,0.0,v
S2324-G0088,1,01:03,DET,29.0,CHI,26.0,Z. LaVine,CHI,LaVine 4' Driving Layup (19 PTS) (Drummond 1 AST),Made Shot,Driving Layup Shot,-34,17,4,1,2.0,2.0,v
S2324-G0088,1,01:03,DET,,CHI,,Z. LaVine,CHI,MISS LaVine Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,v
S2324-G0088,1,00:00,DET,,CHI,,Z. LaVine,CHI,MISS LaVine 5' Driving Layup,Missed Shot,Driving Layup Shot,-29,36,5,1,2.0,0.0,v
S2324-G0088,2,12:00,DET,,CHI,,Z. LaVine,CHI,LaVine T.FOUL (P1.T0) (D.Mosher),Foul,Technical,0,0,0,0,,,v
S2324-G0088,2,05:20,DET,,CHI,,Z. LaVine,CHI,MISS LaVine 30' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-118,273,30,1,3.0,0.0,v
S2324-G0088,2,04:18,DET,,CHI,,Z. LaVine,CHI,MISS LaVine 3' Driving Layup,Missed Shot,Driving Layup Shot,26,23,3,1,2.0,0.0,v
S2324-G0088,2,02:41,DET,,CHI,,Z. LaVine,CHI,LaVine Out of Bounds - Bad Pass Turnover Turnover (P1.T4),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2324-G0088,3,11:46,DET,57.0,CHI,45.0,Z. LaVine,CHI,LaVine Free Throw Technical (20 PTS),Free Throw,Free Throw Technical,0,0,0,0,1.0,1.0,v
S2324-G0088,3,11:02,DET,57.0,CHI,47.0,Z. LaVine,CHI,LaVine 4' Driving Floating Bank Jump Shot (22 PTS),Made Shot,Driving Floating Bank Jump Shot,-40,17,4,1,2.0,2.0,v
S2324-G0088,3,10:26,DET,57.0,CHI,50.0,Z. LaVine,CHI,LaVine 24' 3PT Step Back Jump Shot (25 PTS),Made Shot,Step Back Jump shot,-238,20,24,1,3.0,3.0,v
S2324-G0088,3,10:14,DET,,CHI,,Z. LaVine,CHI,LaVine P.FOUL (P2.T1) (D.Mosher),Foul,Personal,0,0,0,0,,,v
S2324-G0088,3,09:56,DET,60.0,CHI,53.0,Z. LaVine,CHI,LaVine 27' 3PT Jump Shot (28 PTS) (Vucevic 1 AST),Made Shot,Jump Shot,118,240,27,1,3.0,3.0,v
S2324-G0088,3,08:49,DET,62.0,CHI,57.0,Z. LaVine,CHI,LaVine 3' Driving Layup (30 PTS),Made Shot,Driving Layup Shot,-26,4,3,1,2.0,2.0,v
S2324-G0088,3,07:41,DET,,CHI,,Z. LaVine,CHI,MISS LaVine 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-173,195,26,1,3.0,0.0,v
S2324-G0088,3,06:56,DET,66.0,CHI,61.0,Z. LaVine,CHI,LaVine Free Throw 1 of 2 (31 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0088,3,06:56,DET,66.0,CHI,62.0,Z. LaVine,CHI,LaVine Free Throw 2 of 2 (32 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G0088,3,06:32,DET,,CHI,,Z. LaVine,CHI,SUB: Caruso FOR LaVine,Substitution,,0,0,0,0,,,v
S2324-G0088,3,03:59,DET,,CHI,,Z. LaVine,CHI,MISS LaVine 4' Driving Layup,Missed Shot,Driving Layup Shot,1,38,4,1,2.0,0.0,v
S2324-G0088,3,03:27,DET,77.0,CHI,71.0,Z. LaVine,CHI,LaVine 27' 3PT Pullup Jump Shot (35 PTS),Made Shot,Pullup Jump shot,-125,236,27,1,3.0,3.0,v
S2324-G0088,3,02:31,DET,,CHI,,Z. LaVine,CHI,MISS LaVine 15' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-50,140,15,1,2.0,0.0,v
S2324-G0088,3,01:00,DET,81.0,CHI,75.0,Z. LaVine,CHI,LaVine 4' Running Layup (37 PTS) (Caruso 2 AST),Made Shot,Running Layup Shot,-36,0,4,1,2.0,2.0,v
S2324-G0088,3,01:00,DET,81.0,CHI,76.0,Z. LaVine,CHI,LaVine Free Throw Technical (38 PTS),Free Throw,Free Throw Technical,0,0,0,0,1.0,1.0,v
S2324-G0088,3,01:00,DET,81.0,CHI,77.0,Z. LaVine,CHI,LaVine Free Throw 1 of 1 (39 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2324-G0088,3,00:33,DET,,CHI,,Z. LaVine,CHI,MISS LaVine 11' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,-75,78,11,1,2.0,0.0,v
