game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0745,1,11:43,MIL,,CHA,,C. Martin,CHA,MISS Martin 17' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,70,155,17,1,2.0,0.0,v
S2324-G0745,1,09:31,MIL,4.0,CHA,6.0,C. Martin,CHA,Martin Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0745,1,09:31,MIL,,CHA,,C. Martin,CHA,MISS Martin Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2324-G0745,1,08:19,MIL,,CHA,,C. Martin,CHA,MISS Martin 26' 3PT Jump Shot,Missed Shot,Jump Shot,96,242,26,1,3.0,0.0,v
S2324-G0745,1,06:52,MIL,,CHA,,C. Martin,CHA,MISS Martin 11' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,56,90,11,1,2.0,0.0,v
S2324-G0745,1,05:59,MIL,,CHA,,C. Martin,CHA,SUB: McGowens FOR Martin,Substitution,,0,0,0,0,,,v
S2324-G0745,2,06:04,MIL,,CHA,,C. Martin,CHA,MISS Martin 2' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,-5,17,2,1,2.0,0.0,v
S2324-G0745,2,03:24,MIL,,CHA,,C. Martin,CHA,MISS Martin 19' Hook Shot,Missed Shot,Hook Shot,100,156,19,1,2.0,0.0,v
S2324-G0745,2,01:10,MIL,,CHA,,C. Martin,CHA,MISS Martin 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,131,240,27,1,3.0,0.0,v
S2324-G0745,2,00:39.500000,MIL,,CHA,,C. Martin,CHA,Martin REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0745,2,00:37.900000,MIL,,CHA,,C. Martin,CHA,Martin Out of Bounds - Bad Pass Turnover Turnover (P1.T7),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2324-G0745,2,00:35.600000,MIL,,CHA,,C. Martin,CHA,Martin P.FOUL (P1.PN) (N.Buchert),Foul,Personal,0,0,0,0,,,v
S2324-G0745,3,08:16,MIL,,CHA,,C. Martin,CHA,Martin S.FOUL (P2.T3) (N.Buchert),Foul,Shooting,0,0,0,0,,,v
S2324-G0745,3,08:14,MIL,,CHA,,C. Martin,CHA,Martin REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0745,3,08:13,MIL,,CHA,,C. Martin,CHA,Martin Bad Pass Turnover (P2.T9),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0745,3,07:22,MIL,,CHA,,C. Martin,CHA,Martin REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0745,3,07:09,MIL,,CHA,,C. Martin,CHA,Martin REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0745,3,07:09,MIL,82.0,CHA,46.0,C. Martin,CHA,Martin Tip Layup Shot (3 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,v
