game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0088,1,10:25,DET,,CHI,,P. Williams,CHI,MISS Williams 18' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-76,158,18,1,2.0,0.0,v
S2324-G0088,1,10:16,DET,,CHI,,P. Williams,CHI,Williams REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0088,1,06:20,DET,,CHI,,P. Williams,CHI,MISS Williams 30' 3PT Jump Shot,Missed Shot,Jump Shot,-179,243,30,1,3.0,0.0,v
S2324-G0088,1,05:08,DET,,CHI,,P. Williams,CHI,Williams STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0088,1,03:45,DET,,CHI,,P. Williams,CHI,Williams REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0088,1,02:20,DET,,CHI,,P. Williams,CHI,MISS Williams 12' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-119,23,12,1,2.0,0.0,v
S2324-G0088,1,02:20,DET,,CHI,,P. Williams,CHI,SUB: Caruso FOR Williams,Substitution,,0,0,0,0,,,v
S2324-G0088,2,03:03,DET,,CHI,,P. Williams,CHI,Williams Traveling Turnover (P1.T3),Turnover,Traveling,0,0,0,0,,,v
S2324-G0088,2,03:03,DET,,CHI,,P. Williams,CHI,SUB: DeRozan FOR Williams,Substitution,,0,0,0,0,,,v
S2324-G0088,3,10:10,DET,,CHI,,P. Williams,CHI,Williams S.FOUL (P1.T2) (M.Lindsay),Foul,Shooting,0,0,0,0,,,v
S2324-G0088,3,07:38,DET,,CHI,,P. Williams,CHI,Williams REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0088,3,06:32,DET,,CHI,,P. Williams,CHI,Williams P.FOUL (P2.T4) (N.Sago),Foul,Personal,0,0,0,0,,,v
S2324-G0088,3,05:10,DET,,CHI,,P. Williams,CHI,Williams S.FOUL (P3.PN) (D.Mosher),Foul,Shooting,0,0,0,0,,,v
S2324-G0088,3,04:46,DET,,CHI,,P. Williams,CHI,SUB: Dosunmu FOR Williams,Substitution,,0,0,0,0,,,v
S2324-G0250,1,11:14,BKN,0.0,CHI,4.0,P. Williams,CHI,Williams 9' Driving Floating Bank Jump Shot (2 PTS) (White 1 AST),Made Shot,Driving Floating Bank Jump Shot,-72,52,9,1,2.0,2.0,v
S2324-G0250,1,09:57,BKN,0.0,CHI,7.0,P. Williams,CHI,Williams 25' 3PT Jump Shot (5 PTS) (White 2 AST),Made Shot,Jump Shot,201,148,25,1,3.0,3.0,v
S2324-G0250,1,09:00,BKN,0.0,CHI,13.0,P. Williams,CHI,Williams 3PT Jump Shot (8 PTS) (DeRozan 2 AST),Made Shot,Jump Shot,224,15,0,1,3.0,3.0,v
S2324-G0250,1,07:51,BKN,,CHI,,P. Williams,CHI,Williams REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0250,1,07:08,BKN,3.0,CHI,19.0,P. Williams,CHI,Williams 26' 3PT Jump Shot (11 PTS) (Vucevic 2 AST),Made Shot,Jump Shot,191,170,26,1,3.0,3.0,v
S2324-G0250,1,05:09,BKN,,CHI,,P. Williams,CHI,Williams P.FOUL (P1.T1) (B.Barnaky),Foul,Personal,0,0,0,0,,,v
S2324-G0250,1,02:42,BKN,,CHI,,P. Williams,CHI,SUB: Craig FOR Williams,Substitution,,0,0,0,0,,,v
S2324-G0250,2,04:23,BKN,,CHI,,P. Williams,CHI,Williams REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0250,2,04:15,BKN,46.0,CHI,45.0,P. Williams,CHI,Williams 26' 3PT Jump Shot (14 PTS) (White 3 AST),Made Shot,Jump Shot,-175,197,26,1,3.0,3.0,v
S2324-G0250,2,01:04,BKN,,CHI,,P. Williams,CHI,MISS Williams 19' Pullup Jump Shot,Missed Shot,Pullup Jump shot,191,16,19,1,2.0,0.0,v
S2324-G0250,3,10:50,BKN,,CHI,,P. Williams,CHI,Williams S.FOUL (P2.T1) (B.Barnaky),Foul,Shooting,0,0,0,0,,,v
S2324-G0250,3,10:09,BKN,,CHI,,P. Williams,CHI,Williams Lost Ball Turnover (P1.T8),Turnover,Lost Ball,0,0,0,0,,,v
S2324-G0250,3,07:52,BKN,,CHI,,P. Williams,CHI,Williams REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0250,3,04:34,BKN,,CHI,,P. Williams,CHI,SUB: Craig FOR Williams,Substitution,,0,0,0,0,,,v
S2324-G0250,4,08:58,BKN,,CHI,,P. Williams,CHI,MISS Williams 24' 3PT Jump Shot,Missed Shot,Jump Shot,-224,83,24,1,3.0,0.0,v
S2324-G0250,4,05:04,BKN,111.0,CHI,97.0,P. Williams,CHI,Williams 3' Cutting Layup Shot (16 PTS) (Vucevic 5 AST),Made Shot,Cutting Layup Shot,-31,4,3,1,2.0,2.0,v
S2324-G0250,4,02:46,BKN,113.0,CHI,102.0,P. Williams,CHI,Williams 11' Pullup Jump Shot (18 PTS) (DeRozan 6 AST),Made Shot,Pullup Jump shot,16,106,11,1,2.0,2.0,v
S2324-G0250,4,01:29,BKN,,CHI,,P. Williams,CHI,Williams REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0250,4,01:29,BKN,116.0,CHI,103.0,P. Williams,CHI,Williams Free Throw 1 of 2 (19 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0250,4,01:29,BKN,116.0,CHI,104.0,P. Williams,CHI,Williams Free Throw 2 of 2 (20 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G0196,1,10:19,CHI,4.0,ORL,2.0,P. Williams,CHI,Williams Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0196,1,10:19,CHI,5.0,ORL,2.0,P. Williams,CHI,Williams Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0196,1,10:01,CHI,,ORL,,P. Williams,CHI,Williams S.FOUL (P1.T1) (B.Nansel),Foul,Shooting,0,0,0,0,,,h
S2324-G0196,1,09:12,CHI,,ORL,,P. Williams,CHI,Williams REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0196,1,08:45,CHI,,ORL,,P. Williams,CHI,Williams REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0196,1,07:59,CHI,,ORL,,P. Williams,CHI,MISS Williams 25' 3PT Jump Shot,Missed Shot,Jump Shot,-115,226,25,1,3.0,0.0,h
S2324-G0196,1,06:54,CHI,,ORL,,P. Williams,CHI,Williams REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0196,1,06:53,CHI,,ORL,,P. Williams,CHI,Williams Out of Bounds - Bad Pass Turnover Turnover (P1.T3),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2324-G0196,1,06:20,CHI,10.0,ORL,10.0,P. Williams,CHI,Williams Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
