game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1158,3,06:36,CLE,,MEM,,M. Morris Sr.,CLE,Morris Sr. T.FOUL (P0.T1) (N.Green),Foul,Technical,0,0,0,0,,,h
S2324-G1067,2,11:36,CLE,,PHI,,M. Morris Sr.,CLE,Morris Sr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1067,2,09:06,CLE,,PHI,,M. Morris Sr.,CLE,Morris Sr. REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1067,2,08:39,CLE,,PHI,,M. Morris Sr.,CLE,Morris Sr. Bad Pass Turnover (P1.T6),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G1067,2,05:12,CLE,,PHI,,M. Morris Sr.,CLE,MISS Morris Sr. 24' 3PT Jump Shot,Missed Shot,Jump Shot,241,5,24,1,3.0,0.0,h
S2324-G1067,2,04:08,CLE,,PHI,,M. Morris Sr.,CLE,SUB: Garland FOR Morris Sr.,Substitution,,0,0,0,0,,,h
S2324-G1067,4,08:14,CLE,,PHI,,M. Morris Sr.,CLE,Morris Sr. REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G1067,4,07:17,CLE,102.0,PHI,94.0,M. Morris Sr.,CLE,Morris Sr. 3PT Jump Shot (3 PTS) (Merrill 3 AST),Made Shot,Jump Shot,-225,-2,0,1,3.0,3.0,h
S2324-G1067,4,06:03,CLE,,PHI,,M. Morris Sr.,CLE,Morris Sr. REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G1067,4,05:40,CLE,,PHI,,M. Morris Sr.,CLE,Morris Sr. REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G1067,4,03:18,CLE,,PHI,,M. Morris Sr.,CLE,SUB: Niang FOR Morris Sr.,Substitution,,0,0,0,0,,,h
S2324-G1187,1,03:45,CLE,,CHA,,M. Morris Sr.,CLE,MISS Morris Sr. 13' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1,129,13,1,2.0,0.0,h
