game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0084,1,04:45,DAL,,BKN,,J. Green,DAL,MISS Green 26' 3PT Jump Shot,Missed Shot,Jump Shot,142,221,26,1,3.0,0.0,h
S2324-G0084,1,02:46,DAL,,BKN,,J. Green,DAL,Green REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G0084,1,02:44,DAL,,BKN,,J. Green,DAL,MISS Green 2' Putback Layup,Missed Shot,Putback Layup Shot,12,14,2,1,2.0,0.0,h
S2324-G0084,2,02:29,DAL,50.0,BKN,49.0,J. Green,DAL,Green 2' Driving Layup (2 PTS) (Doncic 5 AST),Made Shot,Driving Layup Shot,16,13,2,1,2.0,2.0,h
S2324-G0084,2,01:57,DAL,,BKN,,J. Green,DAL,Green Bad Pass Turnover (P1.T7),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G0084,2,01:00,DAL,,BKN,,J. Green,DAL,Green Bad Pass Turnover (P2.T8),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G0084,3,06:49,DAL,,BKN,,J. Green,DAL,MISS Green 3PT Jump Shot,Missed Shot,Jump Shot,-234,10,0,1,3.0,0.0,h
S2324-G0084,3,04:14,DAL,,BKN,,J. Green,DAL,Green STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0084,3,03:47,DAL,,BKN,,J. Green,DAL,Green OFF.Foul (P1) (D.Scott),Foul,Offensive,0,0,0,0,,,h
S2324-G0084,3,03:47,DAL,,BKN,,J. Green,DAL,Green Offensive Foul Turnover (P3.T9),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2324-G0084,3,02:17,DAL,,BKN,,J. Green,DAL,Green STEAL (2 STL),,,0,0,0,0,,,h
S2324-G0084,3,02:15,DAL,,BKN,,J. Green,DAL,MISS Green Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2324-G0084,3,02:15,DAL,,BKN,,J. Green,DAL,MISS Green Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2324-G0084,3,01:08,DAL,82.0,BKN,83.0,J. Green,DAL,Green 2' Driving Layup (4 PTS),Made Shot,Driving Layup Shot,-13,13,2,1,2.0,2.0,h
S2324-G0084,3,00:03.100000,DAL,,BKN,,J. Green,DAL,Green REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0084,4,10:52,DAL,,BKN,,J. Green,DAL,Green S.FOUL (P2.T1) (D.Scott),Foul,Shooting,0,0,0,0,,,h
S2324-G0084,4,08:19,DAL,,BKN,,J. Green,DAL,MISS Green 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,44,60,7,1,2.0,0.0,h
S2324-G0084,4,06:17,DAL,,BKN,,J. Green,DAL,SUB: Doncic FOR Green,Substitution,,0,0,0,0,,,h
S2324-G0084,4,04:11,DAL,,BKN,,J. Green,DAL,Green STEAL (3 STL),,,0,0,0,0,,,h
S2324-G0084,4,03:52,DAL,,BKN,,J. Green,DAL,MISS Green 3PT Jump Shot,Missed Shot,Jump Shot,230,-5,0,1,3.0,0.0,h
S2324-G0084,4,01:06,DAL,,BKN,,J. Green,DAL,MISS Green Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2324-G0084,4,01:06,DAL,120.0,BKN,118.0,J. Green,DAL,Green Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0084,4,00:12.900000,DAL,,BKN,,J. Green,DAL,Green REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0084,4,00:12.500000,DAL,124.0,BKN,120.0,J. Green,DAL,Green Free Throw 1 of 2 (6 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0084,4,00:12.500000,DAL,125.0,BKN,120.0,J. Green,DAL,Green Free Throw 2 of 2 (7 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0952,1,01:29,DAL,,GSW,,J. Green,DAL,MISS Green 3PT Jump Shot,Missed Shot,Jump Shot,229,50,0,1,3.0,0.0,h
S2324-G0952,1,00:30.900000,DAL,,GSW,,J. Green,DAL,Green REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0952,2,02:22,DAL,,GSW,,J. Green,DAL,Green REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0952,2,00:53.100000,DAL,46.0,GSW,42.0,J. Green,DAL,Green 2' Alley Oop Dunk (2 PTS) (Irving 1 AST),Made Shot,Alley Oop Dunk Shot,6,14,2,1,2.0,2.0,h
S2324-G0952,3,05:32,DAL,,GSW,,J. Green,DAL,Green REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0952,3,04:49,DAL,,GSW,,J. Green,DAL,Green P.FOUL (P1.T3) (M.Myers),Foul,Personal,0,0,0,0,,,h
S2324-G0952,3,02:45,DAL,67.0,GSW,60.0,J. Green,DAL,Green Running Layup (4 PTS) (Irving 3 AST),Made Shot,Running Layup Shot,-1,0,0,1,2.0,2.0,h
S2324-G0952,3,01:24,DAL,72.0,GSW,65.0,J. Green,DAL,Green 1' Driving Finger Roll Layup (6 PTS) (Kleber 1 AST),Made Shot,Driving Finger Roll Layup Shot,9,7,1,1,2.0,2.0,h
S2324-G0952,4,05:43,DAL,,GSW,,J. Green,DAL,Green OFF.Foul (P2) (C.Kirkland),Foul,Offensive,0,0,0,0,,,h
S2324-G0952,4,05:43,DAL,,GSW,,J. Green,DAL,Green Offensive Foul Turnover (P1.T16),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2324-G0952,4,05:23,DAL,,GSW,,J. Green,DAL,Green REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0952,4,05:14,DAL,,GSW,,J. Green,DAL,Green S.FOUL (P3.T3) (C.Kirkland),Foul,Shooting,0,0,0,0,,,h
S2324-G0952,4,04:20,DAL,98.0,GSW,84.0,J. Green,DAL,Green 3PT Jump Shot (9 PTS) (Exum 6 AST),Made Shot,Jump Shot,229,43,0,1,3.0,3.0,h
S2324-G0952,4,03:35,DAL,100.0,GSW,86.0,J. Green,DAL,Green 1' Running Alley Oop Dunk Shot (11 PTS) (Irving 9 AST),Made Shot,Running Alley Oop Dunk Shot,-5,7,1,1,2.0,2.0,h
S2324-G0952,4,02:48,DAL,,GSW,,J. Green,DAL,Green S.FOUL (P4.PN) (C.Kirkland),Foul,Shooting,0,0,0,0,,,h
S2324-G0952,4,01:34,DAL,,GSW,,J. Green,DAL,Green REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G1181,1,07:10,DAL,,DET,,J. Green,DAL,Green REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
